,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,15822,13498,10751,9168,18493,13389,14372,9563,20484,16671,15205,13483,22145,15431,11807,11013,14991,12930,6979
1,Other Revenue,-2176,2176,-,5497,-2946,2946,-,5438,-2621,2621,-,4001,-1765,1765,-,2505,-1098,1098,-
2,Revenue,13646,15674,10751,14665,15546,16335,14372,15001,17863,19292,15205,17484,20380,17195,11807,13518,13893,14028,6979
3,Revenue Growth (YoY),-12.22%,-4.05%,-25.20%,-2.24%,-12.97%,-15.33%,-5.48%,-14.20%,-12.35%,12.20%,28.78%,29.33%,46.69%,22.58%,69.17%,-,-,-,-
4,Cost of Revenue,13402,15289,10504,14291,15084,15988,13883,14649,17716,19055,14779,17254,20181,16572,11230,13265,13375,12920,6628
5,Gross Profit,243.74,384.3,246.88,373.44,462.13,347.56,488.98,351.8,147,237.41,426.48,229.79,199.32,623.74,576.74,253.58,518.53,1108,351.13
6,"Selling, General & Admin",129.16,138.46,111.86,149.89,155.55,137.69,134.49,156.33,116.89,104.64,109.97,145.92,94.81,122.83,106.25,211.01,72.29,105.72,49.13
7,Research & Development,64.88,31.37,15.72,13.89,39.55,36.43,1.89,11.95,4.26,4.44,1.79,21.35,-,1.24,1.55,3.4,0.37,2.14,0.01
8,Other Operating Expenses,-54.7,25.94,15.39,63.78,23.55,19.11,23.24,109.82,24.46,-0.96,20.63,53.22,22.96,15.68,10.31,53.57,19.85,11.68,7.31
9,Operating Expenses,171.08,197.82,145.61,220.91,227.35,184.63,172.29,261.61,152.72,97.9,157.33,203.6,121.7,143.66,145.55,262.04,101.22,111.73,69.31
10,Operating Income,72.66,186.48,101.27,152.53,234.78,162.93,316.69,90.19,-5.72,139.5,269.15,26.19,77.62,480.08,431.19,-8.46,417.31,996.33,281.81
11,Interest Expense,-49.29,-44.64,-50.56,-45.89,-39.23,-56.12,-55.22,-28.56,-64.97,-66.33,-32.9,-33.44,-35.06,-26.92,-31.62,-22.41,-21.96,-22.12,-22.5
12,Interest & Investment Income,47.1,13.29,24.24,22.55,12.77,16.55,12.87,22.19,15.67,15.71,4.76,9.15,13.44,5.31,10.02,11.01,8.78,8.31,1.54
13,Currency Exchange Gain (Loss),-1.34,1.34,-,0.16,-0,0,-,-,-,-,-,-,-,-,-,-0,0,-0,-
