,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,7951,8332,7085,8678,8793,9779,9783,8883,8497,8341,10992,11972,14102,14645,16054,18082,17475,-,-,-
1,Market Cap Growth,-14.79%,-14.79%,-27.58%,-2.31%,3.48%,17.24%,-11.00%,-25.80%,-39.75%,-43.04%,-31.53%,-33.79%,-19.30%,-,-,-,-,-,-,-
2,Enterprise Value,2297,6295,9434,9224,9339,10963,12588,9237,8851,9105,12726,15559,17689,14649,16356,17891,17284,-,-,-
3,Last Close Price,5.71,5.83,4.89,5.90,5.70,6.33,6.33,5.75,5.37,5.27,6.91,7.52,8.73,9.06,9.94,11.41,10.64,-,-,-
4,PE Ratio,35.43,-,20.55,24.33,15.43,14.75,21.96,23.33,28.61,-,53.24,27.46,22.96,-,18.46,13.79,15.29,-,-,-
5,PS Ratio,0.15,0.15,0.13,0.15,0.14,0.16,0.15,0.13,0.13,0.12,0.15,0.17,0.21,0.23,0.28,0.34,0.36,-,-,-
6,PB Ratio,1.40,1.13,0.96,1.20,1.14,1.31,1.32,1.20,1.15,1.14,1.47,1.68,1.95,2.06,2.28,2.72,2.55,-,-,-
7,P/TBV Ratio,1.52,1.52,1.29,1.62,1.51,1.75,1.76,1.60,1.54,1.56,2.02,2.29,2.65,2.76,2.98,3.55,3.04,-,-,-
8,P/FCF Ratio,3.63,3.81,6.69,-,1317.14,-,6.11,-,-12.21,9.47,-,-,-9.18,-,-10.25,-,-54.44,-,-,-
9,P/OCF Ratio,3.33,3.33,5.15,-,20.94,-,3.99,-,10.94,2.80,-,-,17.38,-,-108.82,-,54.40,-,-,-
10,EV/Sales Ratio,0.04,0.12,0.17,0.16,0.15,0.18,0.20,0.14,0.13,0.13,0.18,0.22,0.26,0.23,0.29,0.34,0.36,-,-,-
11,EV/EBITDA Ratio,2.07,6.03,7.95,7.97,6.91,8.64,12.68,9.82,10.32,12.01,15.46,13.85,13.95,12.06,10.57,8.70,9.09,-,-,-
12,EV/EBIT Ratio,4.48,12.27,13.98,14.16,10.77,13.63,22.32,17.09,17.95,-,24.83,18.24,17.43,14.94,12.39,9.74,-,-,-,-
13,EV/FCF Ratio,1.05,2.88,8.91,-,1398.94,-,7.86,-,-12.72,10.33,-,-,-11.52,-,-10.45,-,-53.85,-,-,-
