,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,10109,6946,3646,3776,4542,4653,3462,3725,4440,6167,3056,3631,2423,3292,3074,3246,649.71,2446,-
1,Trading Asset Securities,434.28,431.46,210.1,114.26,168.28,147.81,214.15,172,1152,265.32,288.02,172.03,176.46,194.42,259.68,1059,-,339.1,-
2,Cash & Short-Term Investments,10543,7378,3856,3890,4710,4801,3676,3897,5592,6432,3344,3803,2600,3486,3334,4305,649.71,2786,2964
3,Cash Growth,123.84%,53.68%,4.89%,-0.19%,-15.77%,-25.36%,9.94%,2.48%,115.12%,84.51%,0.30%,-11.65%,300.11%,25.15%,12.46%,-,-,-,-
4,Accounts Receivable,1844,1252,1328,1118,1316,985.01,1316,998.47,1183,1170,1369,713.92,1006,904.27,922.09,454.06,-,483.8,-
5,Other Receivables,89.33,41.97,43.76,41.35,39.02,37.02,28.66,49.29,30.42,26.26,21.92,21.5,21.93,53.43,73.57,19.66,-,19.21,-
6,Receivables,1934,1294,1371,1759,1355,1222,1345,1648,1214,1196,1391,735.42,1028,957.7,995.66,473.72,-,503.01,-
7,Inventory,2697,3872,4005,3485,3524,3177,3635,2840,3483,5911,4938,3677,4826,3885,4083,2767,-,2261,-
8,Prepaid Expenses,-,0.11,-,0.1,-,1.42,-,0.13,-,0.18,-,0.25,-,0.39,-,0.52,-,0.6,-
9,Other Current Assets,1956,1598,1665,1789,2445,2043,2717,1465,2248,1910,2259,1834,1839,1332,1467,1260,6674,1582,-
10,Total Current Assets,17130,14141,10897,10923,12033,11244,11373,9850,12537,15449,11931,10050,10292,9661,9879,8806,7323,7132,-
11,"Property, Plant & Equipment",5160,5242,5151,5257,5279,5321,5394,5443,5275,5089,4830,4706,3976,3553,2522,2270,-,2220,-
12,Long-Term Investments,94.48,94.48,94.48,4.48,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Goodwill,168.91,168.91,168.91,168.91,168.91,168.91,168.91,168.91,168.91,168.91,168.91,168.91,168.91,141.88,141.88,3.26,-,3.26,-
14,Other Intangible Assets,666.3,711.45,715.68,719.91,717.47,729.62,733.85,738,825.21,829.92,701.16,738.83,745.7,701.12,702.45,501.85,-,350.63,-
15,Long-Term Accounts Receivable,-,3.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Long-Term Deferred Tax Assets,127.52,133.43,135.46,125.23,131.78,103.67,101.83,103.81,113.69,108.48,91.59,86.9,83.38,84.54,52.84,52.66,-,47.8,-
17,Long-Term Deferred Charges,21.92,22.6,22.51,21.87,21.59,21.57,23.54,25.26,21.25,21.58,14.31,10.84,28.03,21.79,26.95,19.01,-,13.51,-
18,Other Long-Term Assets,594.15,448.06,453.83,429.15,448.63,446.81,432.25,451.8,288.28,310.23,345.98,107,143.83,146.27,411.17,191.48,2681,35.77,-
19,Total Assets,23964,20966,17640,17650,18806,18041,18227,16780,19229,21977,18083,15869,15438,14309,13736,11844,10004,9803,-
20,Accounts Payable,11247,7820,3944,4632,5490,4110,3795,2934,5221,6725,5459,4359,1648,3332,3140,2172,-,2769,-
21,Accrued Expenses,129.69,216.38,110.45,271.75,178.78,288.77,149.48,245.91,158.56,245.15,155.06,296.15,186.37,282.06,150.98,293.99,-,180.41,-
22,Short-Term Debt,1135,1487,2310,1383,1542,2093,2497,2030,2124,3339,3018,2032,4815,2393,2602,1779,-,1382,-
23,Current Portion of Long-Term Debt,304.03,275.45,293.65,281.89,255.68,334.95,308.85,230.8,169.43,208.79,164.86,194.67,55.92,51.86,44.03,40.08,-,30,-
24,Current Portion of Leases,-,6.09,-,6.57,-,3.62,-,4.43,-,2.8,-,4.13,-,3.95,-,-,-,-,-
25,Current Income Taxes Payable,154.16,47.7,53.9,53.75,109.69,38.37,150.13,81.38,189.06,70.05,109.64,50.28,52.81,111.55,145.45,27.34,-,236.19,-
26,Current Unearned Revenue,356.57,235.07,261.97,227.74,395.91,314.2,426.91,305.77,448.53,300.65,390.94,290.54,481.69,231.74,187.22,307.57,-,201.37,-
27,Other Current Liabilities,573.25,631.03,537.83,419.79,614.24,629.37,571.08,635.64,747.41,833.1,644.08,636.79,503.75,478.41,390.15,224.2,4825,95.68,-
28,Total Current Liabilities,13899,10719,7512,7276,8586,7812,7899,6467,9058,11724,9941,7864,7743,6884,6660,4844,4825,4895,-
29,Long-Term Debt,2276,2412,2566,2332,2461,2584,2689,2727,2687,2601,834,600.7,442.79,221.54,253.39,40.08,-,60,-
30,Long-Term Leases,121.8,130.5,56.61,57.45,32.74,32.58,33.74,33.37,4.7,4.92,4.7,5.13,7.61,7.77,7.65,-,-,-,-
31,Long-Term Unearned Revenue,294.48,282.62,286.97,277.36,281.35,209.67,195.83,169.25,171.07,153.44,154.12,156.59,151.38,153.16,154.87,113.95,-,117.43,-
32,Long-Term Deferred Tax Liabilities,3.55,3.66,3.78,3.89,1.04,1.2,1.32,1.43,1.55,1.67,1.78,1.9,2.02,-,-,-,-,-,-
33,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205.69,-,-
34,Total Liabilities,16596,13548,10425,9947,11363,10640,10819,9398,11922,14485,10935,8628,8347,7267,7076,4998,5031,5072,-
35,Common Stock,1430,1429,1430,1430,1430,1430,1430,1430,1431,1431,1439,1439,1438,1439,1412,1412,4515,1270,-
36,Additional Paid-In Capital,1891,1883,1883,1878,1840,1928,1913,1897,1937,1928,1968,1959,1990,1974,1801,1799,-,240.71,-
37,Retained Earnings,3140,3150,3042,3462,3330,3227,3106,3106,2881,2996,2940,3024,2985,3006,2719,3045,-,2769,-
38,Treasury Stock,-347.36,-275.45,-319.84,-258.12,-322.6,-322.66,-194.94,-200.41,-256.16,-256.16,-255.21,-191.25,-187.76,-188.46,-,-,-,-,-
39,Comprehensive Income & Other,201.8,201.8,201.8,201.8,201.8,201.81,201.81,201.81,353.17,353.17,-,-,-,-,-,-,-,-,-
40,Total Common Equity,6316,6388,6236,6713,6479,6465,6457,6435,6346,6451,6091,6230,6226,6230,5931,6255,4515,4279,3717
41,Minority Interest,1052,1030,978.98,989.76,963.96,936.78,951.07,946.84,960.73,1041,1056,1010,865.69,812.32,728.63,591.21,458.61,451.16,-
42,Shareholders' Equity,7368,7418,7215,7703,7443,7401,7408,7382,7307,7492,7147,7241,7092,7042,6660,6846,4973,4731,4166
43,Total Liabilities & Equity,23964,20966,17640,17650,18806,18041,18227,16780,19229,21977,18083,15869,15438,14309,13736,11844,10004,9803,-
44,Total Debt,3837,4311,5226,4061,4292,5048,5529,5026,4986,6156,4021,2837,5321,2678,2907,1859,-,1472,1333
45,Net Cash (Debt),6706,3067,-1370,-170.72,417.93,-247.34,-1853,-1128,606.41,276.46,-677.72,966.55,-2721,807.99,426.47,2446,649.71,1313,1632
46,Net Cash Growth,1504.47%,-,-,-,-31.08%,-,-,-,-,-65.78%,-,-60.48%,-,-38.48%,-73.86%,-,-,-,-
47,Net Cash Per Share,4.32,2.20,-1.01,-0.12,0.29,-0.18,-1.31,-0.85,0.42,0.19,-0.47,0.69,-1.83,0.57,0.30,1.83,0.52,1.03,1.28
48,Filing Date Shares Outstanding,1552,1389,1356,1409,1430,1430,1430,1329,1431,1439,1439,1439,1438,1439,1412,1412,1412,1270,1279
49,Total Common Shares Outstanding,1552,1389,1356,1409,1430,1430,1430,1329,1431,1439,1439,1439,1438,1439,1412,1412,1412,1270,1279
50,Working Capital,3231,3423,3385,3647,3447,3432,3473,3383,3480,3725,1990,2186,2550,2777,3219,3962,2498,2237,-
51,Book Value Per Share,4.07,4.60,4.60,4.76,4.53,4.52,4.51,4.84,4.44,4.48,4.23,4.33,4.33,4.33,4.20,4.43,3.20,3.37,2.93
52,Tangible Book Value,5481,5508,5351,5824,5593,5566,5554,5528,5352,5453,5221,5323,5312,5387,5087,5750,4515,3926,3358
53,Tangible Book Value Per Share,3.53,3.97,3.95,4.13,3.91,3.89,3.88,4.16,3.74,3.79,3.63,3.70,3.69,3.74,3.60,4.07,3.20,3.09,2.65
54,Buildings,-,3306,-,3307,-,3060,-,3024,-,2411,-,2216,-,1817,-,1631,-,1572,-
55,Machinery,-,4109,-,4019,-,3838,-,3785,-,3243,-,2928,-,2087,-,1726,-,1636,-
56,Construction In Progress,-,146.84,-,86.48,-,376.8,-,354.03,-,1003,-,950.08,-,903.45,-,75.03,-,73.4,-
