,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,148,91,251,155,120,123,201,245,258,223,374,Upgrade
1,Market Cap Growth,-41.38%,-41.38%,108.26%,26.16%,-40.00%,-50.00%,-22.41%,10.00%,-30.95%,-73.12%,-56.48%,Upgrade
2,Enterprise Value,161,114,235,160,124,146,241,306,307,278,418,Upgrade
3,Last Close Price,0.25,0.17,0.47,0.29,0.27,0.28,0.45,0.55,0.58,0.50,0.84,Upgrade
4,PE Ratio,-,-,-,-,-,-,-17.49,-,-,-,-,Upgrade
5,PS Ratio,0.79,0.54,1.38,1.18,0.71,0.54,0.75,0.77,0.71,0.56,0.83,Upgrade
6,PB Ratio,11.36,5.20,6.25,3.50,4.63,2.26,2.85,3.17,2.96,2.18,3.83,Upgrade
7,P/TBV Ratio,7.75,7.75,7.77,3.50,4.63,2.26,2.85,3.17,2.96,2.18,3.83,Upgrade
8,P/FCF Ratio,-,-,-,-,7.46,-4.01,-,-,23.40,-33.00,-,Upgrade
9,P/OCF Ratio,-,-,-,-,7.12,-4.23,-,-,17.50,-63.59,-,Upgrade
10,EV/Sales Ratio,0.96,0.68,1.30,1.23,0.74,0.64,0.91,0.96,0.84,0.70,0.93,Upgrade
11,EV/EBITDA Ratio,-,-,-208.18,-,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-178.89,-,-,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,-3.83,-,-,-,7.71,-4.76,-,-,27.81,-41.22,-,Upgrade
14,Debt / Equity Ratio,2.79,2.79,1.40,0.54,0.58,0.58,0.52,1.20,1.03,0.92,1.11,Upgrade
15,Debt / FCF Ratio,-,-,-,-,0.93,-1.03,-,-,8.12,-13.99,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-2.67%,-,-,-,-,-,-,-,-,Upgrade
17,Earnings Yield,-19.07%,-31.08%,-6.19%,-21.71%,-36.88%,-14.32%,-5.72%,-14.44%,-9.45%,-13.82%,-10.70%,Upgrade
18,FCF Yield,-28.42%,-46.32%,-8.88%,5.43%,13.40%,-24.93%,-18.41%,0.35%,4.27%,-3.03%,-7.69%,Upgrade
19,Buyback Yield / Dilution,-19.38%,-19.12%,-19.64%,-0.43%,-,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,-19.38%,-19.12%,-19.64%,-0.43%,-,-,-,-,-,-,-,Upgrade
