,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,438.48,419.16,430.72,530.99,542.71,192.11,145.5,165.22,167.62,175.06,343.6,31.51,-,34.32,-,-,-,35.23,35.23
1,Trading Asset Securities,-,-,-,-,-,-,-,-,38.5,95.5,-,-,-,5,-,-,-,20,20
2,Cash & Short-Term Investments,438.48,419.16,430.72,530.99,542.71,192.11,145.5,165.22,206.12,270.56,343.6,31.51,-,39.32,45.4,-,55.23,55.23,55.23
3,Cash Growth,-19.20%,118.19%,196.03%,221.39%,163.30%,-29.00%,-57.65%,424.35%,-,588.11%,656.84%,-,-,-28.81%,-17.81%,-,-,-,-
4,Accounts Receivable,359.07,326.41,337.94,366.51,350.07,294.71,287.09,296.73,263.59,202.81,217.23,204.5,-,166.1,-,-,-,97.23,97.23
5,Other Receivables,2.49,1.91,2.1,1.35,0.97,1.32,1.99,3.07,1.46,1.48,2.4,7.66,-,5.25,-,-,-,1.66,1.66
6,Receivables,361.56,328.32,340.04,367.86,351.05,296.03,289.08,299.8,265.05,204.29,219.63,212.16,-,171.34,-,-,-,98.89,98.89
7,Inventory,156.39,145.78,143.57,144.07,137.99,114.66,113.04,125.74,132.83,131.37,121.01,105.23,-,91.57,-,-,-,89.05,89.05
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,-,-,-,0.02,0.02
9,Other Current Assets,19.88,19.96,21.44,14.32,15.84,10.9,14.92,21.3,14.45,8.79,42.28,12.39,-,10.48,-,-,-,18.78,18.78
10,Total Current Assets,976.31,913.22,935.77,1057,1048,613.7,562.54,612.06,618.44,615.01,726.52,361.3,-,312.73,-,-,-,261.97,261.97
11,"Property, Plant & Equipment",562.5,571.73,554.85,525.72,482.79,446.87,437.21,376.09,333.86,241.41,227.57,218.15,-,198.47,-,-,-,200.85,200.85
12,Long-Term Investments,25.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Goodwill,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.04,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,40.01,38.76,41.16,40,39.6,38.48,38.59,32.21,28.73,29.12,29.55,29.26,-,27.85,-,-,-,14.98,14.98
15,Long-Term Accounts Receivable,-,-,-,-,-,-,0.1,0.66,2.62,0.73,1.52,4.73,-,6.97,-,-,-,7.53,7.53
16,Long-Term Deferred Tax Assets,2.2,0.92,0.6,0.49,7.37,6.54,5.01,5.43,3.71,2.8,2.49,2.73,-,2.46,-,-,-,2.04,2.04
17,Long-Term Deferred Charges,27.18,21.33,16.49,18.47,21.41,22.32,23.41,25.59,15.43,11.1,11.53,12.26,-,13.46,-,-,-,14.69,14.69
18,Other Long-Term Assets,6.42,5.96,8.24,5.5,16.05,33.63,13.18,25.91,44.27,44.4,8.52,2.69,-,5.77,-,-,-,3.99,3.99
19,Total Assets,1668,1580,1585,1675,1643,1190,1108,1106,1075,944.57,1008,631.12,-,567.71,-,-,-,506.05,506.05
20,Accounts Payable,242.22,212.05,209.43,261.01,283.48,212.49,166.48,183.57,213.1,144.5,144.93,137.74,-,113.21,-,-,-,91.23,91.23
21,Accrued Expenses,15.1,24.32,16.74,25.1,15.33,23.02,9.41,20.55,8.16,16.15,7.56,14.68,-,14.61,-,-,-,9.55,9.55
22,Short-Term Debt,90.93,75.74,77.93,145.28,107.64,87.33,59.04,79.09,40,-,62.06,30.03,-,10.01,-,-,-,30.03,30.03
23,Current Portion of Leases,4.06,2.8,0.85,1.02,3.17,3.06,3.87,3.71,4.67,4.06,-,1.42,-,4.53,-,-,-,19.68,19.68
24,Current Income Taxes Payable,16.42,1.34,9.23,1.29,10.84,1.04,14.13,6.73,10.6,4.06,3.9,3.36,-,2.6,-,-,-,1.07,1.07
25,Current Unearned Revenue,4.77,7.11,6.24,11.2,11.93,12.35,11.81,8.66,9.66,6.71,2.81,2.56,-,3.03,-,-,-,11.31,11.31
26,Other Current Liabilities,6.15,5.29,5.67,4.39,7.25,20.44,26.41,1.35,7.94,3.92,8.88,0.83,-,5.39,-,-,-,11.36,11.36
27,Total Current Liabilities,379.66,328.65,326.09,449.29,439.64,359.73,291.15,303.66,294.13,179.39,230.14,190.6,-,153.37,-,-,-,174.23,174.23
28,Long-Term Debt,300.54,295.71,290.65,286.33,281.52,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Long-Term Leases,5.18,5.84,1.91,2.17,2.17,3.24,3.77,4.95,5.17,4.8,10.05,0.53,-,1.01,-,-,-,2.77,2.77
30,Long-Term Unearned Revenue,18.64,12.19,10.28,11.6,11.57,9.43,6.1,4.2,4.38,3.38,4.14,2.55,-,2.06,-,-,-,2.23,2.23
31,Long-Term Deferred Tax Liabilities,13.32,14.55,14.73,15.21,21.65,10.86,10.15,11.29,9.97,7.46,7.78,7.78,-,6.8,-,-,-,4.35,4.35
32,Total Liabilities,717.34,656.93,643.66,764.6,756.54,383.42,311.17,324.1,313.65,195.03,252.12,201.46,-,163.25,-,-,-,183.58,183.58
33,Common Stock,112.82,112.03,80.01,80,80,80,80,80,80,80,80,60,-,60,-,-,-,60,60
34,Additional Paid-In Capital,433.05,420.13,446.47,440.65,436.37,435.92,435.48,435.05,434.66,434.22,437.89,137.18,-,135.14,-,-,-,152.9,152.9
35,Retained Earnings,366.98,352.59,355.38,330.51,310.02,288.95,280.45,265.86,246.79,235.32,237.69,232.47,-,209.32,-,-,-,109.58,109.58
36,Treasury Stock,-20,-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,57.87,57.88,57.92,57.99,57.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Total Common Equity,950.72,922.63,939.78,909.14,884.38,804.87,795.94,780.91,761.45,749.54,755.58,429.65,-,404.46,372.39,-,322.47,322.47,322.47
39,Minority Interest,0.44,0.39,1.72,1.72,1.93,1.29,0.97,0.98,-,-,-,-,-,-,-,-,-,-,-
40,Shareholders' Equity,951.16,923.02,941.5,910.87,886.31,806.16,796.91,781.89,761.45,749.54,755.58,429.65,-,404.46,372.39,-,322.47,322.47,322.47
41,Total Liabilities & Equity,1668,1580,1585,1675,1643,1190,1108,1106,1075,944.57,1008,631.12,-,567.71,-,-,-,506.05,506.05
42,Total Debt,400.71,380.08,371.34,434.8,394.5,93.78,66.68,87.75,49.84,8.86,72.11,31.98,-,15.56,10.01,-,52.48,52.48,52.48
43,Net Cash (Debt),37.77,39.08,59.39,96.19,148.2,98.33,78.82,77.47,156.28,261.7,271.49,-0.47,-,23.76,35.39,-,2.75,2.75,2.75
44,Net Cash Growth,-74.51%,-60.25%,-24.66%,24.18%,-5.17%,-62.43%,-70.97%,-,-,1001.26%,667.20%,-,-,763.14%,1185.33%,-,-,-,-
45,Net Cash Per Share,0.34,0.35,0.53,0.87,1.32,0.88,0.70,0.69,1.39,2.34,2.91,-0.01,-,0.28,0.41,-,0.03,0.03,0.03
46,Filing Date Shares Outstanding,111.95,111.16,112.02,112,112,112,112,112,112,112,112,84,83.96,84,84,84,84,84,84
47,Total Common Shares Outstanding,111.95,111.16,112.02,112,112,112,112,112,112,112,112,84,83.96,84,84,84,84,84,84
48,Working Capital,596.65,584.58,609.68,607.95,607.95,253.97,271.39,308.4,324.31,435.62,496.37,170.69,-,159.35,-,-,-,87.74,87.74
49,Book Value Per Share,8.49,8.30,8.39,8.12,7.90,7.19,7.11,6.97,6.80,6.69,6.75,5.11,-,4.81,4.43,-,3.84,3.84,3.84
50,Tangible Book Value,882.67,855.83,870.57,841.1,816.74,738.35,729.31,720.66,704.69,720.43,726.03,400.39,-,376.61,344.11,-,307.49,307.49,307.49
51,Tangible Book Value Per Share,7.88,7.70,7.77,7.51,7.29,6.59,6.51,6.43,6.29,6.43,6.48,4.77,-,4.48,4.10,-,3.66,3.66,3.66
52,Buildings,-,274.37,-,183.07,-,121.19,-,115.73,-,96.13,-,96.07,-,93.47,-,-,-,95.06,95.06
53,Machinery,-,347.18,-,320.8,-,280.08,-,277.81,-,197.14,-,173.82,-,117.98,-,-,-,150.17,150.17
54,Construction In Progress,-,84.18,-,141.8,-,154.02,-,74.97,-,29.93,-,19.52,-,5.37,-,-,-,4.09,4.09
