,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,258.98,211.9,232.38,250.41,258.21,191.94,182.47,210.33,201.06,119.01,147.16,152.12,126.78,128.82,128.62,155.39,155.39,86.53,86.53
1,Other Revenue,-9.54,9.54,-,20.04,-9.18,9.18,-,14.64,-6.83,6.83,-,12.38,-5.65,5.65,-,4.17,4.17,1.72,1.72
2,Revenue,249.44,221.44,232.38,270.45,249.02,201.12,182.47,224.97,194.23,125.84,147.16,164.5,121.13,134.47,128.62,159.56,159.56,88.25,88.25
3,Revenue Growth (YoY),0.17%,10.10%,27.36%,20.22%,28.21%,59.83%,24.00%,36.76%,60.34%,-6.42%,14.41%,3.10%,-24.08%,52.37%,45.74%,-,-,-,-
4,Cost of Revenue,187.43,174.17,171.8,206.62,185.28,157.54,143.37,176.81,157.43,107.45,120.28,131.26,94,103.07,91.73,114.15,114.15,65.03,65.03
5,Gross Profit,62.01,47.27,60.58,63.83,63.74,43.58,39.1,48.16,36.8,18.39,26.87,33.24,27.13,31.4,36.9,45.41,45.41,23.22,23.22
6,"Selling, General & Admin",20.08,21.44,21.84,28.05,19.1,17.91,12.45,13.28,12.68,9.46,14.91,7.38,9.39,10.17,8.16,6.9,6.9,7.75,7.75
7,Research & Development,17.7,14.49,11.14,13.97,14.88,10.93,6,10.24,7.26,8.52,5.78,6.95,6.97,8.98,4.4,6.85,6.85,6.75,6.75
8,Other Operating Expenses,-4.49,1.07,-0.91,0.92,0.21,1.9,0.67,9.81,-2.39,-4.18,0.46,2.69,-0.2,0.91,0.81,0.23,0.23,0.38,0.38
9,Operating Expenses,31.15,38.85,30.27,44.86,36.53,26.76,22.78,36.23,17.89,14.68,19.91,19.04,16.47,19.03,13.26,16.05,16.05,14.52,14.52
10,Operating Income,30.86,8.42,30.31,18.97,27.21,16.82,16.32,11.93,18.91,3.71,6.97,14.21,10.67,12.37,23.64,29.37,29.37,8.7,8.7
11,Interest Expense,-5.33,-6.27,-5.25,-10.35,-5.68,-0.75,-0.31,-0.56,-0.22,-,-0.56,-0.14,-0.21,-0.27,-0.41,-0.68,-0.68,-0.25,-0.25
12,Interest & Investment Income,1.09,3.33,-,6.25,2.38,0.54,0.47,1.34,0.89,0.88,0.46,0.08,0.22,0.29,0.08,0.26,0.26,0.14,0.14
13,Currency Exchange Gain (Loss),-0.72,0.72,-,0.61,-0.63,0.63,-,-0.01,-0.14,0.14,-,-0.08,0.05,-0.05,-,-0.07,-0.07,0.03,0.03
14,Other Non Operating Income (Expenses),-3.41,0.11,2.48,0.31,0.61,0.37,-0.29,1.27,-1.29,0.56,-0.09,-0.59,0.26,-0.4,0.02,-0.01,-0.01,-0.02,-0.02
