,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,3437,3203,2141,1883,1644,1565,740.88,747.58,-
1,Short-Term Investments,33.38,2.26,24.21,0.36,10.7,0.98,25.39,3,-
2,Cash & Short-Term Investments,3470,3206,2166,1883,1655,1566,766.27,750.58,-
3,Cash Growth,60.23%,70.24%,30.86%,20.21%,115.97%,108.70%,-,-,-
4,Accounts Receivable,471.65,365.31,286.43,308.12,245.44,237.98,182.37,191.95,-
5,Other Receivables,1.06,2.55,0.79,0.41,-,0.35,-,4.15,-
6,Receivables,472.71,367.86,287.22,308.53,245.44,238.33,182.37,196.1,-
7,Inventory,250.26,237.32,139.17,120.13,142.36,101.82,108.75,75.37,-
8,Other Current Assets,76,24.43,-,21.13,-,58.98,-,16.47,-
9,Total Current Assets,4269,3835,2592,2333,2043,1966,1057,1039,-
10,"Property, Plant & Equipment",1262,1171,836.23,822.62,696.13,637.43,625.23,554.42,-
11,Goodwill,104.17,104.17,-,-,-,-,-,-,-
12,Other Intangible Assets,19.26,9.22,-,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,10.6,11.84,1.19,1.19,1.19,1.19,1.19,1.19,-
14,Long-Term Deferred Charges,-,14.57,-,-,-,-,-,-,-
15,Other Long-Term Assets,198.75,8.71,2.61,0.18,0.18,0.18,0.18,0.18,-
16,Total Assets,5863,5155,3432,3157,2740,2604,1684,1594,-
17,Accounts Payable,68.39,33.26,34.76,23.55,68.48,37.56,27.95,21.89,-
18,Accrued Expenses,146.84,36.55,63.38,42,41.13,29.03,41.18,25.32,-
19,Short-Term Debt,-,55.06,-,69.87,-,22.65,-,-,-
20,Current Portion of Long-Term Debt,597.17,183.02,237.1,8.28,160.29,135.24,81.21,90.27,-
21,Current Portion of Leases,2,1.86,0.11,0.21,0.61,0.63,0.6,0.58,-
22,Current Income Taxes Payable,23.91,8.75,10.09,3.61,6.99,0.99,5.82,6.85,-
23,Current Unearned Revenue,9.45,4.8,1.46,1.46,1.98,1.46,1.65,2.58,-
24,Other Current Liabilities,-,48.28,107.7,32.18,-,27.5,-,16.73,-
25,Total Current Liabilities,847.76,371.57,454.6,181.16,279.47,255.05,158.4,164.23,-
26,Long-Term Debt,779.19,670.76,331.9,425.16,-,-,73.74,75.37,-
27,Long-Term Leases,2.74,3.05,0.05,0.07,1.11,1.4,1.73,2.04,-
28,Long-Term Unearned Revenue,6.7,6.32,1.73,2.46,3.18,3.9,4.63,5.35,-
29,Long-Term Deferred Tax Liabilities,12.87,17.98,5.67,4.7,2.99,1.37,-,-,-
30,Other Long-Term Liabilities,0.51,0.47,-,-,-,-,-,-,-
31,Total Liabilities,1650,1070,793.95,613.54,286.75,261.72,238.5,246.99,-
32,Common Stock,103.7,103.7,99.32,99.32,99.32,99.32,12.34,12.34,-
33,Additional Paid-In Capital,886.37,886.37,703.44,703.44,739.28,739.28,-,-,-
34,Retained Earnings,977.82,870.77,775.52,690.85,573.35,467.06,399.15,305.03,-
35,Comprehensive Income & Other,1289,1296,863.87,863.83,863.83,863.83,863.86,863.86,-
36,Total Common Equity,3257,3156,2442,2357,2276,2169,1275,1181,-
37,Minority Interest,956.57,928.66,195.88,185.89,177.65,173.16,170.14,166.07,-
38,Shareholders' Equity,4214,4085,2638,2543,2453,2343,1445,1347,-
39,Total Liabilities & Equity,5863,5155,3432,3157,2740,2604,1684,1594,-
40,Total Debt,1381,913.75,569.16,503.59,162.01,159.92,157.28,168.26,-
41,Net Cash (Debt),2089,2292,1596,1379,1493,1407,608.99,582.32,-
42,Net Cash Growth,30.85%,66.15%,6.93%,-1.92%,145.14%,141.54%,-,-,-
43,Net Cash Per Share,1.69,1.87,1.34,1.63,1.25,1.21,0.70,0.67,-
44,Filing Date Shares Outstanding,1239,1239,1192,1192,1192,1192,872.02,1163,872.02
45,Total Common Shares Outstanding,1239,1239,1192,1192,1192,1192,872.02,872.02,872.02
46,Working Capital,3421,3464,2137,2152,1763,1711,898.99,874.28,-
47,Book Value Per Share,2.63,2.55,2.05,1.98,1.91,1.82,1.46,1.35,-
48,Tangible Book Value,3134,3043,2442,2357,2276,2169,1275,1181,-
49,Tangible Book Value Per Share,2.53,2.46,2.05,1.98,1.91,1.82,1.46,1.35,-
50,Buildings,-,548.66,-,411.03,-,314.29,-,256.05,-
51,Machinery,-,266.14,-,164.36,-,102.88,-,87.39,-
52,Construction In Progress,-,467.9,-,304.03,-,285.7,-,252.1,-
53,Leasehold Improvements,-,61.78,-,60.42,-,11.79,-,8.53,-
