,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,774.62,599.73,464.32,534.77,382.05,362.7,307.03,324.11,245.01
1,Revenue Growth (YoY),66.83%,12.15%,21.54%,47.44%,24.43%,11.91%,25.31%,-,-
2,Cost of Revenue,381.48,291.99,236.05,271.66,183.49,186.58,143.08,156.58,123.47
3,Gross Profit,393.14,307.74,228.28,263.11,198.56,176.12,163.94,167.53,121.54
4,"Selling, General & Admin",157.24,158.31,89.56,120.64,64.07,83.18,53.38,62.22,35.29
5,Other Operating Expenses,4.5,-5.77,2.05,0.22,-0.36,3.08,-2.42,-6.65,-0.57
6,Operating Expenses,166.6,151.92,91.61,124.41,63.67,92.44,47.53,56.55,37.85
7,Operating Income,226.55,155.82,136.67,138.7,134.89,83.68,116.42,110.97,83.69
8,Interest Expense,-42.71,-29.95,-21.48,-5.99,-4.96,-5.37,-6.07,-9.19,-10.21
9,Interest & Investment Income,-,11.71,-,15.4,-,3.23,-,2.11,-
10,Currency Exchange Gain (Loss),-,4.83,-,-3.75,-,-0.78,-,0.45,-
11,EBT Excluding Unusual Items,183.83,142.41,115.19,144.36,129.93,80.76,110.34,104.34,73.49
12,Merger & Restructuring Charges,-,-3.57,-,-,-,-,-,-,-
13,Gain (Loss) on Sale of Assets,-,-,-,0.01,-,-,-,-,-
14,Other Unusual Items,-,-,-,0.18,-,-,-,-,-
15,Pretax Income,183.83,138.84,115.19,144.54,129.93,80.76,110.34,104.34,73.49
16,Income Tax Expense,39.29,20.22,20.52,18.81,19.15,9.83,12.16,14.2,10.76
17,Earnings From Continuing Operations,144.54,118.62,94.66,125.73,110.78,70.94,98.18,90.13,62.73
18,Minority Interest in Earnings,-37.48,-21.71,-10,-8.23,-4.49,-3.02,-4.07,-2.96,-1.73
19,Net Income,107.06,96.91,84.67,117.5,106.29,67.91,94.12,87.17,61
20,Net Income to Common,107.06,96.91,84.67,117.5,106.29,67.91,94.12,87.17,61
21,Net Income Growth,26.45%,-17.52%,-20.34%,73.02%,12.94%,-22.09%,54.28%,-,-
22,Shares Outstanding (Basic),1239,1226,1192,847,1192,1167,872,872,872
23,Shares Outstanding (Diluted),1239,1226,1192,847,1192,1167,872,872,872
24,Shares Change (YoY),3.95%,44.68%,-,-27.37%,36.67%,33.77%,-,-,-
25,EPS (Basic),0.09,0.08,0.07,0.14,0.09,0.06,0.11,0.10,0.07
26,EPS (Diluted),0.09,0.08,0.07,0.14,0.09,0.06,0.11,0.10,0.07
27,EPS Growth,23.40%,-42.77%,-21.51%,139.92%,-17.36%,-42.38%,54.28%,-,-
28,Free Cash Flow,55.92,20.45,101.05,-77.28,33.22,33.85,3.01,-56.39,-2.17
29,Free Cash Flow Per Share,0.05,0.02,0.08,-0.09,0.03,0.03,0.00,-0.06,-0.00
30,Operating Margin,29.25%,25.98%,29.43%,25.94%,35.31%,23.07%,37.92%,34.24%,34.16%
31,Profit Margin,13.82%,16.16%,18.23%,21.97%,27.82%,18.72%,30.65%,26.90%,24.90%
32,Free Cash Flow Margin,7.22%,3.41%,21.76%,-14.45%,8.69%,9.33%,0.98%,-17.40%,-0.89%
33,EBITDA,265.12,189.06,162.76,160.49,150.46,97.63,128.03,122.44,95.09
34,D&A For EBITDA,38.57,33.24,26.09,21.79,15.57,13.95,11.61,11.47,11.4
35,EBIT,226.55,155.82,136.67,138.7,134.89,83.68,116.42,110.97,83.69
