,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,4807,4869,4894,5220,4719,5005,13705,-,-,-
1,Market Cap Growth,-6.73%,-6.73%,3.69%,4.29%,-65.57%,-,-,-,-,-
2,Enterprise Value,3590,3367,3380,3864,3179,3491,13177,-,-,-
3,Last Close Price,3.88,3.93,3.95,4.38,3.96,4.20,11.40,-,-,-
4,PE Ratio,21.82,22.21,24.46,23.90,18.65,24.53,68.91,-,-,-
5,Forward PE,15.05,14.63,12.63,15.74,14.91,14.43,43.58,-,-,-
6,PS Ratio,3.24,3.30,4.17,4.84,4.55,5.74,16.67,-,-,-
7,PB Ratio,1.37,1.08,1.09,1.83,1.64,1.74,4.77,-,-,-
8,P/TBV Ratio,1.45,1.45,1.46,1.98,1.77,1.88,5.15,-,-,-
9,P/FCF Ratio,58.58,59.34,36.56,203.22,-,63.71,302.92,-,-,-
10,P/OCF Ratio,13.47,13.47,15.68,22.52,23.00,25.21,75.73,-,-,-
11,EV/Sales Ratio,2.43,2.28,2.88,3.58,3.07,4.00,16.03,-,-,-
12,EV/EBITDA Ratio,7.31,6.90,8.72,11.06,9.04,12.01,47.57,-,-,-
13,EV/EBIT Ratio,8.74,8.19,10.49,12.99,10.28,13.64,53.65,-,-,-
14,EV/FCF Ratio,43.75,41.03,25.25,150.43,-,44.44,291.25,-,-,-
15,Debt / Equity Ratio,0.33,0.33,0.22,0.22,0.20,0.07,0.07,0.11,0.12,-
16,Debt / FCF Ratio,18.09,18.09,7.52,23.94,-,2.42,4.34,-2.95,-,-
17,Return on Capital Employed (ROCE),7.62%,7.62%,6.11%,9.25%,9.19%,8.88%,8.52%,14.90%,13.61%,-
18,Earnings Yield,4.56%,4.50%,4.09%,4.18%,5.36%,4.08%,1.45%,-,-,-
19,FCF Yield,1.71%,1.69%,2.74%,0.49%,-1.06%,1.57%,0.33%,-,-,-
20,Buyback Yield / Dilution,-20.88%,-3.95%,-44.68%,-,27.37%,-36.67%,-33.77%,-,-,-
21,Total Shareholder Return,-20.88%,-3.95%,-44.68%,-,27.37%,-36.67%,-33.77%,-,-,-
