,Fiscal Quarter,Q4 2024,Q4 2023
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Cash & Equivalents,15013,17506.0
1,Short-Term Investments,21208,13000.0
2,Cash & Short-Term Investments,36221,30506.0
3,Accounts Receivable,35577,35860.0
4,Other Receivables,59.92,801.03
5,Receivables,35637,36661.0
6,Inventory,7244,7244.0
7,Prepaid Expenses,12.03,33.18
8,Other Current Assets,5516,6800.0
9,Total Current Assets,84630,81245.0
10,"Property, Plant & Equipment",34119,47238.0
11,Other Long-Term Assets,3460,3494.0
12,Total Assets,122210,131977.0
13,Accounts Payable,240.51,389.1
14,Accrued Expenses,-,199.81
15,Short-Term Debt,485.58,7875.0
16,Current Income Taxes Payable,2.52,40.96
17,Current Unearned Revenue,1456,2451.0
18,Other Current Liabilities,103.55,90.42
19,Total Current Liabilities,2288,11047.0
20,Total Liabilities,2288,11047.0
21,Common Stock,120000,120000.0
22,Retained Earnings,-78.8,929.96
23,Shareholders' Equity,119921,120930.0
24,Total Liabilities & Equity,122210,131977.0
25,Total Debt,485.58,7875.0
26,Net Cash (Debt),35735,22631.0
27,Net Cash Per Share,2977.92,1885.91
28,Filing Date Shares Outstanding,12,12.0
29,Total Common Shares Outstanding,12,12.0
30,Working Capital,82342,70198.0
31,Book Value Per Share,9993.43,10077.5
32,Tangible Book Value,119921,120930.0
33,Tangible Book Value Per Share,9993.43,10077.5
34,Construction In Progress,277.76,5814.0
