,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,59,62,62,144,102,136,130,158,138,119,233,Upgrade
1,Market Cap Growth,-56.82%,-56.82%,-39.36%,5.60%,-21.01%,-13.79%,-6.30%,33.03%,-40.65%,-70.14%,-45.13%,Upgrade
2,Enterprise Value,811,1036,1073,1151,1135,1161,960,988,1170,1154,1291,Upgrade
3,Last Close Price,0.54,0.56,0.56,1.31,0.93,1.24,1.18,1.44,1.26,1.08,2.12,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,10.72,-,-2.11,-,Upgrade
5,PS Ratio,4.91,5.18,6.71,22.34,21.80,15.64,5.22,8.58,-,2.41,5.87,Upgrade
6,PB Ratio,0.77,0.33,0.09,0.18,0.13,0.15,0.14,0.13,0.12,0.10,0.20,Upgrade
7,P/FCF Ratio,3.77,3.77,11.99,66.62,-48.06,-,-,64.48,-,1.60,0.68,Upgrade
8,P/OCF Ratio,3.77,3.77,11.99,66.62,-48.06,-,-,64.48,-,1.60,0.68,Upgrade
9,EV/Sales Ratio,67.71,86.47,115.88,178.82,241.66,133.43,38.68,53.66,-,23.48,32.48,Upgrade
10,EV/EBITDA Ratio,127.06,162.26,513.93,-5752.66,-,-,48.73,60.42,-,27.93,41.07,Upgrade
11,EV/EBIT Ratio,135.42,172.93,633.53,-,-,-,49.98,61.37,-,27.87,41.11,Upgrade
12,EV/FCF Ratio,62.82,62.82,207.10,533.15,-532.79,-,-,403.37,-,15.54,3.74,Upgrade
13,Debt / Equity Ratio,3.44,3.44,0.91,0.79,0.75,0.67,0.67,0.54,0.56,0.59,0.61,Upgrade
14,Debt / FCF Ratio,39.10,39.10,122.59,291.19,-288.36,-,-,265.43,-,9.08,2.05,Upgrade
15,Earnings Yield,-566.00%,-536.21%,-117.35%,-49.08%,-67.20%,-195.74%,-185.69%,9.33%,-,-47.40%,-56.77%,Upgrade
16,FCF Yield,26.56%,26.56%,8.34%,1.50%,-2.08%,-8.12%,-4.77%,1.55%,-,62.59%,148.02%,Upgrade
