,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,62.24,52.39,24.32,8.53,2.92,0.05,0.02,0.01,0.01,-,0.01,0,-,-,-
1,Other Revenue,-3.78,3.78,-,2.23,-,-,-,-,-,-,-,-,-,-,-
2,Revenue,58.46,56.17,24.32,10.76,2.92,0.05,0.02,0.01,0.01,-,0.01,0,-,-,-
3,Revenue Growth (YoY),1903.16%,102224.10%,106219.56%,117465.80%,37333.29%,-,150.02%,100.04%,-,-,-,-,-,-,-
4,Cost of Revenue,10.39,13.06,5.12,2.41,0.5,0.01,0,1.83,0,-,0,1.04,-,0.15,-
5,Gross Profit,48.06,43.11,19.2,8.34,2.42,0.05,0.02,-1.82,0,-,0.01,-1.04,-,-0.15,-
6,"Selling, General & Admin",71.08,63.92,54.47,41.19,30.29,24.25,21.82,27.49,21.1,19.01,20.69,15.99,12.2,13.8,21.88
7,Research & Development,65.04,85.9,68.1,118.45,69.24,120.03,56.87,72.33,78.51,51.8,41.25,55.07,37.04,28.85,69.78
8,Other Operating Expenses,-0.26,0.24,-0.31,4.33,-0.09,-4.4,-0.15,3.15,-0.04,-2.68,-0.16,0.15,-0.03,2.98,-3.08
9,Operating Expenses,138.09,150.36,123.18,164.03,99.83,140.04,78.4,102.85,99.69,68.22,61.69,70.96,49.46,45.61,88.61
10,Operating Income,-90.02,-107.25,-103.97,-155.69,-97.41,-139.99,-78.38,-104.67,-99.69,-68.22,-61.68,-72,-49.46,-45.76,-88.61
11,Interest Expense,-1.61,-2.69,-0.74,-2.39,-0.2,-0.18,-0.19,-4.43,-0.19,-0.2,-0.16,-0.14,-0.14,-0.14,-0.06
12,Interest & Investment Income,6.15,7.06,20.21,11.01,16.78,11.47,8.76,-,17.75,4.74,8.35,5.14,3.55,4.11,1.64
13,Currency Exchange Gain (Loss),0.82,-0.82,-,-0.79,-0.22,0.22,-,9.84,-5.84,5.84,-,-2.03,0.67,-0.67,-
14,Other Non Operating Income (Expenses),-1.21,-0.57,-0.77,1.81,-2.77,1.43,-1.24,-13.84,12.24,1.58,-0.14,-2.95,-0.65,2.83,0.41
15,EBT Excluding Unusual Items,-85.87,-104.27,-85.27,-146.05,-83.82,-127.04,-71.06,-113.1,-75.73,-56.26,-53.63,-71.98,-46.02,-39.63,-86.61
16,Gain (Loss) on Sale of Investments,2.67,2.56,2.39,5.77,1.12,4.57,8.12,23.59,2.32,15.28,6.33,2.83,-0.06,0.09,1.24
17,Gain (Loss) on Sale of Assets,-,0.05,-,-,0.03,-0.03,-,-,-,-,-,-0.02,-,-,-
18,Asset Writedown,-0.91,0.43,-0.43,0.02,-0.05,-,-,-0.01,-,-,-,-,-,0.15,-0.15
19,Other Unusual Items,-2.74,-0.16,-,6.9,-,-,-,5.93,-,-,-,5.42,-,-,-
20,Pretax Income,-86.86,-101.39,-83.31,-133.35,-82.72,-122.5,-62.93,-83.59,-73.41,-40.98,-47.29,-63.75,-46.09,-39.4,-85.52
21,Income Tax Expense,0.16,-0.03,-0.34,-0.67,-,-,-,0.14,-0.2,1.33,-,-0.3,-0.19,-0.07,0.75
22,Earnings From Continuing Operations,-87.02,-101.36,-82.97,-132.68,-82.72,-122.5,-62.93,-83.73,-73.21,-42.31,-47.29,-63.45,-45.9,-39.33,-86.27
23,Minority Interest in Earnings,0.17,0.21,0.12,0.29,0.11,-,-,-,-,-,-,-,-,-,-
24,Net Income,-86.85,-101.14,-82.85,-132.39,-82.61,-122.5,-62.93,-83.73,-73.21,-42.31,-47.29,-63.45,-45.9,-39.33,-86.27
25,Net Income to Common,-86.85,-101.14,-82.85,-132.39,-82.61,-122.5,-62.93,-83.73,-73.21,-42.31,-47.29,-63.45,-45.9,-39.33,-86.27
