,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4712,3711,2913,3882,6145,6378,6663,8185,6413,5900,7188,7832,-,-,-,-
1,Market Cap Growth,-41.82%,-41.82%,-56.29%,-52.58%,-4.18%,8.12%,-7.30%,4.51%,-,-,-,-,-,-,-,-
2,Enterprise Value,3327,1855,825,1594,3857,3913,4106,5385,3612,3028,4307,7154,-,-,-,-
3,Last Close Price,8.39,6.60,5.11,6.81,10.78,11.19,11.69,14.36,11.25,10.35,12.61,13.74,-,-,-,-
4,PS Ratio,23.38,24.79,30.93,102.02,446.77,2122.41,70348.82,205555.00,245736.73,274153.07,-,570706.11,-,-,-,-
5,PB Ratio,2.27,1.78,1.33,1.69,2.57,2.53,2.57,3.02,2.31,2.07,2.46,2.64,-,-,-,-
6,P/TBV Ratio,1.84,1.84,1.37,1.73,2.64,2.56,2.59,3.04,2.33,2.08,2.48,2.66,-,-,-,-
7,EV/Sales Ratio,16.50,12.39,8.76,41.89,280.42,1301.92,43351.04,135229.57,138422.74,140724.58,-,521287.41,-,-,-,-
8,Debt / Equity Ratio,0.06,0.06,0.08,0.07,0.06,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,0.02,-
9,Asset Turnover,0.10,0.09,0.04,0.02,0.00,0.00,0.00,0.00,0.00,-,0.00,-,-,-,-,
10,Inventory Turnover,16.12,20.54,22.91,9.55,5.85,1.13,0.01,0.00,2.20,0.00,-,0.00,-,-,-,-
11,Quick Ratio,8.85,8.85,10.05,11.27,12.74,20.76,29.23,34.42,33.98,33.08,39.09,58.67,40.40,-,16.15,-
12,Current Ratio,8.99,8.99,10.13,11.35,12.82,21.12,29.49,35.90,34.22,33.37,39.50,59.26,40.72,-,16.61,-
13,Return on Equity (ROE),-16.33%,-18.08%,-14.15%,-21.63%,-12.94%,-18.46%,-9.18%,-11.91%,-10.14%,-5.75%,-6.33%,-,-,-20.32%,-,
14,Return on Assets (ROA),-9.46%,-10.72%,-10.02%,-14.62%,-9.03%,-12.71%,-6.90%,-8.98%,-8.36%,-5.65%,-5.03%,-,-,-,-,
15,Return on Capital (ROIC),-9.86%,-11.12%,-10.41%,-15.15%,-9.32%,-13.10%,-7.10%,-9.24%,-8.57%,-5.75%,-5.13%,-,-,-14.64%,-,
16,Earnings Yield,-8.23%,-10.87%,-13.70%,-10.83%,-6.52%,-5.52%,-5.14%,-3.20%,-3.84%,-3.84%,-2.77%,-2.50%,-,-,-,-
17,FCF Yield,-12.17%,-12.17%,-15.94%,-14.13%,-8.13%,-7.32%,-6.70%,-3.40%,-4.19%,-4.07%,-2.89%,-2.95%,-,-,-,-
18,Buyback Yield / Dilution,2.16%,7.54%,-8.32%,3.46%,5.23%,-4.05%,-4.31%,3.22%,-34.72%,-22.62%,-11.04%,-30.20%,-,-,-,-
19,Total Shareholder Return,2.16%,7.54%,-8.32%,3.46%,5.23%,-4.05%,-4.31%,3.22%,-34.72%,-22.62%,-11.04%,-30.20%,-,-,-,-
