,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,473.36,1168,2106,1738,1652,1356,1517,1035,716.67,754.86,570.72,2613,-,330.37,-
1,Short-Term Investments,-,-,-,14.54,-,108.87,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,1046,856.31,152.77,594.31,734.26,1017,1059,1703,2104,2137,2331,369.77,-,361.99,-
3,Cash & Short-Term Investments,1519,2024,2259,2347,2386,2482,2576,2738,2821,2892,2902,2983,-,692.35,798.68
4,Cash Growth,-36.33%,-18.44%,-12.34%,-14.29%,-15.41%,-14.16%,-11.21%,-8.20%,-,317.65%,263.30%,-,-,-,-
5,Accounts Receivable,43.11,31.74,20.22,8.68,0.16,0.08,0.03,0.02,0.01,0.01,0.01,0,-,-,-
6,Other Receivables,12.59,16.83,11.43,5.9,4.88,2.2,2.26,3.04,2.7,2.17,2.36,2.07,-,1.49,-
7,Receivables,55.7,48.57,31.66,14.57,5.04,2.29,2.29,3.06,2.71,2.18,2.37,2.08,-,1.49,-
8,Inventory,2.16,1.89,2.67,1.61,1.69,1.86,2.88,2.79,3.86,3.52,3.6,3.81,-,5.21,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,0.51,-
10,Other Current Assets,21.36,14.52,12.74,12.2,39.66,20.22,108.08,15.93,20.48,27.09,25.46,19.79,-,13.9,-
11,Total Current Assets,1598,2089,2306,2375,2433,2506,2690,2760,2848,2924,2933,3009,-,713.46,-
12,"Property, Plant & Equipment",85.16,80.49,83.79,88.5,90.94,45.1,42.09,36.8,36.35,29.59,30.71,26.88,-,24.72,-
13,Long-Term Investments,494.09,133.44,26.52,26.41,25.99,15.91,15.13,15.34,14.91,-,-,-,-,-,-
14,Other Intangible Assets,56.14,57.52,59.26,61.39,27.59,26.96,21.84,21.79,21.87,21.96,22.09,22.13,-,0.87,-
15,Long-Term Deferred Tax Assets,1.91,1.83,1.76,1.26,-,-,-,0.25,-,-,-,-,-,-,-
16,Long-Term Deferred Charges,6.83,7.71,8.53,9.86,10.79,10.64,10.7,12.13,8.06,6.1,6.74,7.79,-,5.2,-
17,Other Long-Term Assets,71.24,73.63,72.46,69.4,105.52,92.88,30.18,27.64,21.55,29.29,38.05,33.43,-,49.03,-
18,Total Assets,2314,2444,2558,2632,2693,2698,2810,2874,2951,3011,3031,3099,-,793.28,-
19,Accounts Payable,40.64,42.66,55.11,59.22,46.16,58.75,55.29,43.65,64.48,55.06,36.85,33.57,-,25.27,-
20,Accrued Expenses,24.43,25.84,13.07,38.42,21.47,16.98,5.79,24.64,10.09,9.81,3.82,32.92,-,10.95,-
21,Short-Term Debt,66.2,109.9,109.9,73.4,33.8,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,15.72,9.62,10.54,10.29,9.01,5.79,8.23,7.37,6.76,6.32,6.23,5.66,-,5.5,-
23,Current Income Taxes Payable,4.89,0.51,5.12,0.34,1.02,-,2.16,1.52,2.15,1.33,0.49,-,-,-,-
24,Current Unearned Revenue,2.15,1.94,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Other Current Liabilities,23.87,15.83,9.43,3.67,3.72,3.48,3.45,3.48,1.87,1.51,2.12,1.74,-,1.24,-
26,Total Current Liabilities,177.89,206.29,203.17,185.35,115.18,85,74.92,80.66,85.35,74.03,49.5,73.89,-,42.96,-
27,Long-Term Leases,50.48,47.56,48.44,50.77,53.61,10.55,11.09,11.31,13.83,14.07,15.03,11.76,-,8.68,-
28,Long-Term Unearned Revenue,5.82,6.02,6.21,6.39,6.44,6.56,11,11,-,0.01,0.27,0.32,-,-,-
29,Long-Term Deferred Tax Liabilities,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,0.28,-,-,-,-
31,Total Liabilities,234.19,259.87,257.81,242.5,175.23,102.1,97.01,102.98,99.18,88.11,65.07,85.98,-,51.64,-
32,Common Stock,570,570,570,570,570,570,570,570,570,570,570,570,-,460,-
33,Additional Paid-In Capital,2874,2869,2866,2863,2860,2856,2852,2848,2843,2841,2841,2841,-,570.21,-
34,Retained Earnings,-1316,-1229,-1128,-1045,-912.56,-829.95,-707.45,-644.27,-560.74,-487.53,-445.22,-397.92,-,-288.58,-
35,Treasury Stock,-47.83,-23,-8.14,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-2.61,-4.33,-1.44,-0.38,-1.09,-0.48,-2.34,-2.44,-0.44,-,-,-,-,-,-
37,Total Common Equity,2078,2183,2299,2388,2516,2596,2713,2771,2852,2923,2966,3013,-,741.64,806.5
38,Minority Interest,1.32,1.48,1.66,1.8,1.86,-,-,-,-,-,-,-,-,-,-
39,Shareholders' Equity,2080,2184,2300,2390,2518,2596,2713,2771,2852,2923,2966,3013,-,741.64,806.5
40,Total Liabilities & Equity,2314,2444,2558,2632,2693,2698,2810,2874,2951,3011,3031,3099,-,793.28,-
41,Total Debt,132.39,167.08,168.88,134.46,96.42,16.33,19.32,18.69,20.59,20.4,21.26,17.42,-,14.18,-
