,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,75,84,116,117,716,2050,2100,748,780,-,-
1,Market Cap Growth,-27.78%,-27.78%,-83.78%,-94.31%,-65.90%,174.05%,169.23%,-,-,-,-
2,Enterprise Value,25,18,36,173,795,1942,1972,621,736,-,-
3,Last Close Price,0.18,0.20,0.28,0.28,1.75,5.01,5.25,1.87,1.95,-,-
4,PE Ratio,-,-,-,-,-,-,-,14.40,11.67,-,-
5,PS Ratio,1.76,2.04,11.72,35.79,51.49,33.22,16.41,3.17,2.73,-,-
6,PB Ratio,0.69,0.73,1.01,0.57,3.19,6.43,5.95,2.09,2.27,-,-
7,P/TBV Ratio,0.88,0.88,1.24,0.62,3.44,7.52,6.70,2.36,2.59,-,-
8,P/FCF Ratio,-,-,90.35,-,-,-,-,-31.14,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-,-,-31.14,-,-,-
10,EV/Sales Ratio,0.60,0.45,3.60,53.02,57.18,31.46,15.41,2.63,2.58,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,10.47,8.63,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,11.19,8.88,-,-
13,EV/FCF Ratio,-,-,27.75,-,-,-,-,-25.83,-,-,-
14,Debt / Equity Ratio,0.23,0.23,0.22,0.12,0.69,0.25,0.00,0.00,0.00,0.00,0.00
15,Debt / FCF Ratio,-,-,19.94,-,-,-,-,-0.01,-,-,0.00
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,15.52%,24.09%,48.88%,46.58%
17,Earnings Yield,-137.50%,-121.92%,-98.05%,-84.34%,-15.40%,-1.72%,-0.17%,6.95%,8.57%,-,-
18,FCF Yield,-42.30%,-10.40%,1.11%,-2.54%,-0.27%,-1.05%,-1.04%,-3.21%,-3.60%,-,-
19,Buyback Yield / Dilution,-0.57%,-0.77%,-0.36%,-0.33%,-0.06%,-,-1.43%,-23.46%,-21.72%,-,-
20,Total Shareholder Return,-0.57%,-0.77%,-0.36%,-0.33%,-0.06%,-,-1.43%,-23.46%,-21.72%,-,-
