,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,825.58,825.58,631.69,631.69
1,Cost of Revenue,732.24,732.24,538.88,538.88
2,Gross Profit,93.34,93.34,92.8,92.8
3,"Selling, General & Admin",36.81,36.81,30.04,30.04
4,Research & Development,29.43,29.43,27.35,27.35
5,Operating Expenses,66.46,66.46,57.32,57.32
6,Operating Income,26.88,26.88,35.48,35.48
7,Interest Expense,-10.57,-10.57,-8.96,-8.96
8,Earnings From Equity Investments,3.67,3.67,-1.81,-1.81
9,Other Non Operating Income (Expenses),11.73,11.73,4.51,4.51
10,Pretax Income,31.71,31.71,29.23,29.23
11,Income Tax Expense,7.69,7.69,6.96,6.96
12,Net Income,24.02,24.02,22.27,22.27
13,Net Income to Common,24.02,24.02,22.27,22.27
14,Shares Outstanding (Basic),76,76,75,75
15,Shares Outstanding (Diluted),76,76,75,75
16,EPS (Basic),0.31,0.31,0.30,0.30
17,EPS (Diluted),0.31,0.31,0.30,0.30
18,Free Cash Flow,54.5,54.5,6.89,6.89
19,Free Cash Flow Per Share,0.71,0.71,0.09,0.09
20,Gross Margin,11.31%,11.31%,14.69%,14.69%
21,Operating Margin,3.26%,3.26%,5.62%,5.62%
22,Profit Margin,2.91%,2.91%,3.53%,3.53%
23,Free Cash Flow Margin,6.60%,6.60%,1.09%,1.09%
24,EBITDA,56.53,56.53,63.41,63.41
25,EBITDA Margin,6.85%,6.85%,10.04%,10.04%
26,D&A For EBITDA,29.65,29.65,27.92,27.92
27,EBIT,26.88,26.88,35.48,35.48
28,EBIT Margin,3.26%,3.26%,5.62%,5.62%
29,Effective Tax Rate,24.24%,24.24%,23.80%,23.80%
