,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,606,547,-,-,-
1,Enterprise Value,1491,1489,-,-,-
2,Last Close Price,6.50,5.42,-,-,-
3,PE Ratio,5.99,5.50,-,-,-
4,PS Ratio,0.15,0.17,-,-,-
5,PB Ratio,0.88,0.79,-,-,-
6,P/TBV Ratio,0.80,0.80,-,-,-
7,P/FCF Ratio,2.55,4.14,-,-,-
8,P/OCF Ratio,1.93,3.41,-,-,-
9,EV/Sales Ratio,0.45,0.48,-,-,-
10,EV/EBITDA Ratio,5.91,5.78,-,-,-
11,EV/EBIT Ratio,13.87,11.11,-,-,-
12,EV/FCF Ratio,6.27,11.29,-,-,-
13,Debt / Equity Ratio,1.60,1.60,1.60,-,1.08
14,Debt / EBITDA Ratio,4.46,4.19,4.19,-,2.85
15,Debt / FCF Ratio,4.65,8.39,15.09,-,113.37
16,Asset Turnover,1.39,-,-,-,
17,Inventory Turnover,-,10.64,-,-,-
18,Quick Ratio,0.35,0.35,0.35,-,-
19,Current Ratio,0.64,0.64,0.64,-,-
20,Return on Equity (ROE),14.94%,-,-,-,
21,Return on Assets (ROA),2.84%,-,-,-,
22,Return on Capital (ROIC),4.01%,-,-,-,
23,Return on Capital Employed (ROCE),12.95%,16.75%,13.14%,-,-
24,Earnings Yield,13.54%,18.20%,-,-,-
25,FCF Yield,39.23%,24.13%,-,-,-
26,Payout Ratio,390.00%,125.48%,125.48%,41.34%,41.34%
