,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,3335,3186,2625,2546,2453,3188,3129,4392,4114,3481,4315,3842,-,-,-,-,-,-
1,Market Cap Growth,-0.07%,-0.07%,-16.09%,-42.04%,-40.38%,-8.43%,-27.49%,14.32%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2107,1958,1269,1084,929,1640,1596,2850,2556,1923,2807,3459,-,-,-,-,-,-
3,Last Close Price,40.90,39.07,32.20,31.22,30.22,39.27,38.55,54.11,50.20,42.48,52.65,46.87,-,-,-,-,-,-
4,PE Ratio,-,-,-227.31,-,607.18,-,64.86,34.59,25.67,22.16,25.32,22.91,-,-,-,-,-,-
5,Forward PE,26.05,26.40,23.17,24.02,13.04,13.42,13.40,20.00,19.14,12.79,16.85,-,-,-,-,-,-,-
6,PS Ratio,4.70,4.51,3.79,4.52,5.07,6.75,6.96,7.39,6.30,5.34,6.26,5.73,-,-,-,-,-,-
7,PB Ratio,1.76,1.69,1.39,1.35,1.29,1.68,1.65,2.31,2.13,1.83,2.29,-,-,-,-,-,-,-
8,P/TBV Ratio,1.73,1.73,1.42,1.38,1.32,1.72,1.68,2.37,2.18,1.85,2.31,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,50.45,44.23,35.97,26.33,53.18,26.43,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-,31.46,31.66,28.26,24.78,46.82,25.04,-,-,-,-,-,-
11,EV/Sales Ratio,2.99,2.77,1.83,1.92,1.92,3.47,3.55,4.80,3.92,2.95,4.07,5.16,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-20.98,-,-,-,-,-,19.77,-,16.32,19.34,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-17.71,-,-,-,-,-,21.39,-,17.29,20.42,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,25.74,28.70,22.35,14.55,34.59,23.80,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,-,0.00,0.00,0.01,0.01,0.01,-
16,Debt / EBITDA Ratio,-,-,0.35,-,-,-,-,-,0.07,-,0.02,-,0.02,0.02,0.01,0.04,0.04,-
17,Debt / FCF Ratio,-,-,-,-,-,-,0.16,0.10,0.06,0.05,0.09,-,0.02,-,0.02,0.04,0.06,-
18,Asset Turnover,-,0.40,0.28,0.28,0.28,0.20,0.16,0.27,0.24,-,-,-,-,-,0.63,-,-,
19,Inventory Turnover,-,-,1.50,1.24,1.32,1.72,0.84,1.01,1.60,1.60,-,-,-,-,-,0.97,-,-
20,Quick Ratio,-,-,3.92,4.17,5.91,7.46,10.28,11.31,14.04,13.14,9.96,-,-,4.13,-,3.03,3.03,3.71
21,Current Ratio,-,-,4.63,4.98,6.81,8.35,11.45,12.48,15.20,14.30,10.87,-,-,5.41,-,4.34,4.34,4.73
22,Return on Equity (ROE),-4.44%,0.70%,-3.53%,0.76%,-0.53%,0.02%,0.30%,6.02%,3.50%,-,-,14.84%,18.79%,52.53%,15.81%,-,-,
23,Return on Assets (ROA),-,0.63%,-4.33%,-0.75%,-3.75%,-0.96%,-1.83%,2.81%,-0.76%,-,-,-,-,-,8.75%,-,-,
24,Return on Capital (ROIC),-2.17%,0.77%,-5.13%,-0.86%,-4.15%,-1.04%,-1.97%,3.02%,-0.83%,-,-,11.21%,11.10%,38.13%,11.24%,-,-,
25,Return on Capital Employed (ROCE),-,-,-3.74%,-,-,-,-,-,6.12%,-,8.52%,-,-,24.01%,-,22.66%,18.26%,15.24%
26,Earnings Yield,-0.92%,-0.97%,-0.44%,-0.57%,0.16%,0.91%,1.54%,2.89%,3.90%,4.51%,3.95%,4.37%,-,-,-,-,-,-
27,FCF Yield,-,-12.66%,-7.46%,-2.12%,0.73%,1.98%,2.26%,2.78%,3.80%,1.88%,3.78%,-,-,-,-,-,-,
28,Dividend Yield,0.35%,-,-,-,-,0.38%,-,-,-,1.18%,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,3.37%,-,-,-,87.87%,2379.69%,-,-,1.13%,228.57%,-,-,-,-,-,1.42%
30,Buyback Yield / Dilution,-0.08%,-8.25%,4.22%,4.23%,-0.20%,-2.82%,3.75%,-10.72%,-33.92%,-33.63%,-34.22%,-21.31%,0.08%,-0.60%,-,-,-,-
31,Total Shareholder Return,0.27%,-8.25%,4.22%,4.23%,-0.20%,-2.44%,3.75%,-10.72%,-33.92%,-32.45%,-34.22%,-21.31%,0.08%,-0.60%,-,-,-,-
