,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,-,806.63,825.87,1473,1042,1047,1372,1340,1182,1123,-,-,281.04,-,234.72,234.72,232.06
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14
2,Trading Asset Securities,-,431.78,542.38,-,493.02,510,171.01,210,361.03,443,-,-,106.18,-,77.31,77.31,30
3,Cash & Short-Term Investments,1238,1238,1368,1473,1535,1557,1543,1550,1543,1566,-,387.22,387.22,312.02,312.02,312.02,276.06
4,Cash Growth,-19.35%,-20.48%,-11.32%,-4.96%,-0.49%,-0.58%,-,300.19%,298.48%,401.99%,-,24.10%,40.27%,-,-,-,-
5,Accounts Receivable,-,382.94,276.61,223.12,200.3,161.8,183.06,228.05,233.84,264.24,-,-,194.84,-,150.02,150.02,184.76
6,Other Receivables,-,8.87,22.39,8.79,3.84,10.83,6.94,4.14,1.9,1.98,-,-,2.98,-,4.34,4.34,2.31
7,Receivables,-,391.81,299,231.91,204.13,172.63,189.99,232.19,235.74,266.22,-,-,197.83,-,154.36,154.36,187.07
8,Inventory,-,270.45,299.46,236.61,195.67,186.44,167.39,140.3,150.79,155.25,-,-,177.75,-,195.98,195.98,123.36
9,Other Current Assets,-,28.34,23.2,23.73,13.98,9.21,11.9,6.79,6.25,11.28,-,-,4.35,-,5.7,5.7,4.08
10,Total Current Assets,-,1929,1990,1965,1949,1926,1912,1929,1936,1999,-,-,767.14,-,668.07,668.07,590.57
11,"Property, Plant & Equipment",-,291.74,210.05,152.96,111.2,71.61,71.95,65.22,65.77,61.82,-,-,60.11,-,60.51,60.51,54.53
12,Long-Term Investments,-,30,30,30,30,30,30,30,30,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,44.79,44.94,43.64,44.02,44.2,44.61,44.98,16.45,16.69,-,-,17.13,-,16.75,16.75,16.86
14,Long-Term Deferred Tax Assets,-,32.22,28.64,21.24,18.8,14.28,10.32,10.17,9.78,9.06,-,-,7.94,-,6.74,6.74,6.59
15,Long-Term Deferred Charges,-,2.6,1.5,1.28,1.39,0.59,0.59,0.11,0.04,0.04,-,-,0.22,-,0.35,0.35,0.54
16,Other Long-Term Assets,-,-,-,-,-,-,3.68,-,-,3.5,-,-,0.55,-,1.27,1.27,1.07
