,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,160.93,232.03,160.81,151.92,147.7,102.08,81.49,140.42,125.14,246.73,139.7,139.24,163.8,226.89,118.55,118.55,204.92
1,Other Revenue,-,-,-,-,0.71,-,-,-,0.5,-0.18,0.18,-,0.33,-,-,-,-
2,Revenue,160.93,232.03,160.81,151.92,148.41,102.08,81.49,140.42,125.64,246.55,139.88,139.24,164.13,226.89,118.55,118.55,204.92
3,Revenue Growth (YoY),8.43%,127.30%,97.33%,8.19%,18.12%,-58.60%,-41.74%,0.85%,-23.45%,8.66%,17.99%,17.46%,-19.91%,-,-,-,-
4,Cost of Revenue,-261.26,107.17,83.03,71.06,81.96,37.2,38.69,58.23,61.07,98.15,56.24,59.19,70.15,83.08,47.51,47.51,65.84
5,Gross Profit,422.18,124.86,77.79,80.86,66.45,64.88,42.8,82.19,64.57,148.4,83.64,80.05,93.98,143.81,71.04,71.04,139.08
6,"Selling, General & Admin",-205.86,72.65,75.34,57.87,60.64,49.52,39.67,37.72,44.38,42.5,46.34,37.07,42.77,41.24,32.96,32.96,37.11
7,Research & Development,-101.2,33.86,39.13,28.21,30.02,25.7,21.98,22.56,22.07,18.63,20.39,13.22,17.04,13.32,11.85,11.85,17.66
8,Other Operating Expenses,754.95,7.12,0.13,-0.11,5.31,-2.21,-1.23,-1.19,5.81,0.8,-2.66,-1.12,2.36,-0.04,0.73,0.73,-0.05
9,Operating Expenses,438.72,118.99,116.96,87.43,98.22,72.84,57.98,58.95,70.85,65.94,63.57,48.78,65.47,54.29,44.65,44.65,55.95
10,Operating Income,-16.53,5.87,-39.17,-6.56,-31.77,-7.96,-15.18,23.24,-6.28,82.47,20.07,31.27,28.52,89.52,26.39,26.39,83.13
11,Interest Expense,-24.41,-0.08,-,-0.7,-0.13,-0.09,-0.07,-0.09,-0.08,-0.06,-0.02,-0.03,-0.04,-0.04,-0.06,-0.06,-
12,Interest & Investment Income,0.33,3.24,11.8,9.82,14.11,11.59,10.12,11.32,3.95,8.25,4.63,1.91,2.49,1.49,1.34,1.34,3.63
13,Currency Exchange Gain (Loss),-,-1.69,1.69,-,1.94,-0.6,0.6,-,22.13,-11.27,11.27,-,-9.24,4.83,-2.42,-2.42,-
