,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023"
0,Market Capitalization,139400,142800,132600,136000,181900
1,Enterprise Value,59895,109691,5816,9216,55116
2,Last Close Price,8200.00,8400.00,7800.00,7534.88,10077.91
3,PE Ratio,18.43,14.37,23.82,-,38.37
4,PS Ratio,0.06,0.04,0.06,0.08,0.25
5,PB Ratio,0.69,0.71,0.67,0.67,-
6,P/TBV Ratio,0.77,0.77,0.73,0.73,-
7,P/FCF Ratio,6.19,1.09,-,1.59,-
8,P/OCF Ratio,6.19,1.09,-,1.59,-
9,EV/Sales Ratio,0.02,0.03,0.00,0.01,0.08
10,EV/EBITDA Ratio,4.63,16.38,4.63,-,-
11,EV/EBIT Ratio,5.24,11.45,1.29,-,13.68
12,EV/FCF Ratio,4.76,0.83,-,0.11,-
13,Debt / Equity Ratio,0.08,0.08,0.17,-,-
14,Debt / EBITDA Ratio,1.23,0.73,1.73,-,-
15,Debt / FCF Ratio,0.69,0.12,-,-,-
16,Asset Turnover,11.93,-,-,-,
17,Inventory Turnover,53.87,41.21,-,-,-
18,Quick Ratio,4.19,4.19,1.32,2.14,-
19,Current Ratio,4.65,4.65,2.58,3.21,-
20,Return on Equity (ROE),8.78%,-,-,-,
21,Return on Assets (ROA),4.50%,-,-,-,
22,Return on Capital (ROIC),5.65%,-,-,-,
23,Return on Capital Employed (ROCE),5.69%,4.77%,2.29%,-,-
24,Earnings Yield,6.78%,6.96%,4.20%,1.22%,2.61%
25,FCF Yield,16.15%,92.14%,-,63.07%,-
26,Payout Ratio,89.82%,0.51%,-,-,-
