,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023"
0,Cash & Equivalents,95400.0,67109.0,63876,-
1,Cash & Short-Term Investments,95400.0,67109.0,63876,-
2,Accounts Receivable,114560.0,82606.0,111430,-
3,Other Receivables,200.4,574.7,1601,-
4,Receivables,114761.0,83181.0,113031,-
5,Inventory,22890.0,136800.0,75473,-
6,Prepaid Expenses,144.23,99.15,718.36,-
7,Other Current Assets,262.87,6659.0,12683,-
8,Total Current Assets,233458.0,293848.0,265782,-
9,"Property, Plant & Equipment",2321.0,2256.0,3337,-
10,Other Intangible Assets,15071.0,15087.0,15133,-
11,Other Long-Term Assets,341.74,384.41,503.45,-
12,Total Assets,251192.0,311575.0,284755,-
13,Accounts Payable,4822.0,1544.0,56612,-
14,Accrued Expenses,9581.0,11767.0,7879,-
15,Short-Term Debt,15895.0,34000.0,-,-
16,Current Income Taxes Payable,1531.0,170.63,191.77,-
17,Other Current Liabilities,18340.0,66577.0,18113,-
18,Total Current Liabilities,50168.0,114059.0,82795,-
19,Total Liabilities,50168.0,114059.0,82795,-
20,Common Stock,170000.0,170000.0,170000,-
21,Retained Earnings,31024.0,27516.0,31960,-
22,Shareholders' Equity,201024.0,197516.0,201960,-
23,Total Liabilities & Equity,251192.0,311575.0,284755,-
24,Total Debt,15895.0,34000.0,-,-
25,Net Cash (Debt),79505.0,33109.0,63876,-
26,Net Cash Per Share,3744.53,1558.87,3006.14,-
27,Filing Date Shares Outstanding,17.0,21.24,21.25,21.26
28,Total Common Shares Outstanding,17.0,21.24,21.25,21.26
29,Working Capital,183290.0,179790.0,182987,-
30,Book Value Per Share,11824.92,9299.56,9504.63,-
31,Tangible Book Value,185953.0,182430.0,186827,-
32,Tangible Book Value Per Share,10938.39,8589.24,8792.44,-
