,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,1756,1860,1507,1967,293,1312,835,285,84,106,135,Upgrade
1,Market Cap Growth,-5.43%,-5.43%,413.65%,49.88%,-64.86%,360.38%,888.38%,169.89%,-37.31%,-56.36%,-70.83%,Upgrade
2,Enterprise Value,1740,1831,1490,1955,335,1429,978,491,242,337,342,Upgrade
3,Last Close Price,0.51,0.54,0.45,0.62,0.12,0.55,0.35,0.43,0.13,0.16,0.24,Upgrade
4,PE Ratio,263.57,169.54,-,36.20,-11.70,-,-,-,-,-,-,Upgrade
5,PS Ratio,13.33,14.48,16.27,24.23,6.30,27.82,10.38,3.78,1.57,3.68,1.06,Upgrade
6,PB Ratio,4.77,5.08,4.80,7.63,2.32,16.00,5.73,8.56,1.55,0.41,0.43,Upgrade
7,P/TBV Ratio,5.05,5.05,4.68,7.32,2.13,13.88,5.29,6.88,1.36,0.46,0.47,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-,-,14.39,55.11,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,-,-,-,14.05,54.72,-,-,Upgrade
10,EV/Sales Ratio,13.55,14.25,16.08,24.09,7.20,30.29,12.16,6.51,4.50,11.73,2.70,Upgrade
11,EV/EBITDA Ratio,287.69,674.29,-,173.10,-22.61,-,-,28.65,178.16,-,-,Upgrade
12,EV/EBIT Ratio,8100.47,781.35,-,182.20,-21.69,-,-,35.14,-105.00,-,-,Upgrade
13,EV/FCF Ratio,-20.77,-,-,-,-,-,-,24.79,157.94,-,-,Upgrade
14,Debt / Equity Ratio,0.09,0.09,0.10,0.38,0.15,1.07,1.07,5.15,4.10,0.71,0.81,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-,-,-,8.66,145.74,-,-,Upgrade
16,Return on Capital Employed (ROCE),0.06%,0.62%,-,3.10%,-9.12%,-,-,29.71%,-3.25%,-,-,Upgrade
17,Earnings Yield,0.66%,0.59%,0.52%,2.76%,-8.55%,-32.21%,-45.77%,-79.09%,-331.20%,-207.20%,-81.46%,Upgrade
18,FCF Yield,-4.77%,-4.29%,-4.02%,-1.67%,-5.51%,-1.84%,-1.74%,6.95%,1.81%,-13.62%,2.93%,Upgrade
19,Buyback Yield / Dilution,-31.35%,-20.52%,-45.18%,-19.55%,-29.36%,-58.17%,17.29%,-165.80%,-305.40%,-3.17%,-,Upgrade
20,Total Shareholder Return,-31.35%,-20.52%,-45.18%,-19.55%,-29.36%,-58.17%,17.29%,-165.80%,-305.40%,-3.17%,-,Upgrade
