,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,452,564,494,560,530,607,551,581,410,487,-
1,Market Cap Growth,0.76%,0.76%,-6.85%,-7.75%,-3.88%,4.41%,34.38%,19.30%,-,-,-
2,Enterprise Value,685,777,706,739,726,828,707,706,439,615,-
3,Last Close Price,0.96,1.20,1.05,1.19,1.13,1.29,1.15,1.21,0.83,0.99,-
4,PE Ratio,-,-41.46,-,35.73,-,117.70,-,6.89,5.25,20.02,-
5,PS Ratio,0.39,0.49,0.42,0.51,0.49,0.53,0.46,0.50,0.41,0.57,-
6,PB Ratio,1.78,2.23,1.93,2.15,2.12,2.27,1.93,2.05,1.52,2.51,-
7,P/TBV Ratio,2.23,2.23,1.93,2.15,2.12,2.27,1.93,2.05,1.52,2.51,-
8,P/FCF Ratio,11.21,-,92.53,-,25.06,-,-124.21,-,-,12.67,-
9,P/OCF Ratio,6.05,6.05,10.45,-,8.00,15.85,8.27,5.17,3.11,7.15,-
10,EV/Sales Ratio,0.60,0.68,0.60,0.68,0.68,0.72,0.59,0.61,0.44,0.71,-
11,EV/EBITDA Ratio,96.66,349.98,-,23.11,31.01,34.52,20.02,6.82,4.52,13.53,-
12,EV/EBIT Ratio,-,-74.09,-,34.38,-,82.78,-,7.65,5.13,16.85,-
13,EV/FCF Ratio,17.01,-,132.33,-,34.32,-,-159.22,-,-,15.98,-
14,Debt / Equity Ratio,1.20,1.20,1.00,0.98,1.12,1.01,0.85,0.71,0.83,0.86,1.54
15,Debt / FCF Ratio,7.54,-,47.65,-,13.30,-,-54.66,-,-,4.36,9.25
16,Return on Capital Employed (ROCE),-,-2.14%,-,6.09%,-,2.43%,-,23.15%,22.65%,13.44%,27.65%
17,Earnings Yield,-3.01%,-2.41%,1.39%,2.80%,0.96%,0.85%,3.12%,14.52%,19.05%,5.00%,-
18,FCF Yield,8.92%,7.14%,1.08%,-3.84%,3.99%,-1.08%,-0.81%,-5.59%,3.52%,7.89%,-
19,Buyback Yield / Dilution,-,-1.17%,-,-,-,0.03%,-1.79%,-26.70%,-24.44%,-,
20,Total Shareholder Return,-,-1.17%,-,-,-,0.03%,-1.79%,-26.70%,-24.44%,-,
