,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Dec '24 Dec 17, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,188,299,203,391,499,387,387,678,678,650,287,Upgrade
1,Market Cap Growth,-23.47%,-23.47%,-59.20%,1.03%,28.87%,-42.94%,-42.94%,4.29%,136.11%,59.80%,-30.10%,Upgrade
2,Enterprise Value,187,303,228,428,514,397,378,692,732,704,350,Upgrade
3,Last Close Price,0.47,0.75,0.51,0.98,1.25,0.97,0.97,1.70,1.70,1.63,0.72,Upgrade
4,PS Ratio,5.16,8.24,4.50,7.38,9.20,5.44,4.09,7.80,12.04,36.53,-,Upgrade
5,PB Ratio,0.84,1.45,0.95,1.68,2.06,1.47,1.36,2.31,2.28,2.06,0.69,Upgrade
6,P/TBV Ratio,1.85,1.85,1.23,2.27,3.24,2.41,2.20,3.69,3.65,3.51,1.39,Upgrade
7,P/FCF Ratio,7.77,12.39,45.15,-,-,-,-,12.74,12.98,26.96,-,Upgrade
8,P/OCF Ratio,12.10,12.10,39.88,-,-,-,-,12.33,12.90,26.96,-,Upgrade
9,EV/Sales Ratio,5.15,8.35,5.05,8.08,9.48,5.58,4.00,7.96,12.98,39.56,-,Upgrade
10,EV/FCF Ratio,7.74,12.56,50.70,-,-,-,-,13.00,14.00,29.20,-,Upgrade
11,Debt / Equity Ratio,0.20,0.20,0.21,0.20,0.21,0.19,0.21,0.19,0.19,0.01,0.01,Upgrade
12,Debt / FCF Ratio,1.75,1.75,10.19,-,-,-,-,1.03,1.05,0.10,-,Upgrade
13,Earnings Yield,-7.74%,-4.85%,-7.61%,-4.37%,-5.82%,-7.56%,-4.35%,-2.53%,-9.60%,-8.32%,-,Upgrade
14,FCF Yield,12.87%,8.07%,2.21%,-9.07%,-6.36%,-5.85%,3.84%,7.85%,7.70%,3.71%,-,Upgrade
15,Buyback Yield / Dilution,0.00%,-,0.00%,-,-,-,-,-,-,-,-,Upgrade
16,Total Shareholder Return,0.00%,-,0.00%,-,-,-,-,-,-,-,-,Upgrade
