,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,307.98,387.33,392.51,400.36,452.77,710.36,-,169.76,-,-,-
1,Trading Asset Securities,302,206.31,239.4,291.09,202.15,2.75,-,35.95,-,-,-
2,Cash & Short-Term Investments,609.98,593.64,631.91,691.45,654.92,713.11,205.71,205.71,-,-,268.94
3,Cash Growth,-6.86%,-16.75%,207.18%,236.13%,-,-,-23.51%,-,-,-,-
4,Accounts Receivable,200.67,205.11,189.16,160.1,183.05,195.99,-,168.68,-,-,-
5,Other Receivables,6.59,4.69,7.05,5.12,18.3,24.72,-,4.9,-,-,-
6,Receivables,207.26,209.8,196.21,165.21,201.35,220.7,-,173.58,-,-,-
7,Inventory,166.92,174.45,161.4,162.18,152.23,148.83,-,131.23,-,-,-
8,Prepaid Expenses,-,-,-,1.38,-,-,-,0.62,-,-,-
9,Other Current Assets,9.62,12.65,10.44,10.08,18.41,26.15,-,19.54,-,-,-
10,Total Current Assets,993.77,990.54,999.95,1030,1027,1109,-,530.68,-,-,-
11,"Property, Plant & Equipment",350.92,337.24,316.5,313.56,300.8,274.49,-,260.95,-,-,-
12,Other Intangible Assets,80.77,64.15,64.12,64.91,64.96,61.68,-,62.85,-,-,-
13,Long-Term Deferred Tax Assets,12.34,12.33,12.68,12.27,5.56,5.57,-,5.58,-,-,-
14,Long-Term Deferred Charges,1.46,1.5,1.32,1.52,2.37,2.46,-,2.12,-,-,-
15,Other Long-Term Assets,35.34,48.29,30.32,21.21,3,0.4,-,0.76,-,-,-
16,Total Assets,1475,1454,1425,1444,1404,1453,-,862.95,-,-,-
17,Accounts Payable,372.37,341.36,326.24,322.84,313.59,289.82,-,275.09,-,-,-
18,Accrued Expenses,18.78,24.79,12.48,32.28,10.96,20.56,-,23.8,-,-,-
19,Short-Term Debt,-,10.09,-,10.06,-,33.08,-,33.08,-,-,-
20,Current Portion of Leases,3.48,4.06,1.42,4.01,1.89,1.19,-,3.45,-,-,-
21,Current Income Taxes Payable,-,1.59,3.41,3.09,7.15,2.42,-,0.19,-,-,-
22,Current Unearned Revenue,4.03,6.38,1.45,4.59,4.84,13.66,-,3.94,-,-,-
23,Other Current Liabilities,3.44,7.3,8.38,10.93,9.67,15.42,-,14.72,-,-,-
24,Total Current Liabilities,402.11,395.58,353.37,387.79,348.1,376.15,-,354.26,-,-,-
25,Long-Term Leases,10.42,11.89,15.92,12.89,17.01,16.94,-,14.74,-,-,-
26,Long-Term Unearned Revenue,5.38,5.7,6.02,6.04,6.38,6.23,-,6.89,-,-,-
27,Long-Term Deferred Tax Liabilities,4.49,4.76,4.67,4.77,3.57,3.67,-,5.3,-,-,-
28,Total Liabilities,422.39,417.92,379.99,411.49,375.07,403,-,381.19,-,-,-
29,Common Stock,181.2,181.2,181.2,181.2,181.2,181.2,-,135.9,-,-,-
30,Additional Paid-In Capital,530.45,530.45,530.45,530.45,530.45,530.45,-,35.89,-,-,-
31,Retained Earnings,345.86,328.62,334.13,321.53,316.8,339.16,-,310.62,-,-,-
32,Treasury Stock,-11.2,-1.63,-,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,5.9,-2.51,-0.87,-0.89,0.09,-0.41,-,-0.65,-,-,-
34,Shareholders' Equity,1052,1036,1045,1032,1029,1050,481.75,481.75,-,-,414.29
35,Total Liabilities & Equity,1475,1454,1425,1444,1404,1453,-,862.95,-,-,-
36,Total Debt,13.9,26.05,17.35,26.96,18.91,51.21,51.26,51.26,-,-,25.13
37,Net Cash (Debt),596.08,567.59,614.56,664.5,636.01,661.9,154.45,154.45,-,-,243.81
38,Net Cash Growth,-6.28%,-14.25%,297.91%,330.24%,-,-,-36.65%,-,-,-,-
39,Net Cash Per Share,3.11,3.15,3.42,3.94,3.38,5.15,1.08,1.12,-,-,1.76
40,Filing Date Shares Outstanding,180.33,181.07,181.2,181.2,181.2,181.2,143.21,135.9,133.12,138.38,138.38
41,Total Common Shares Outstanding,180.33,181.07,181.2,181.2,181.2,181.2,143.21,135.9,133.12,138.38,138.38
42,Working Capital,591.66,594.97,646.58,642.52,678.8,732.65,-,176.42,-,-,-
43,Book Value Per Share,5.83,5.72,5.77,5.70,5.68,5.80,3.54,3.54,-,-,3.05
44,Tangible Book Value,971.43,971.98,980.79,967.38,963.57,988.72,418.9,418.9,-,-,376.46
45,Tangible Book Value Per Share,5.39,5.37,5.41,5.34,5.32,5.46,3.08,3.08,-,-,2.77
46,Buildings,-,161.64,-,160.08,-,146.77,-,78.25,-,-,-
47,Machinery,-,202.75,-,188.19,-,177.97,-,172.46,-,-,-
48,Construction In Progress,-,56.97,-,34.31,-,3.16,-,50.77,-,-,-
