,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3401,2868,2722,2885,3347,3620,4468,-,-,-,-,-
1,Market Cap Growth,-20.78%,-20.78%,-39.09%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2805,2301,2107,2249,2711,2958,4314,-,-,-,-,-
3,Last Close Price,18.86,15.84,15.02,15.81,18.35,19.85,24.24,-,-,-,-,-
4,PE Ratio,70.24,59.29,62.10,61.56,70.98,51.45,67.16,-,-,-,-,-
5,PS Ratio,4.33,3.66,3.58,3.83,4.68,5.02,6.70,-,-,-,-,-
6,PB Ratio,3.23,2.73,2.63,2.76,3.24,3.52,4.25,-,-,-,-,-
7,P/TBV Ratio,2.95,2.95,2.80,2.94,3.46,3.76,4.52,-,-,-,-,-
8,P/FCF Ratio,-,-86.11,-,-,-1346.73,-,-,-,-,-,-,-
9,P/OCF Ratio,23.57,23.57,-,27.09,29.54,87.97,-,-,-,-,-,-
10,EV/Sales Ratio,3.58,2.93,2.77,2.99,3.79,4.10,6.47,-,-,-,-,-
11,EV/EBITDA Ratio,37.90,34.76,32.72,33.78,-,32.17,52.18,-,-,-,-,-
12,EV/EBIT Ratio,76.18,62.48,58.01,56.42,-,43.62,73.58,-,-,-,-,-
13,EV/FCF Ratio,-84.21,-69.07,-,-,-1090.80,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.03,0.02,0.03,0.02,0.05,0.11,0.11,-,-,0.06
15,Debt / EBITDA Ratio,0.19,0.11,0.40,0.19,3.61,0.15,0.68,0.51,0.52,-,-,0.36
16,Debt / FCF Ratio,-,-0.42,-,-,-10.85,-,-,-,-,-,-,-
17,Asset Turnover,0.57,0.53,0.55,0.53,0.51,-,-,-,-,-,-,
18,Inventory Turnover,3.82,3.46,3.57,3.74,4.07,3.50,-,-,-,-,-,-
19,Quick Ratio,2.03,2.03,2.03,2.34,2.21,2.46,2.48,-,1.07,-,-,-
20,Current Ratio,2.47,2.47,2.50,2.83,2.66,2.95,2.95,-,1.50,-,-,-
21,Return on Equity (ROE),7.25%,4.85%,4.85%,1.64%,5.54%,8.17%,10.70%,-,-,-,-,
22,Return on Assets (ROA),4.29%,1.13%,2.63%,-1.74%,4.30%,-,-,-,-,-,-,
23,Return on Capital (ROIC),5.90%,1.53%,3.56%,-2.35%,5.72%,3.07%,8.92%,-,-,-,-,
24,Return on Capital Employed (ROCE),3.43%,3.43%,3.43%,3.72%,-,6.43%,5.44%,-,10.02%,-,-,-
25,Earnings Yield,1.42%,1.69%,1.61%,1.62%,1.41%,1.94%,1.49%,-,-,-,-,-
26,FCF Yield,-0.98%,-1.16%,-2.28%,-0.44%,-0.07%,-1.39%,-1.73%,-,-,-,-,-
27,Dividend Yield,1.56%,-,-,-,1.64%,-,0.82%,-,-,-,-,-
28,Payout Ratio,40.44%,-,143.74%,0.03%,34.04%,239.53%,1.52%,1.92%,0.02%,-,-,-
29,Buyback Yield / Dilution,-20.61%,-1.88%,-40.16%,-25.66%,-22.73%,-41.36%,7.16%,-3.49%,-,-,-,-
30,Total Shareholder Return,-19.05%,-1.88%,-40.16%,-25.66%,-21.09%,-41.36%,7.98%,-3.49%,-,-,-,-
