,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,232.21,164.66,197.64,164.61,200.83,164.2,160.58,188.39,134.19,167.2,167.2
1,Other Revenue,-25.01,25.01,-,25.3,-18.36,18.36,-,7.66,-6.28,3.14,3.14
2,Revenue,207.2,189.67,197.64,189.91,182.47,182.56,160.58,196.05,127.91,170.34,170.34
3,Revenue Growth (YoY),13.55%,3.89%,23.08%,-3.14%,42.66%,7.17%,-5.73%,-,-,-,-
4,Cost of Revenue,147.8,149.91,151.44,159.96,131.66,143.89,119.1,151.33,94.71,136.23,136.23
5,Gross Profit,59.4,39.75,46.2,29.95,50.81,38.67,41.48,44.72,33.2,34.11,34.11
6,"Selling, General & Admin",19.37,18.69,17.27,19.89,15.59,17.81,11.35,13.59,10.71,11.2,11.2
7,Research & Development,13.32,12.12,11,16.98,10.09,11.01,8.97,10,8.32,11.23,11.23
8,Other Operating Expenses,1.67,1.72,0.7,3.92,0.42,-0.76,1.27,5.51,-2.48,1.23,1.23
9,Operating Expenses,34.3,33.24,31.1,39.84,26.21,28.62,22.47,30.56,17.79,23.41,23.41
10,Operating Income,25.1,6.51,15.1,-9.89,24.6,10.05,19.01,14.16,15.41,10.7,10.7
11,Interest Expense,-0.14,-0.05,-0.32,-0.01,-0.05,-0.42,-0.45,-0.24,-0.22,-0.24,-0.24
12,Interest & Investment Income,4.92,3.06,3.89,3.62,1.19,0.63,0.38,0.44,0.54,0.49,0.49
13,Currency Exchange Gain (Loss),-2.91,2.91,-,1.15,-2.9,2.9,-,15.12,-7.64,3.82,3.82
14,Other Non Operating Income (Expenses),1.49,-1.75,0.21,-5.52,3.31,0.56,-1.17,-15.32,14.3,-0.34,-0.34
15,EBT Excluding Unusual Items,28.46,10.68,18.88,-10.65,26.16,13.71,17.77,14.16,22.4,14.43,14.43
16,Gain (Loss) on Sale of Investments,-0.02,-0.18,-0,0.05,-,0,-0,0.11,0.01,-0.36,-0.36
17,Gain (Loss) on Sale of Assets,0,0.39,-0.03,0.26,-0.17,-0.06,-,0,0.04,0,0
18,Asset Writedown,-9.36,4.04,-4.09,7.64,-7.93,3.49,-3.49,7.89,-7.89,-0.02,-0.02
19,Other Unusual Items,3.06,1.27,-0.02,4.23,-0.01,0.01,-,5.83,-3.29,1.64,1.64
20,Pretax Income,22.16,16.2,14.75,1.54,18.05,17.15,14.28,28,11.27,15.68,15.68
21,Income Tax Expense,3.22,3.6,2.15,-2.69,3.66,1.51,1.39,0.55,0.71,1.15,1.15
22,Net Income,18.94,12.6,12.6,4.23,14.39,15.64,12.89,27.44,10.56,14.53,14.53
23,Net Income to Common,18.94,12.6,12.6,4.23,14.39,15.64,12.89,27.44,10.56,14.53,14.53
24,Net Income Growth,31.57%,-19.40%,-2.27%,-84.58%,36.28%,7.63%,-11.29%,-,-,-,-
25,Shares Outstanding (Basic),192,180,180,169,188,128,143,138,133,138,138
26,Shares Outstanding (Diluted),192,180,180,169,188,128,143,138,133,138,138
27,Shares Change (YoY),1.88%,40.16%,25.66%,22.73%,41.36%,-7.16%,3.49%,-,-,-,-
28,EPS (Basic),0.10,0.07,0.07,0.03,0.08,0.12,0.09,0.20,0.08,0.10,0.10
29,EPS (Diluted),0.10,0.07,0.07,0.03,0.08,0.12,0.09,0.20,0.08,0.10,0.10
30,EPS Growth,29.14%,-42.49%,-22.22%,-87.43%,-3.59%,15.92%,-14.29%,-,-,-,-
31,Free Cash Flow,8.94,-52.44,-32.45,42.65,-19.7,-3.09,-22.34,-5.26,-46.64,-9.19,-9.19
32,Free Cash Flow Per Share,0.05,-0.29,-0.18,0.25,-0.10,-0.02,-0.16,-0.04,-0.35,-0.07,-0.07
33,Dividend Per Share,-,-,-,0.100,-,0.200,-,-,-,-,-
34,Gross Margin,28.67%,20.96%,23.38%,15.77%,27.85%,21.18%,25.83%,22.81%,25.96%,20.03%,20.03%
