,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,1760,1557,1400,1639,2083,2180,2379,2241,2264,2262,-,-,-,-,-,-
1,Market Cap Growth,-28.60%,-28.60%,-41.15%,-26.86%,-7.99%,-3.63%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1483,1244,1025,1375,1819,1936,2028,1851,1874,2206,-,-,-,-,-,-
3,Last Close Price,17.85,15.79,13.93,16.23,20.63,21.59,23.56,22.00,22.22,22.20,-,-,-,-,-,-
4,PE Ratio,34.37,-,26.65,32.35,39.82,-,33.54,27.82,24.15,-,-,-,-,-,-,-
5,PS Ratio,2.86,2.46,2.25,2.76,3.44,3.55,3.83,3.57,3.57,3.67,-,-,-,-,-,-
6,PB Ratio,1.87,1.64,1.45,1.71,2.19,2.33,2.52,2.38,2.45,2.54,-,-,-,-,-,-
7,P/TBV Ratio,1.73,1.73,1.53,1.81,2.32,2.48,2.68,2.54,2.62,2.67,-,-,-,-,-,-
8,P/FCF Ratio,34.24,-,-,-,72.25,-,-,-,-19.42,-,-,-,-,-,-,-
9,P/OCF Ratio,13.88,-,-,-,16.45,-,-,-,35.11,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.34,1.96,1.65,2.31,3.00,3.15,3.26,2.95,2.96,3.58,-,-,-,-,-,-
11,EV/EBITDA Ratio,23.50,-,17.41,24.99,31.12,-,28.80,22.59,19.34,-,-,-,-,-,-,-
12,EV/EBIT Ratio,31.89,-,22.59,32.93,39.49,-,34.34,25.72,21.53,-,-,-,-,-,-,-
13,EV/FCF Ratio,28.86,-,-,-,63.10,-,-,-,-16.08,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.12,0.10,0.09,0.03,0.06,0.06,-,-,0.06
15,Debt / EBITDA Ratio,1.94,-,0.95,1.78,2.18,-,1.13,1.25,0.91,-,0.10,0.17,0.21,-,-,0.14
16,Debt / FCF Ratio,2.39,-,-,-,4.54,-,-,-,-0.80,-,-,-,5.02,-,-,-
17,Asset Turnover,0.24,0.71,0.45,0.49,0.24,0.70,0.51,0.53,0.33,-,-,-,-,-,-,
18,Inventory Turnover,3.19,1.72,6.36,3.20,3.46,1.90,4.95,2.73,2.80,1.66,-,-,-,-,-,-
19,Quick Ratio,1.65,1.65,2.00,2.58,2.10,3.67,4.06,3.36,2.40,2.45,1.48,-,1.21,-,-,-
20,Current Ratio,2.28,2.28,2.47,3.31,3.06,5.02,5.11,4.58,3.33,3.41,2.61,-,2.47,-,-,-
21,Return on Equity (ROE),-3.60%,11.03%,5.93%,7.17%,-3.70%,10.53%,6.83%,14.84%,-3.37%,28.54%,26.15%,-,-,-,-,
22,Return on Assets (ROA),-1.34%,5.07%,2.79%,2.20%,-1.77%,4.90%,3.82%,4.53%,-1.87%,-,-,-,-,-,-,
23,Return on Capital (ROIC),-1.76%,6.37%,3.45%,2.64%,-2.04%,5.69%,4.67%,5.74%,-2.39%,18.26%,17.88%,-,-,-,-,
24,Return on Capital Employed (ROCE),4.38%,-,4.22%,3.85%,4.27%,-,5.44%,6.78%,8.46%,-,17.32%,-,18.63%,-,-,-
25,Earnings Yield,3.00%,3.39%,3.75%,3.09%,2.51%,3.15%,2.98%,3.59%,4.14%,3.80%,-,-,-,-,-,-
26,FCF Yield,2.92%,3.30%,1.76%,2.19%,1.38%,-2.68%,-4.45%,-5.81%,-5.15%,-5.76%,-,-,-,-,-,-
27,Dividend Yield,0.56%,-,0.93%,-,0.39%,-,-,-,0.90%,-,-,-,-,-,-,-
28,Payout Ratio,31.37%,-,4.03%,7.55%,6.52%,-,77.04%,5.45%,2.44%,-,0.54%,0.81%,1.10%,-,25.36%,25.36%
29,Buyback Yield / Dilution,-2.82%,-8.66%,5.77%,-2.28%,-6.73%,-14.15%,-37.57%,-31.90%,-33.13%,-9.52%,0.15%,-0.13%,-,-,-,-
30,Total Shareholder Return,-2.26%,-8.66%,6.70%,-2.28%,-6.34%,-14.15%,-37.57%,-31.90%,-32.23%,-9.52%,0.15%,-0.13%,-,-,-,-
