,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,88.98,238.41,149.45,153.7,75.08,213.25,160.32,158.22,81.72,220.72,165.63,145.2,65.11,165.53,165.53
1,Other Revenue,-4.61,4.61,-,3.36,-1.75,1.75,-,7.57,-1.23,1.23,-,2.9,-0.61,0.31,0.31
2,Revenue,84.37,243.02,149.45,157.06,73.33,215.01,160.32,165.79,80.49,221.95,165.63,148.11,64.49,165.84,165.84
3,Revenue Growth (YoY),15.07%,13.03%,-6.78%,-5.27%,-8.90%,-3.13%,-3.21%,11.94%,24.80%,33.84%,-0.13%,-,-,-,-
4,Cost of Revenue,52.23,171.12,95.91,103.85,50.93,149.71,106.32,111.03,53.93,150.58,106.98,96.44,44.77,106.69,106.69
5,Gross Profit,32.14,71.9,53.54,53.21,22.39,65.29,53.99,54.76,26.56,71.37,58.64,51.66,19.73,59.15,59.15
6,"Selling, General & Admin",28.79,30.44,28.32,30.97,21.44,29.55,26.04,23.28,23.85,26.86,19.07,17.95,20.49,21.71,21.71
7,Research & Development,11.05,11.47,10.68,11.92,10.32,9.41,7.99,8.78,9.19,7.3,4.52,6.02,4.76,3.47,3.47
8,Other Operating Expenses,-0.8,0.42,-0.19,0.81,-1.29,0.79,0.46,0.79,0.13,0.41,0.38,1.07,0.36,0.23,0.23
9,Operating Expenses,39.75,44.14,38.56,41.84,31.13,41.14,34.7,31.95,33.77,34.3,24.29,24.18,25.36,25.94,25.94
10,Operating Income,-7.6,27.75,14.98,11.37,-8.74,24.15,19.29,22.81,-7.21,37.07,34.35,27.49,-5.63,33.21,33.21
11,Interest Expense,-1.5,-0.42,-0.46,-0.9,-,-0.33,-0.58,-0.09,-0.16,-0.19,-0.24,-0.29,-0.1,-0.22,-0.22
12,Interest & Investment Income,2.5,2.86,3.53,3.33,2.84,1.82,2.18,2.74,1.16,0.77,0.99,0.87,0.84,0.96,0.96
13,Currency Exchange Gain (Loss),-0.06,0.06,-,0.01,-0.14,0.14,-,0.12,-0.04,0.04,-,-0.11,0.05,-0.03,-0.03
14,Other Non Operating Income (Expenses),-0.72,-0.21,-0.04,-1.68,-0.55,2.06,-0.14,-4.52,-0.02,3.86,0.31,-4.53,-0.06,1.93,1.93
15,EBT Excluding Unusual Items,-7.39,30.05,18,12.13,-6.6,27.84,20.76,21.07,-6.26,41.55,35.41,23.42,-4.89,35.85,35.85
16,Gain (Loss) on Sale of Investments,0.05,-,-,-0.08,0.07,0.01,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,0.01,-,-,-,-,-,0.03,-0.12,0.05,-0.01,0.2,-0.2,0.02,0.02
18,Asset Writedown,-1.22,-0.39,0.39,1.69,-1.92,0.55,-0.55,1.13,-1.72,0.47,-0.47,0.88,-1.1,-0.05,-0.05
19,Other Unusual Items,-0.42,0.42,-,4.41,-,-,-,16.22,-,-,-,5.18,-,-,-
20,Pretax Income,-8.98,30.1,18.39,18.15,-8.45,28.4,20.21,38.44,-8.09,42.07,34.94,29.69,-6.2,35.82,35.82
21,Income Tax Expense,-0.35,3.55,4.22,1.23,0.25,3.6,4.31,4.79,-2.15,7.29,5.2,3.93,-1.59,5.59,5.59
22,Earnings From Continuing Operations,-8.63,26.54,14.17,16.92,-8.7,24.8,15.9,33.65,-5.94,34.78,29.74,25.76,-4.61,30.24,30.24
23,Minority Interest in Earnings,1.06,0.95,1.04,0.78,0.82,0.83,0.96,0.35,0.37,0.47,0.33,0.35,0.19,0.17,0.17
24,Net Income,-7.57,27.49,15.21,17.7,-7.88,25.63,16.86,34.01,-5.57,35.25,30.07,26.11,-4.42,30.41,30.41
25,Net Income to Common,-7.57,27.49,15.21,17.7,-7.88,25.63,16.86,34.01,-5.57,35.25,30.07,26.11,-4.42,30.41,30.41
26,Net Income Growth,-,7.27%,-9.75%,-47.94%,-,-27.29%,-43.94%,30.25%,-,15.90%,-1.11%,-,-,-,-
27,Shares Outstanding (Basic),102,97,101,106,94,103,99,99,83,75,75,74,75,75,75
28,Shares Outstanding (Diluted),102,97,101,106,94,103,99,99,83,75,75,74,75,75,75
29,Shares Change (YoY),8.66%,-5.77%,2.28%,6.73%,14.15%,37.57%,31.90%,33.13%,9.52%,-0.15%,0.13%,-,-,-,-
30,EPS (Basic),-0.07,0.28,0.15,0.17,-0.08,0.25,0.17,0.34,-0.07,0.47,0.40,0.35,-0.06,0.41,0.41
31,EPS (Diluted),-0.07,0.28,0.15,0.17,-0.08,0.25,0.17,0.34,-0.07,0.47,0.40,0.35,-0.06,0.41,0.41
32,EPS Growth,-,13.84%,-11.76%,-51.22%,-,-47.15%,-57.50%,-2.17%,-,16.07%,-1.23%,-,-,-,-
33,Free Cash Flow,-20.29,-50.33,-43.11,165.11,-47.09,-39,-50.19,77.81,-94.38,-63.47,-36.52,63.98,-29.97,-14.48,-14.48
34,Free Cash Flow Per Share,-0.20,-0.52,-0.43,1.56,-0.50,-0.38,-0.51,0.79,-1.14,-0.85,-0.49,0.86,-0.40,-0.19,-0.19
35,Dividend Per Share,-,0.050,-,0.080,-,-,-,0.200,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-60.00%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,38.09%,29.58%,35.83%,33.88%,30.54%,30.37%,33.68%,33.03%,33.00%,32.16%,35.41%,34.88%,30.59%,35.67%,35.67%
38,Operating Margin,-9.01%,11.42%,10.02%,7.24%,-11.92%,11.23%,12.03%,13.76%,-8.95%,16.70%,20.74%,18.56%,-8.74%,20.02%,20.02%
