,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,252.38,302.48,501.9,493.05,392.45,340.11,424.96,536.46,483.87,85.57,-,182.9,-,-,-
1,Trading Asset Securities,155.85,142,15,-,15.08,45.01,50,-,1.7,1.7,-,-,-,-,-
2,Cash & Short-Term Investments,408.22,444.48,516.9,493.05,407.53,385.12,474.96,536.46,485.57,87.27,182.9,182.9,-,-,212.31
3,Cash Growth,0.17%,15.41%,8.83%,-8.09%,-16.07%,341.30%,159.69%,193.31%,-,-,-13.85%,-,-,-,-
4,Accounts Receivable,186.77,224.71,103.53,82.94,159.5,195.64,111.86,93.66,144.74,143.04,-,27.76,-,-,-
5,Other Receivables,0.96,3.71,8.5,2.77,1.79,3.76,1.16,2.12,0.68,3.09,-,2.78,-,-,-
6,Receivables,187.73,228.41,112.03,165.71,161.29,199.4,113.02,95.78,145.42,146.13,-,30.55,-,-,-
7,Inventory,146.42,96.52,118.8,120.91,119.09,95.9,145.98,165.39,152.04,108.21,-,164.94,-,-,-
8,Other Current Assets,79.93,58.82,57.59,63.5,90.62,55.93,68.49,77.67,94.48,70.27,-,58,-,-,-
9,Total Current Assets,822.3,828.23,805.31,843.16,778.53,736.34,802.45,875.3,877.51,411.87,-,436.39,-,-,-
10,"Property, Plant & Equipment",443.45,434.68,415.73,403.21,349.68,336.75,308.39,311.85,260.09,194.74,-,124.42,-,-,-
11,Long-Term Investments,50.2,90.3,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,-,50.2,-,-,-
12,Goodwill,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,-,0.98,-,-,-
13,Other Intangible Assets,40.5,41.02,41.54,42.06,42.59,43.13,42.25,41.99,26.86,27.15,-,27.39,-,-,-
14,Long-Term Deferred Tax Assets,5.34,7.3,5.46,4.52,4.15,4.94,4.22,3.78,3.11,3.78,-,3.03,-,-,-
15,Long-Term Deferred Charges,0.79,0.9,1,1.12,0.93,-,-,-,-,-,-,-,-,-,-
16,Other Long-Term Assets,58.73,8.1,7.68,8.23,7.09,56.46,27.69,7.77,7.69,7.69,-,7.98,-,-,-
17,Total Assets,1422,1412,1328,1353,1234,1229,1236,1292,1226,696.42,-,650.38,-,-,-
18,Accounts Payable,265.07,225.81,136.17,125.87,107.52,83.91,88.3,122.97,153.71,91.58,-,33.57,-,-,-
19,Accrued Expenses,27.94,23.58,16.73,27.43,19.86,21.49,16.4,30.22,22.67,22.74,-,23.79,-,-,-
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,5.01,-,15.02,-,-,-
21,Current Portion of Long-Term Debt,-,24.23,-,18.18,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,24.36,0.11,18.28,0.11,0.11,0.11,-,0.11,10.01,-,-,0.13,-,-,-
23,Current Income Taxes Payable,1.83,6.17,6.23,2.54,1.14,4.74,10.78,11.58,12.34,15.96,-,8.33,-,-,-
24,Current Unearned Revenue,35.84,43.93,62.82,98.63,24.6,29.94,57.47,96.31,57.19,20.68,-,92.56,-,-,-
25,Other Current Liabilities,5.62,11.83,3.09,2.69,1.97,3.79,2.21,1.97,1.52,1.81,-,3.27,-,-,-
26,Total Current Liabilities,360.66,335.66,243.33,275.44,155.2,143.98,175.16,263.14,257.45,157.78,-,176.67,-,-,-
27,Long-Term Debt,97.99,97.02,112.19,112.18,130.36,127.12,108.86,92.69,69.8,10.01,-,10.01,-,-,-
28,Long-Term Leases,0.25,0.12,0.3,0.42,0.41,0.4,0.5,0.51,0.16,0.16,-,0.21,-,-,-
29,Long-Term Unearned Revenue,4.9,5.09,5.42,5.61,5.6,5.51,5.68,5.85,1.27,1.33,-,1.47,-,-,-
30,Long-Term Deferred Tax Liabilities,4.15,4.15,4.21,4.22,4.12,4.13,4.14,4.3,3.75,3.75,-,3.75,-,-,-
31,Other Long-Term Liabilities,3.54,3.78,3.49,2.73,2.48,3,1.96,1.42,3.88,3.7,-,3.33,-,-,-
32,Total Liabilities,471.5,445.82,368.94,400.6,298.17,284.13,296.3,367.92,336.3,176.73,-,195.44,-,-,-
33,Common Stock,100,100,100,100,100,100,100,100,100,75,-,75,-,-,-
34,Additional Paid-In Capital,533.32,533.32,533.32,533.32,533.32,533.32,533.32,533.32,533.11,181.72,-,181.5,-,-,-
35,Retained Earnings,309.28,321.04,301.45,286.24,268.56,276.44,270.81,253.93,219.96,225.53,-,160.22,-,-,-
36,Treasury Stock,-22.09,-20.01,-8.09,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,-,21.25,-,-,-
38,Total Common Equity,941.77,955.61,947.94,940.81,923.13,931.01,925.38,908.5,874.33,503.51,437.96,437.96,-,-,349.2
39,Minority Interest,9.03,10.08,11.03,12.07,12.85,13.67,14.5,15.46,15.81,16.18,-,16.98,-,-,-
40,Shareholders' Equity,950.8,965.69,958.96,952.88,935.98,944.68,939.89,923.96,890.14,519.68,454.94,454.94,-,-,361.06
41,Total Liabilities & Equity,1422,1412,1328,1353,1234,1229,1236,1292,1226,696.42,-,650.38,-,-,-
42,Total Debt,122.6,121.48,130.78,130.89,130.88,127.63,109.36,93.31,79.97,15.17,25.37,25.37,-,-,20.03
43,Net Cash (Debt),285.62,323,386.12,362.16,276.65,257.49,365.6,443.15,405.59,72.1,157.53,157.53,-,-,192.28
44,Net Cash Growth,3.24%,25.44%,5.61%,-18.27%,-31.79%,257.14%,132.08%,181.31%,-,-,-18.07%,-,-,-,-
45,Net Cash Per Share,2.79,3.32,3.81,3.42,2.93,2.50,3.69,4.47,4.91,0.96,2.10,2.12,-,-,2.56
46,Filing Date Shares Outstanding,98.58,98.58,99.5,100,100,100,100,100,100,75,75.18,75,75.45,75.09,75.09
47,Total Common Shares Outstanding,98.58,98.73,99.5,100,100,100,100,100,100,75,75.18,75,75.45,75.09,75.09
48,Working Capital,461.64,492.57,561.98,567.72,623.33,592.36,627.3,612.15,620.07,254.09,-,259.72,-,-,-
49,Book Value Per Share,9.55,9.68,9.53,9.41,9.23,9.31,9.25,9.09,8.74,6.71,5.84,5.84,-,-,4.66
50,Tangible Book Value,900.28,913.61,905.42,897.77,879.56,886.9,882.16,865.53,846.49,475.37,409.59,409.59,-,-,334.78
51,Tangible Book Value Per Share,9.13,9.25,9.10,8.98,8.80,8.87,8.82,8.66,8.46,6.34,5.46,5.46,-,-,4.46
52,Buildings,-,177.5,-,176.23,-,156.84,-,156.46,-,84.17,-,84.15,-,-,-
53,Machinery,-,77.75,-,78.37,-,71.84,-,70.53,-,65.29,-,64.41,-,-,-
54,Construction In Progress,-,273.37,-,236.22,-,189.52,-,159.48,-,118.04,-,44.36,-,-,-
