,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Mar '17 Mar 31, 2017"
0,Other Revenue,-7.64,7.64,-,-,-4.48,4.48,-,-
1,Revenue,112.15,115.05,97.85,95.18,96.25,101.44,98.03,36.02
2,Revenue Growth (YoY),16.53%,13.41%,-0.19%,164.26%,-,-,-,-
3,Cost of Revenue,67.81,72.15,58.4,-,57.44,62.86,58.97,22.52
4,Gross Profit,44.35,42.9,39.45,33.45,38.81,38.58,39.06,13.49
5,"Selling, General & Admin",12.13,11.43,13.81,-,10.33,8.62,9.48,8.1
6,Research & Development,6.14,7.2,5.85,-,5.75,5.22,5.13,-
7,Other Operating Expenses,-0.92,0.93,-0.42,-,0.61,0.54,0.38,0.37
8,Operating Expenses,17.91,20.49,20.66,-,17.35,14.79,16.48,8.3
9,Operating Income,26.44,22.41,18.8,-,21.45,23.79,22.58,5.19
10,Interest Expense,-0.09,-0.07,-,-0.03,-0.03,-,-0.28,-0.29
11,Interest & Investment Income,1.12,0.97,1.06,-,0.35,0.83,-,0.12
12,Currency Exchange Gain (Loss),-0.32,0.32,-,-,-2.05,2.05,-,-0.17
13,Other Non Operating Income (Expenses),0.11,-0.14,-,-,2.03,0.19,0.03,-0.01
14,EBT Excluding Unusual Items,27.25,23.5,19.86,17.61,21.75,26.86,22.34,4.85
15,Gain (Loss) on Sale of Assets,0.02,-0.75,-0.28,-,-0.02,-0.1,-0.04,-
16,Asset Writedown,-1.53,0.25,-0.25,-,-2.49,0.02,-0.02,-0
17,Other Unusual Items,-1.26,1.46,0.08,-,0.14,-0.14,-,0.03
18,Pretax Income,24.48,24.46,19.4,-,19.39,26.64,22.28,4.87
19,Income Tax Expense,3.44,3.34,2.35,-,2.32,3.71,3.11,0.74
20,Net Income to Company,21.05,21.12,17.05,-,17.07,22.93,19.18,4.13
21,Net Income,21.05,21.12,17.05,16.6,17.07,22.93,19.18,4.13
22,Net Income to Common,21.05,21.12,17.05,-,17.07,22.93,19.18,4.13
23,Net Income Growth,23.32%,-7.89%,-11.11%,301.63%,-,-,-,-
24,Shares Outstanding (Basic),84,82,71,63,63,62,64,59
25,Shares Outstanding (Diluted),84,82,71,63,63,62,64,59
26,Shares Change (YoY),33.29%,32.17%,11.12%,6.88%,-,-,-,-
27,EPS (Basic),0.25,0.26,0.24,-,0.27,0.37,0.30,0.07
28,EPS (Diluted),0.25,0.26,0.24,0.26,0.27,0.37,0.30,0.07
29,EPS Growth,-7.48%,-30.31%,-20.00%,272.15%,-,-,-,-
30,Free Cash Flow,0.3,-11.31,-20.73,15.28,16.08,-1.92,-27.3,4.19
31,Free Cash Flow Per Share,0.00,-0.14,-0.29,0.24,0.25,-0.03,-0.43,0.07
32,Gross Margin,39.54%,37.29%,40.32%,35.14%,40.32%,38.03%,39.85%,37.46%
33,Operating Margin,23.57%,19.48%,19.21%,-,22.29%,23.45%,23.04%,14.42%
34,Profit Margin,18.77%,18.36%,17.42%,-,17.73%,22.60%,19.56%,11.47%
35,Free Cash Flow Margin,0.27%,-9.83%,-21.18%,16.06%,16.71%,-1.89%,-27.85%,11.63%
36,EBITDA,29.83,26.09,22.19,20.76,24.89,27.4,26.02,5.59
37,EBITDA Margin,26.60%,22.68%,22.68%,21.81%,25.86%,27.01%,26.54%,15.52%
38,D&A For EBITDA,3.4,3.68,3.4,3.4,3.44,3.61,3.44,0.4
39,EBIT,26.44,22.41,18.8,17.36,21.45,23.79,22.58,5.19
40,EBIT Margin,23.57%,19.48%,19.21%,18.24%,22.29%,23.45%,23.04%,14.42%
41,Effective Tax Rate,14.04%,13.66%,12.13%,-,11.98%,13.92%,13.94%,15.21%
42,Revenue as Reported,112.15,115.05,97.85,-,96.25,101.44,98.03,36.02
