,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q1 2017
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Mar '17 Mar 31, 2017"
0,Market Capitalization,3570,3258,3425,3823,-,-,-,-,-
1,Enterprise Value,3141,2830,2945,3711,-,-,-,-,-
2,Last Close Price,42.44,38.73,40.72,45.16,-,-,-,-,-
3,PE Ratio,42.41,55.02,62.02,67.02,-,-,-,-,-
4,PS Ratio,7.62,7.75,8.47,9.79,-,-,-,-,-
5,PB Ratio,4.14,3.78,4.07,4.52,-,-,-,-,-
6,P/TBV Ratio,3.97,3.97,4.28,4.75,-,-,-,-,-
7,P/FCF Ratio,-,-198.05,-,-,-,-,-,-,-
8,P/OCF Ratio,40.96,44.07,52.58,54.94,-,-,-,-,-
9,EV/Sales Ratio,7.49,6.74,7.28,9.50,-,-,-,-,-
10,EV/EBITDA Ratio,32.70,28.62,31.35,38.96,-,-,-,-,-
11,EV/EBIT Ratio,39.11,33.30,36.81,45.59,-,-,-,-,-
12,EV/FCF Ratio,-182.11,-172.06,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.00,0.00,0.00,0.01,0.01,-,0.01,0.01,0.10
14,Debt / EBITDA Ratio,0.04,0.03,0.03,0.05,0.03,-,0.03,0.05,0.89
15,Debt / FCF Ratio,-,-0.21,-,-,1.23,-,-,-,4.77
16,Asset Turnover,0.49,0.50,-,0.71,-,-,-,-,
17,Inventory Turnover,-,2.54,2.87,-,-,-,-,-,-
18,Quick Ratio,9.14,9.14,10.02,8.59,4.98,-,4.56,-,2.39
19,Current Ratio,10.83,10.83,11.78,9.90,6.41,-,5.96,-,3.39
20,Return on Equity (ROE),9.89%,10.01%,-,14.13%,-,22.07%,-,-,
21,Return on Assets (ROA),7.18%,6.10%,-,8.14%,-,-,-,-,
22,Return on Capital (ROIC),7.73%,6.61%,-,9.21%,-,14.16%,-,-,
23,Return on Capital Employed (ROCE),9.27%,9.81%,9.46%,9.56%,18.06%,-,11.71%,-,2.60%
24,Earnings Yield,2.11%,2.33%,2.10%,1.93%,-,-,-,-,-
25,FCF Yield,-0.48%,-0.50%,-0.02%,0.23%,-,-,-,-,-
26,Payout Ratio,34.95%,-,124.67%,-,-,-,-,-,6.90%
27,Buyback Yield / Dilution,-19.12%,-33.29%,-32.17%,-11.12%,-6.88%,-,-,-,-
28,Total Shareholder Return,-18.38%,-33.29%,-32.17%,-11.12%,-6.88%,-,-,-,-
