,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Mar '17 Mar 31, 2017"
0,Cash & Equivalents,342.01,431.12,484.5,131.12,-,116.1,-,70.47
1,Trading Asset Securities,90,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,432.01,431.12,484.5,131.12,-,116.1,136.25,70.47
3,Cash Growth,-,271.35%,255.59%,86.05%,-,-,-,-
4,Accounts Receivable,176.78,186.44,174.77,175.32,-,175.52,-,55.4
5,Other Receivables,1.8,1.74,1.83,1.11,-,-,-,0.3
6,Receivables,178.58,188.18,176.59,176.43,-,175.52,-,55.7
7,Inventory,109.18,104.04,97.26,83.2,-,85.04,-,40.37
8,Other Current Assets,4.18,4.19,3.55,4.63,-,4.47,-,12.76
9,Total Current Assets,723.95,727.53,761.91,395.37,-,381.13,-,179.3
10,"Property, Plant & Equipment",138.71,122.87,114.5,106.05,-,98.21,-,57.12
11,Other Intangible Assets,40.91,41.59,42.22,14.71,-,15.4,-,7
12,Long-Term Deferred Tax Assets,4.05,3.73,3.29,3.19,-,2.98,-,1.14
13,Other Long-Term Assets,25.94,12,6.51,13.97,-,6.57,-,7.73
14,Total Assets,933.55,907.72,928.43,533.3,-,504.3,-,252.29
15,Accounts Payable,34.49,37.72,51.73,32.18,-,41.08,-,29.8
16,Accrued Expenses,4.93,4.96,2.05,8.73,-,5.32,-,1.6
17,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,20
18,Current Portion of Leases,1.36,1.45,2.43,2.35,-,2.4,-,-
19,Current Income Taxes Payable,7,3.43,3.58,3.98,-,4.03,-,-
20,Current Unearned Revenue,1.59,2.33,3.09,2.21,-,1.4,-,-
21,Other Current Liabilities,17.47,11.9,14.08,12.26,-,9.68,-,1.46
22,Total Current Liabilities,66.83,61.78,76.96,61.71,-,63.91,-,52.86
23,Long-Term Leases,2.02,2.11,2.14,0.28,-,1.47,-,-
24,Long-Term Unearned Revenue,2.67,2.79,3.01,1.47,-,2.21,-,8.3
25,Total Liabilities,71.53,66.69,82.1,63.46,-,67.59,-,61.16
26,Common Stock,84.12,84.12,84.12,63.09,-,63.09,-,60
27,Additional Paid-In Capital,493.42,493.42,493.42,155.11,-,155.11,-,107.64
28,Retained Earnings,284.41,263.36,268.57,251.52,-,218.33,-,23.41
29,Comprehensive Income & Other,0.08,0.13,0.22,0.12,-,0.17,-,0.08
30,Shareholders' Equity,862.03,841.03,846.33,469.84,-,436.71,394.51,191.13
31,Total Liabilities & Equity,933.55,907.72,928.43,533.3,-,504.3,-,252.29
32,Total Debt,3.38,3.57,4.56,2.63,-,3.87,5.27,20
33,Net Cash (Debt),428.63,427.55,479.93,128.49,-,112.23,130.99,50.47
34,Net Cash Growth,-,280.97%,266.40%,154.57%,-,-,-,-
35,Net Cash Per Share,5.09,5.24,6.76,2.04,-,1.82,2.05,0.86
36,Filing Date Shares Outstanding,84.12,84.12,84.12,84.12,63.16,63.09,63.93,60
37,Total Common Shares Outstanding,84.12,84.12,84.12,63.09,63.16,63.09,63.93,60
38,Working Capital,657.11,665.74,684.95,333.67,-,317.22,-,126.44
39,Book Value Per Share,10.25,10.00,10.06,7.45,-,6.92,6.24,3.19
40,Tangible Book Value,821.12,799.45,804.11,455.13,-,421.3,385.48,184.13
41,Tangible Book Value Per Share,9.76,9.50,9.56,7.21,-,6.68,6.10,3.07
42,Buildings,-,52.71,-,52.71,-,52.71,-,23.65
43,Machinery,-,121.27,-,122.73,-,115.25,-,43.51
44,Construction In Progress,-,34.82,-,15.39,-,7.85,-,15.2
