,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Operating Revenue,275.1,218.42,150.79,-470.57,217.97,171.21,115.87,-428.08,158.86,123.16,169.31,160.38
1,Other Revenue,-20.29,20.29,-,686.2,-11.5,11.5,-,570.65,-15.28,15.28,-,17.67
2,Revenue,254.81,238.71,150.79,215.62,206.48,182.71,115.87,142.57,143.58,138.44,169.31,178.05
3,Revenue Growth (YoY),23.41%,30.65%,30.13%,51.23%,43.80%,31.97%,-31.56%,-19.93%,-,-,-,-
4,Cost of Revenue,195.13,182.39,111.1,191.61,149.57,146.49,105.66,127.55,101.94,106.31,126.42,138.8
5,Gross Profit,59.69,56.32,39.68,24.02,56.9,36.21,10.21,15.03,41.64,32.13,42.88,39.25
6,"Selling, General & Admin",23.95,24.75,20.78,19.6,15.84,15.13,10.49,9.29,18.27,9.23,10.13,11.36
7,Research & Development,19.42,21.92,14.74,13.55,12.43,11.16,9.81,9.08,10.58,9.26,8.75,6.66
8,Other Operating Expenses,-2.3,1.45,-1.14,-4.57,0.6,-3.19,0.13,3.68,0.81,0.15,0.45,4.98
9,Operating Expenses,42.9,50.88,33.41,31.5,27.54,27.09,19.34,25.63,24.29,19.47,20.61,22.81
10,Operating Income,16.79,5.44,6.28,-7.49,29.36,9.12,-9.14,-10.6,17.35,12.66,22.27,16.44
11,Interest Expense,-3.29,-3.7,-3.54,-4.55,-1.64,-2.15,-1.69,-2.12,-2.78,-2.99,-2.79,-2.3
12,Interest & Investment Income,2.78,3.06,4.17,4.35,3.32,3.22,2.43,1.6,0.07,0.01,0.03,0
