,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Cash & Equivalents,362.28,254.44,377.27,430.52,367.74,238.15,234.14,218.01,727.53,-,-,39.15
1,Trading Asset Securities,180.24,293.47,233.26,203.1,266.41,340.32,349.35,379.72,-,-,-,-
2,Cash & Short-Term Investments,542.52,547.91,610.53,633.62,634.14,578.47,583.48,597.73,727.53,-,39.15,39.15
3,Cash Growth,-14.45%,-5.28%,4.64%,6.01%,-12.84%,-,1390.39%,1426.78%,-,-,-,-
4,Accounts Receivable,321.68,367.39,273.76,334.81,308.86,300.44,223.75,244.89,245.19,-,-,260.55
5,Other Receivables,13.61,6.41,30.93,4.06,2.09,1.97,1.97,1.38,6.72,-,-,1.51
6,Receivables,335.29,373.8,304.69,338.87,310.94,302.41,225.72,246.27,251.91,-,-,262.06
7,Inventory,204.74,178.85,157.53,143.02,166.28,161.98,167.11,182.48,204.2,-,-,172.37
8,Prepaid Expenses,-,-,-,0.24,-,-,-,0.19,-,-,-,-
9,Other Current Assets,14.31,7.84,6.53,5.03,5.13,6.3,9.14,4.78,12.27,-,-,6.26
10,Total Current Assets,1097,1108,1079,1121,1116,1049,985.46,1031,1196,-,-,479.84
11,"Property, Plant & Equipment",753.09,693.34,622.37,614.15,507.63,504.09,453,436.63,425.22,-,-,428.66
12,Long-Term Investments,13.95,14.06,14.32,14.32,14.7,14.7,-,-,-,-,-,-
