,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Market Capitalization,6820,5419,5342,4815,3303,3158,2995,3059,2720,3141,-,-,-
1,Market Cap Growth,71.61%,71.61%,78.38%,57.43%,21.43%,0.53%,-,-,-,-,-,-,-
2,Enterprise Value,6800,5401,5242,4577,3064,2946,2698,2684,2345,3437,-,-,-
3,Last Close Price,33.31,26.47,26.09,23.20,15.91,15.22,14.43,14.71,13.08,15.11,-,-,-
4,PE Ratio,195.76,149.98,124.58,110.72,106.54,100.78,110.40,-,55.29,48.68,-,-,-
5,PS Ratio,8.23,6.30,6.58,6.37,4.58,4.88,5.12,5.66,4.58,4.99,-,-,-
6,PB Ratio,6.42,5.09,5.13,4.63,3.09,2.97,2.87,2.79,2.46,2.87,-,-,-
7,P/TBV Ratio,5.37,5.37,5.37,4.84,3.23,3.11,3.01,3.09,2.72,3.09,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-34.01,-,-,-,-1324.86,-,-,-
9,P/OCF Ratio,66.07,66.07,-,64.43,37.93,49.00,-,254.11,105.24,55.81,-,-,-
10,EV/Sales Ratio,7.91,6.28,6.46,6.06,4.25,4.55,4.61,4.97,3.95,5.46,-,-,-
11,EV/EBITDA Ratio,85.31,61.90,52.76,45.88,36.52,36.68,40.21,38.61,23.51,27.37,-,-,-
12,EV/EBIT Ratio,407.26,256.98,156.06,122.79,-,157.19,400.62,-,-,50.01,-,-,-
13,EV/FCF Ratio,-41.21,-,-,-,-,-31.73,-,-,-,-1449.35,-,-,-
14,Debt / Equity Ratio,0.49,0.49,0.51,0.49,0.41,0.37,0.35,0.21,0.19,0.27,-,0.75,0.75
15,Debt / EBITDA Ratio,6.53,4.01,5.36,5.82,10.43,2.22,3.66,9.45,10.41,2.37,-,1.93,2.30
16,Debt / FCF Ratio,-,-,-,-,-,-4.26,-,-,-,-125.68,-,-,22.53
17,Asset Turnover,0.52,0.50,0.32,0.48,0.49,0.47,0.30,0.36,-,-,-,-,
18,Inventory Turnover,3.67,4.07,4.34,2.96,4.96,3.65,3.56,2.42,2.64,-,-,-,-
19,Quick Ratio,1.01,1.01,1.09,1.19,1.31,1.57,1.58,2.05,2.06,1.78,-,-,0.57
20,Current Ratio,1.26,1.26,1.31,1.41,1.51,1.86,1.88,2.50,2.52,2.18,-,-,0.91
21,Return on Equity (ROE),5.11%,4.49%,1.67%,2.46%,7.69%,4.49%,-3.52%,4.34%,-,-,17.03%,-,
22,Return on Assets (ROA),2.13%,0.71%,0.84%,-1.05%,4.40%,1.45%,-1.50%,-1.66%,-,-,-,-,
23,Return on Capital (ROIC),2.66%,0.87%,1.03%,-1.26%,5.12%,1.67%,-1.73%,-1.96%,-,-,8.51%,-,
24,Return on Capital Employed (ROCE),1.18%,1.87%,3.05%,3.38%,-,1.70%,0.63%,-,-,6.17%,-,-,3.85%
25,Earnings Yield,0.53%,0.67%,0.80%,0.90%,0.94%,0.99%,0.91%,0.84%,1.81%,2.05%,-,-,-
26,FCF Yield,-2.42%,-3.04%,-2.66%,-3.04%,-3.65%,-2.94%,-3.18%,-1.97%,-1.11%,-0.08%,-,-,-
27,Dividend Yield,0.28%,-,-,-,0.58%,-,-,-,0.19%,-,-,-,-
28,Payout Ratio,83.99%,7.16%,193.88%,61.84%,61.20%,6.79%,54.28%,-,153.21%,-,28.08%,17.87%,13.38%
29,Buyback Yield / Dilution,-3.65%,-21.22%,29.41%,-35.83%,-3.43%,-18.77%,-66.86%,-,-30.18%,-,-,-,-
30,Total Shareholder Return,-3.37%,-21.22%,29.41%,-35.83%,-2.85%,-18.77%,-66.86%,-,-29.99%,-,-,-,-
