,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q3 2017,Q4 2016,Q3 2016
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '17 Sep 30, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016"
0,Market Capitalization,22132321,22750228,26064459,-,-,-,-,-,-,-,-,-
1,Enterprise Value,50849036,56299125,61372058,-,-,-,-,-,-,-,-,-
2,PS Ratio,0.54,0.56,0.68,-,-,-,-,-,-,-,-,-
3,PB Ratio,1.55,1.55,1.65,-,-,-,-,-,-,-,-,-
4,EV/Sales Ratio,1.25,1.39,1.60,-,-,-,-,-,-,-,-,-
5,EV/EBITDA Ratio,7.26,7.78,8.42,-,-,-,-,-,-,-,-,-
6,EV/EBIT Ratio,20.30,20.62,22.09,-,-,-,-,-,-,-,-,-
7,Debt / Equity Ratio,2.18,2.18,2.28,2.69,2.92,3.08,-,-,-,6.52,7.93,-
8,Debt / EBITDA Ratio,4.69,4.39,6.60,6.03,5.44,6.49,-,-,-,5.99,12.19,-
9,Debt / FCF Ratio,-,-,-,28.23,-,-,-,-,-,-,-,-
10,Quick Ratio,1.05,1.05,1.11,1.43,1.37,1.60,-,-,-,2.54,1.45,-
11,Current Ratio,1.28,1.28,1.48,1.84,1.75,1.99,-,-,-,3.03,1.77,-
12,Asset Turnover,-,-,0.49,0.58,-,-,-,-,-,-,-,
13,Return on Equity (ROE),-,-,21.83%,18.91%,-,-,-,-,-,-,-,
14,Return on Assets (ROA),-,-,2.60%,3.68%,-,-,-,-,-,-,-,
15,Return on Capital (ROIC),-,-,2.94%,4.14%,-,-,-,-,-,-,-,
16,Return on Capital Employed (ROCE),5.46%,6.49%,5.87%,6.20%,6.31%,6.05%,-,-,-,2.75%,-,-
17,Earnings Yield,-4.07%,4.49%,8.63%,-,-,-,-,-,-,-,-,-
18,Earnings Yield,-4.07%,4.49%,8.63%,-,-,-,-,-,-,-,-,-
19,Payout Ratio,0.00%,-,-,62.36%,0.02%,0.01%,-,1.83%,-,-,8.98%,-
20,Buyback Yield / Dilution,46.03%,-5.16%,0.33%,-5.00%,0.05%,48.61%,-,-,-,-,-,-
21,Total Shareholder Return,56.77%,-5.16%,0.33%,-5.00%,0.05%,48.61%,-,-,-,-,-,-
