,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q3 2017,Q4 2016,Q3 2016
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '17 Sep 30, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016"
0,Revenue,11253618,9924681,8762174,10492755,9142237,9248643,10467802,11058963,7707204,11576541,7442099
1,Revenue Growth (YoY),23.09%,7.31%,-16.29%,-5.12%,18.62%,-20.11%,40.66%,-,-,-,-
2,"Selling, General & Admin",302751,230700,154515,157943,94169,123801,110551,92064,73259,242840,65221
3,Other Operating Expenses,10257603,9457691,7868190,9273113,8307780,8008735,9533016,9912769,6112055,11529314,6600177
4,Total Operating Expenses,10560354,9688390,8022705,9431056,8401949,8132536,9643567,10004833,6185315,11772154,6665398
5,Operating Income,693264,236291,739469,1061699,740289,1116107,824235,1054130,1521889,-195612,776701
6,Interest Expense,-514490,-620523,-297987,-339747,-300708,-420757,-512084,-561917,-895915,-1237008,-813263
7,Interest Income,39332,61253,622900,167502,487616,32523,102544,70415,84927,-50553,80385
8,Net Interest Expense,-475158,-559270,324913,-172245,186908,-388234,-409540,-491501,-810988,-1287561,-732878
9,Income (Loss) on Equity Investments,163824,115901,-,-,-,-,32509,-,-,134210,-
10,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,1572688,-
11,Other Non-Operating Income (Expenses),-819933,-56524,-4982,2228,-1217,-85857,736097,-926874,-695438,69347,-43578
12,EBT Excluding Unusual Items,-438003,-263603,1059400,891682,925980,642016,1183300,-364245,15463,293072,245.13
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,11399,-
14,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,19.87,-
15,Pretax Income,-438003,-263603,1059400,891682,925980,642016,1183300,-364245,15463,304490,245.13
16,Income Tax Expense,532,-83002,156024,133731,135722,96375,107525,8574,225.82,39017,245.13
17,Earnings From Continuing Ops.,-438535,-180601,903375,757951,790258,545640,1075775,-372819,15237,265474,-
18,Minority Interest in Earnings,-3424,-962.82,-14522,-1097,-4219,-3627,-16327,-6320,-,-34286,-
19,Net Income,-441959,-181564,888853,756855,786039,542014,1059449,-379139,15237,231187,-
20,Net Income to Common,-441959,-181564,888853,756855,786039,542014,1059449,-379139,15237,231187,-
21,Net Income Growth,-,-,-16.10%,-,5058.71%,134.45%,-,-,-,-,-
22,Shares Outstanding (Basic),1125,1121,1124,1071,1069,1125,1070,1071,2081,-,-
23,Shares Outstanding (Diluted),1125,1121,1124,1071,1069,1125,1070,1071,2081,-,-
24,Shares Change (YoY),5.16%,-0.33%,5.00%,-0.05%,-48.61%,-,-,-,-,-,-
25,EPS (Basic),-393.00,-162.00,791.00,707.00,735.00,482.00,990.00,-354.00,7.32,-,-
26,EPS (Diluted),-393.00,-162.00,791.00,707.00,735.00,482.00,990.00,-354.00,7.32,-,-
27,EPS Growth,-,-,-20.10%,-,9937.74%,-,-,-,-,-,-
28,Free Cash Flow,-,-,1267381,-889407,-543207,1761297,-216127,-1278315,-,-1407918,-
29,Free Cash Flow Per Share,-,-,1127.86,-830.82,-507.94,1566.28,-201.96,-1193.55,-,-,-
30,Profit Margin,-3.93%,-1.83%,10.14%,7.21%,8.60%,5.86%,10.12%,-3.43%,0.20%,2.00%,-
31,Free Cash Flow Margin,-,-,14.46%,-8.48%,-5.94%,19.04%,-2.06%,-11.56%,-,-12.16%,-
32,EBITDA,1817998,1363436,1867333,2188290,1866942,2250456,2018235,2254388,2772175,1418283,2189913
33,EBITDA Margin,16.15%,13.74%,21.31%,20.86%,20.42%,24.33%,19.28%,20.39%,35.97%,12.25%,29.43%
34,D&A For EBITDA,1124733,1127146,1127863,1126591,1126654,1134349,1194000,1200258,1250286,1613895,1413212
35,EBIT,693264,236291,739469,1061699,740289,1116107,824235,1054130,1521889,-195612,776701
36,EBIT Margin,6.16%,2.38%,8.44%,10.12%,8.10%,12.07%,7.87%,9.53%,19.75%,-1.69%,10.44%
37,Effective Tax Rate,-,-,14.73%,15.00%,14.66%,15.01%,9.09%,-,1.46%,12.81%,100.00%
38,Revenue as Reported,11253618,9924681,8762174,10492755,9142237,9248643,10467802,11058963,7707204,11576541,7442099
