,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,224.42,186.56,153.84,160.85,160.3,161.59,140.07,116.24,188.67,165.94,165.94,101,101
1,Other Revenue,-16.38,16.38,-,21.32,-10.92,10.92,-,40.35,-23.91,11.95,11.95,6.95,6.95
2,Revenue,208.04,202.93,153.84,182.17,149.37,172.51,140.07,156.6,164.76,177.9,177.9,107.95,107.95
3,Revenue Growth (YoY),39.28%,17.63%,9.83%,16.33%,-9.34%,-3.03%,-21.27%,45.06%,52.62%,-,-,-,-
4,Cost of Revenue,189.79,172.92,126.45,145.7,113.37,127.84,102.71,120.28,125.2,124.78,124.78,52.7,52.7
5,Gross Profit,18.26,30.01,27.39,36.47,36,44.67,37.35,36.32,39.56,53.12,53.12,55.25,55.25
6,"Selling, General & Admin",10.9,10.6,11.34,11.7,9.58,8.2,10.56,11.1,11.51,10.64,10.64,7.85,7.85
7,Research & Development,6.36,6.5,4.56,7.31,3.35,3.9,4.45,6.37,4.72,5.87,5.87,3.32,3.32
8,Other Operating Expenses,-1.03,0.53,-3.27,-0.46,0.31,0.53,0.67,2.76,1.53,0.34,0.34,1.09,1.09
9,Operating Expenses,16.64,18.38,12.71,18.33,13.8,13.65,15.06,19.37,18.06,16.71,16.71,12.21,12.21
10,Operating Income,1.62,11.63,14.67,18.14,22.2,31.02,22.3,16.95,21.5,36.41,36.41,43.04,43.04
11,Interest Expense,-,-,-,-1.46,-0.73,-0.94,-0.91,-4.36,-0.14,-1,-1,-0.14,-0.14
12,Interest & Investment Income,287.41,4.63,1.91,5.42,0.25,0.53,0.4,0.32,2,0.07,0.07,1.12,1.12
13,Currency Exchange Gain (Loss),-0.98,0.98,-,1.45,-3.65,3.65,-,5.54,-3.62,1.81,1.81,0,0
14,Other Non Operating Income (Expenses),-280.62,-3.64,3.02,-2.82,2.11,-0.37,-1.66,-4.58,3.4,-0.31,-0.31,-0.17,-0.17
15,EBT Excluding Unusual Items,7.43,13.59,19.61,20.73,20.18,33.89,20.13,13.88,23.14,36.97,36.97,43.86,43.86
16,Gain (Loss) on Sale of Investments,-3.17,3.63,-,1.52,-,-,-,-0.01,0.07,-0.63,-0.63,-,-
17,Gain (Loss) on Sale of Assets,-0,-,0,-,0.08,-,-,-0.12,-0.35,-,-,-,-
18,Asset Writedown,-0.03,-,-,-0.3,0.3,-0.04,0.04,4.91,-4.91,-,-,-0.77,-0.77
19,Other Unusual Items,-0.54,0.52,0.02,-1.3,-,-,-,2.32,0.05,-0.02,-0.02,0.57,0.57
20,Pretax Income,3.68,17.75,19.64,20.65,20.56,33.84,20.17,20.98,17.99,36.32,36.32,43.66,43.66
21,Income Tax Expense,0.98,2.7,2.85,5.62,1.76,6.28,3.49,3.09,1.99,6.63,6.63,6.79,6.79
22,Net Income,2.7,15.04,16.79,15.04,18.8,27.56,16.68,17.9,16,29.69,29.69,36.87,36.87
23,Net Income to Common,2.7,15.04,16.79,15.04,18.8,27.56,16.68,17.9,16,29.69,29.69,36.87,36.87
24,Net Income Growth,-85.61%,-45.42%,0.64%,-15.98%,17.46%,-7.17%,-43.80%,-51.46%,-56.60%,-,-,-,-
25,Shares Outstanding (Basic),185,206,218,213,157,161,155,155,152,158,158,157,157
26,Shares Outstanding (Diluted),185,206,218,213,157,161,155,155,152,158,158,157,157
27,Shares Change (YoY),18.02%,27.91%,40.94%,37.15%,3.44%,2.27%,-1.67%,-1.26%,-3.56%,-,-,-,-
28,EPS (Basic),0.01,0.07,0.08,0.07,0.12,0.17,0.11,0.12,0.11,0.19,0.19,0.23,0.23
29,EPS (Diluted),0.01,0.07,0.08,0.07,0.12,0.17,0.11,0.12,0.11,0.19,0.19,0.23,0.23
30,EPS Growth,-87.81%,-57.33%,-28.60%,-38.74%,13.56%,-9.23%,-42.85%,-50.84%,-54.99%,-,-,-,-
31,Free Cash Flow,-41.4,-15.65,-38.5,-31.03,13.83,-8.31,-14.48,42.7,3.41,-10.15,-10.15,20.07,20.07
32,Free Cash Flow Per Share,-0.22,-0.08,-0.18,-0.15,0.09,-0.05,-0.09,0.28,0.02,-0.06,-0.06,0.13,0.13
33,Dividend Per Share,-,-,-,0.154,-,-,-,-,-,-,-,-,-
34,Gross Margin,8.78%,14.79%,17.80%,20.02%,24.10%,25.90%,26.67%,23.19%,24.01%,29.86%,29.86%,51.18%,51.18%
35,Operating Margin,0.78%,5.73%,9.54%,9.96%,14.86%,17.98%,15.92%,10.83%,13.05%,20.47%,20.47%,39.87%,39.87%
36,Profit Margin,1.30%,7.41%,10.91%,8.25%,12.58%,15.98%,11.91%,11.43%,9.71%,16.69%,16.69%,34.16%,34.16%
37,Free Cash Flow Margin,-19.90%,-7.71%,-25.03%,-17.03%,9.26%,-4.82%,-10.34%,27.27%,2.07%,-5.71%,-5.71%,18.59%,18.59%
38,EBITDA,14.99,26.46,28.04,31.51,35.26,44.46,35.35,30.01,34.32,49.24,49.24,46.42,46.42
39,EBITDA Margin,7.20%,13.04%,18.23%,17.30%,23.60%,25.77%,25.24%,19.16%,20.83%,27.68%,27.68%,43.00%,43.00%
40,D&A For EBITDA,13.37,14.83,13.37,13.37,13.06,13.44,13.06,13.06,12.83,12.83,12.83,3.38,3.38
41,EBIT,1.62,11.63,14.67,18.14,22.2,31.02,22.3,16.95,21.5,36.41,36.41,43.04,43.04
42,EBIT Margin,0.78%,5.73%,9.54%,9.96%,14.86%,17.98%,15.92%,10.83%,13.05%,20.47%,20.47%,39.87%,39.87%
43,Effective Tax Rate,26.54%,15.24%,14.49%,27.20%,8.57%,18.57%,17.28%,14.71%,11.06%,18.26%,18.26%,15.54%,15.54%
