,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3302,2973,2887,3051,4211,4197,-,-,-,-,-,-,-,-
1,Market Cap Growth,-29.15%,-29.15%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2580,2209,2067,2148,3308,4217,-,-,-,-,-,-,-,-
3,Last Close Price,15.99,14.40,13.94,14.51,20.02,19.95,-,-,-,-,-,-,-,-
4,PE Ratio,65.59,59.98,43.96,39.03,53.94,51.85,-,-,-,-,-,-,-,-
5,PS Ratio,4.35,3.98,4.19,4.64,6.54,6.78,-,-,-,-,-,-,-,-
6,PB Ratio,1.90,1.71,1.66,1.73,2.39,2.41,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.78,1.78,1.73,1.80,2.50,2.51,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,124.41,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,113.09,-,-,38.57,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.45,2.96,3.00,3.27,5.14,6.82,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,26.06,21.87,17.05,15.43,22.57,29.07,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,57.93,47.96,31.02,24.97,35.32,45.60,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-20.39,-,-,-,-,125.02,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,-,-,-,0.11,0.12,0.12,-,-,0.14,0.05,0.05
15,Debt / EBITDA Ratio,-,-,-,-,-,-,0.51,0.65,0.76,-,-,0.48,0.15,0.15
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,3.55,-,-,-,0.70,1.39
17,Asset Turnover,0.46,0.44,0.33,0.39,0.41,-,-,-,-,-,-,0.68,-,
18,Inventory Turnover,4.41,4.64,4.07,3.13,4.27,3.43,-,-,-,-,-,-,8.82,-
19,Quick Ratio,20.43,20.43,17.22,12.23,10.65,11.02,0.87,-,0.81,-,-,-,4.42,4.42
20,Current Ratio,25.36,25.36,21.24,15.07,12.64,12.86,1.85,-,1.49,-,-,-,4.84,4.84
21,Return on Equity (ROE),0.62%,3.43%,3.81%,3.43%,5.87%,13.84%,8.63%,-,-,-,-,26.92%,-,
22,Return on Assets (ROA),0.22%,1.57%,1.95%,2.42%,3.83%,-,-,-,-,-,-,16.96%,-,
23,Return on Capital (ROIC),0.23%,1.66%,2.08%,2.59%,4.18%,8.74%,6.44%,-,-,-,-,18.69%,-,
24,Return on Capital Employed (ROCE),2.52%,2.60%,3.78%,4.80%,5.24%,5.22%,10.81%,-,13.85%,-,-,-,15.70%,7.85%
25,Earnings Yield,1.50%,1.67%,2.27%,2.56%,1.85%,1.93%,-,-,-,-,-,-,-,-
26,FCF Yield,-3.83%,-4.26%,-2.47%,-2.10%,-0.95%,0.80%,-,-,-,-,-,-,-,-
27,Dividend Yield,0.96%,-,-,-,0.77%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,62.99%,-,207.59%,-,0.00%,4.93%,3.35%,7.55%,6.13%,10.41%,2.90%,2.90%,1.37%,1.37%
29,Buyback Yield / Dilution,-29.52%,-18.02%,-27.91%,-40.94%,-37.15%,-3.44%,-2.27%,1.67%,1.26%,3.56%,-,-,-,-
30,Total Shareholder Return,-28.56%,-18.02%,-27.91%,-40.94%,-36.38%,-3.44%,-2.27%,1.67%,1.26%,3.56%,-,-,-,-
