,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,182.02,166.81,395.12,310.8,387.85,70.31,-,93.09,-,-,-,299.52,299.52
1,Trading Asset Securities,539.16,597.15,424.38,556.52,515,-,-,-,-,-,-,30,30
2,Cash & Short-Term Investments,721.18,763.96,819.5,867.32,902.85,70.31,93.09,93.09,-,-,71.59,329.52,329.52
3,Cash Growth,-20.12%,986.57%,780.35%,831.71%,-,-,30.03%,-71.75%,-,-,-,-,-
4,Accounts Receivable,156.85,138.86,128.98,120.89,98.46,90.8,-,75.06,-,-,-,52.54,52.54
5,Other Receivables,11.01,10.9,10.92,9.42,7.94,0.11,-,8.14,-,-,-,0.05,0.05
6,Receivables,167.86,149.76,139.9,130.32,106.4,90.91,-,83.2,-,-,-,52.59,52.59
7,Inventory,162.73,164.62,175.08,148.23,124.89,139.5,-,113.08,-,-,-,23.89,23.89
8,Other Current Assets,51.77,48.81,46.86,39.08,43.19,43.42,-,36.77,-,-,-,12.18,12.18
9,Total Current Assets,1104,1127,1181,1185,1177,344.14,-,326.14,-,-,-,418.18,418.18
10,"Property, Plant & Equipment",587.2,599.02,609.61,612.51,602.82,604.13,-,606.67,-,-,-,160.7,160.7
11,Other Intangible Assets,71.12,71.52,71.93,72.33,70.2,70.13,-,70.86,-,-,-,20.44,20.44
12,Long-Term Deferred Tax Assets,4.6,5.08,5.11,5.7,9.02,9.13,-,9.86,-,-,-,1.55,1.55
13,Long-Term Deferred Charges,0.33,0.35,0.36,0.37,0.38,0.39,-,0.42,-,-,-,0.04,0.04
14,Other Long-Term Assets,45.28,15.24,4.26,4.95,4.15,7.1,-,7.84,-,-,-,33.61,33.61
15,Total Assets,1812,1818,1873,1881,1864,1035,-,1022,-,-,-,634.52,634.52
16,Accounts Payable,29.93,22.72,58.7,43.73,67.54,44.75,-,41.57,-,-,-,17.32,17.32
17,Accrued Expenses,3.32,13.07,3.01,16.76,3.13,13.45,-,17.45,-,-,-,8.45,8.45
18,Short-Term Debt,-,-,-,-,-,90.67,-,91.58,-,-,-,27.93,27.93
19,Current Income Taxes Payable,4.66,4.08,7.81,10.03,15.1,8.37,-,13.05,-,-,-,5.19,5.19
20,Current Unearned Revenue,4.92,4.15,7.32,5.08,4.9,4.55,-,16.2,-,-,-,9.97,9.97
21,Other Current Liabilities,0.7,9.06,1.58,18.11,0.9,24.37,-,38.76,-,-,-,17.5,17.5
22,Total Current Liabilities,43.52,53.07,78.42,93.71,91.56,186.17,-,218.61,-,-,-,86.36,86.36
23,Long-Term Unearned Revenue,27.41,27.79,27.72,28.1,28.48,28.86,-,29.63,-,-,-,0.22,0.22
24,Total Liabilities,70.93,80.86,106.14,121.82,120.05,215.04,-,248.23,-,-,-,86.57,86.57
25,Common Stock,207.65,207.65,160,160,160,120,-,120,-,-,-,120,120
26,Additional Paid-In Capital,1113,1113,1160,1160,1160,295.11,-,295.11,-,-,-,295.11,295.11
27,Retained Earnings,430.28,427.58,443.74,426.97,411.94,393.14,-,348.89,-,-,-,121.9,121.9
28,Treasury Stock,-22.6,-22.6,-8.28,-,-,-,-,-,-,-,-,-,-
29,Comprehensive Income & Other,13.03,12.07,10.52,11.53,11.43,11.73,-,9.55,-,-,-,10.94,10.94
30,Shareholders' Equity,1741,1737,1766,1759,1744,819.97,773.55,773.55,-,-,679.87,547.94,547.94
31,Total Liabilities & Equity,1812,1818,1873,1881,1864,1035,-,1022,-,-,-,634.52,634.52
32,Total Debt,-,-,-,-,-,90.67,91.58,91.58,-,-,95.17,27.93,27.93
33,Net Cash (Debt),721.18,763.96,819.5,867.32,902.85,-20.37,1.51,1.51,-,-,-23.58,301.59,301.59
34,Net Cash Growth,-20.12%,-,54062.45%,57222.91%,-,-,-,-99.50%,-,-,-,-,-
35,Net Cash Per Share,3.90,3.71,3.75,4.07,5.76,-0.13,0.01,0.01,-,-,-0.15,1.92,1.92
36,Filing Date Shares Outstanding,206.48,206.48,207.44,208,208,156,154.91,156,151.58,157.54,157.54,156,156
37,Total Common Shares Outstanding,206.48,206.48,207.44,208,208,156,154.91,156,151.58,157.54,157.54,156,156
38,Working Capital,1060,1074,1103,1091,1086,157.96,-,107.53,-,-,-,331.83,331.83
39,Book Value Per Share,8.43,8.41,8.52,8.46,8.38,5.26,4.96,4.96,-,-,4.36,3.51,3.51
40,Tangible Book Value,1670,1666,1695,1687,1674,749.84,702.69,702.69,-,-,617.83,527.5,527.5
41,Tangible Book Value Per Share,8.09,8.07,8.17,8.11,8.05,4.81,4.50,4.50,-,-,3.96,3.38,3.38
42,Buildings,-,254.23,-,197.17,-,196.56,-,196.56,-,-,-,55.15,55.15
43,Machinery,-,568.76,-,476.86,-,470.43,-,468.44,-,-,-,108.58,108.58
44,Construction In Progress,-,14.26,-,147.81,-,122.4,-,100.85,-,-,-,81.63,81.63
