,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,420.81,226.24,197.93,73.67,133.22,54.6,207.51,26.75,14.99,15.92,Upgrade
1,Cash & Short-Term Investments,420.81,226.24,197.93,73.67,133.22,54.6,207.51,26.75,14.99,15.92,Upgrade
2,Cash Growth,112.60%,207.12%,48.58%,34.92%,-35.80%,104.12%,1284.29%,67.99%,-82.37%,-29.92%,Upgrade
3,Accounts Receivable,160.24,223.12,199.82,273.47,401.58,380.44,471.99,394.87,376.79,383.89,Upgrade
4,Other Receivables,1.61,124.63,-,180.91,-,154.83,-,1948,-,79.49,Upgrade
5,Receivables,161.85,347.74,199.82,454.39,401.58,535.27,471.99,2343,376.79,463.38,Upgrade
6,Inventory,68.84,117.47,75.55,139.02,119.56,253.66,245.21,337.44,299.79,260.97,Upgrade
7,Prepaid Expenses,122.93,-,154.5,-,199.65,-,326.55,-,102.53,-,Upgrade
8,Other Current Assets,60.2,82.66,54.05,56.14,66.67,26.48,26.19,2.12,91.91,47.95,Upgrade
9,Total Current Assets,834.62,774.11,681.85,723.21,920.68,870,1277,2710,886.01,788.21,Upgrade
10,"Property, Plant & Equipment",619.9,654.4,686.36,930.15,1074,1163,1259,1257,1282,1300,Upgrade
11,Long-Term Deferred Tax Assets,-,-,2.25,2.33,2.42,2.54,-,-,-,-,Upgrade
12,Other Long-Term Assets,-,3,27.38,28.32,98.78,107.72,107.68,44.89,65.44,71.68,Upgrade
13,Total Assets,1455,1432,1398,1684,2096,2143,2644,4012,2234,2160,Upgrade
14,Accounts Payable,42.88,65.9,33.15,53.8,114.42,109.08,137.99,147.01,225.1,76.71,Upgrade
15,Accrued Expenses,-,79.73,-,85.25,-,106.63,-,144.75,-,81.38,Upgrade
16,Short-Term Debt,-,-,-,23.63,44.07,18.82,-,16.02,23.28,38.15,Upgrade
17,Current Portion of Long-Term Debt,223.14,145.58,116.83,138.87,255.74,237.61,451.97,1731,728.27,873.05,Upgrade
18,Current Portion of Leases,2.28,1.6,2.52,5.14,6.21,9.58,10.75,11.6,11.82,13.86,Upgrade
19,Current Income Taxes Payable,301.06,88.43,66.23,76.9,68.82,76.39,72.93,404.44,71.76,74.99,Upgrade
20,Current Unearned Revenue,112.47,20.85,139.12,27.84,223.32,43.06,428.52,36.45,273.44,29.99,Upgrade
21,Other Current Liabilities,-,27.39,-,62.19,-,87.15,-,201.34,-,91.66,Upgrade
22,Total Current Liabilities,681.83,429.47,357.84,473.63,712.58,688.3,1102,2693,1334,1280,Upgrade
23,Long-Term Debt,49.25,65.03,100.53,231.48,222.04,230.26,81.33,87.67,789.27,622.71,Upgrade
24,Long-Term Leases,2.2,1.24,1.34,0.83,2.97,3.86,0.14,4.24,8.83,14.22,Upgrade
25,Other Long-Term Liabilities,-,214.75,252.29,262.03,297.23,307.22,307.12,-,-,-,Upgrade
26,Total Liabilities,733.28,710.48,712.01,967.97,1235,1230,1491,2785,2132,1917,Upgrade
27,Common Stock,120,120,120,120,120,120,120,120,120,120,Upgrade
28,Additional Paid-In Capital,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,Upgrade
29,Retained Earnings,-325.19,-312.42,-359.09,-341.1,-255.62,-239.16,-5,99.12,-986.45,-821.99,Upgrade
30,Comprehensive Income & Other,-74.85,-87.82,-76.36,-64.16,-4.21,31.41,37.41,6.44,-32.96,-56.06,Upgrade
31,Total Common Equity,721.24,721.04,685.83,716.03,861.46,913.53,1154,1227,101.87,243.24,Upgrade
32,Shareholders' Equity,721.24,721.04,685.83,716.03,861.46,913.53,1154,1227,101.87,243.24,Upgrade
33,Total Liabilities & Equity,1455,1432,1398,1684,2096,2143,2644,4012,2234,2160,Upgrade
34,Total Debt,276.86,213.44,221.22,399.96,531.03,500.12,544.19,1851,1561,1562,Upgrade
35,Net Cash (Debt),143.95,12.8,-23.29,-326.29,-397.82,-445.52,-336.68,-1824,-1546,-1546,Upgrade
36,Net Cash Per Share,0.12,-,-0.02,-,-0.33,-0.37,-0.28,-1.52,-1.29,-1.29,Upgrade
37,Filing Date Shares Outstanding,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,Upgrade
38,Total Common Shares Outstanding,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,Upgrade
39,Working Capital,152.79,344.65,324,249.58,208.1,181.7,175.29,16.65,-447.66,-491.59,Upgrade
40,Book Value Per Share,0.60,0.60,0.57,0.60,0.72,0.76,0.96,1.02,0.08,0.20,Upgrade
41,Tangible Book Value,721.24,721.04,685.83,716.03,861.46,913.53,1154,1227,101.87,243.24,Upgrade
42,Tangible Book Value Per Share,0.60,0.60,0.57,0.60,0.72,0.76,0.96,1.02,0.08,0.20,Upgrade
43,Buildings,-,335.35,-,354.78,-,376.62,-,394.8,-,421.89,Upgrade
44,Machinery,-,725.33,-,840.06,-,988.66,-,1027,-,1152,Upgrade
45,Construction In Progress,-,12.17,-,61.86,-,82.46,-,57.61,-,85.48,Upgrade
