,Fiscal Quarter,Current,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,162,197,216,313,280,310,307,431,395,486,760,256,861,1064,1495,59,59,59,59,59,59,Upgrade
1,Market Cap Growth,-36.52%,-36.52%,-29.82%,-27.50%,-29.10%,-36.30%,-59.59%,68.48%,-54.12%,-54.29%,-49.15%,331.62%,1352.99%,1694.87%,2421.37%,0%,0%,0%,0%,-54.78%,-38.52%,Upgrade
2,Enterprise Value,212,251,254,351,318,331,329,459,424,522,795,279,885,1205,1636,198,198,192,159,159,159,Upgrade
3,Last Close Price,0.06,0.07,0.08,0.12,0.10,0.12,0.11,0.16,0.16,0.19,0.30,0.10,0.34,0.42,0.59,0.16,0.16,0.16,0.16,0.16,0.16,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.58,-,-,-,-,-,-,Upgrade
5,PS Ratio,0.23,0.28,0.31,0.53,0.44,0.45,0.48,0.71,1.03,2.77,10.92,4.52,13.94,13.25,16.11,0.54,0.48,0.59,0.70,0.93,1.28,Upgrade
6,PB Ratio,-8.72,-8.72,-9.56,-30.33,-27.19,7042.35,23.89,33.53,48.34,59.49,39.91,13.44,-,22.11,-11.99,-0.48,-,-0.60,-0.63,-0.63,-,Upgrade
7,P/TBV Ratio,-,-,-,-,-,-,50.35,70.66,197.22,242.73,57.45,19.34,-,27.99,-,-,-,-,-,-,-,Upgrade
8,P/FCF Ratio,-,-13.20,-13.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-13.29,-13.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,0.30,0.36,0.37,0.59,0.50,0.49,0.51,0.76,1.11,2.97,11.43,4.93,14.31,15.01,17.63,1.79,1.59,1.90,1.89,2.49,3.45,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.19,-,71.63,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.97,-,-91.62,-,-,Upgrade
13,EV/FCF Ratio,-14.24,-16.85,-15.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,-3.16,-3.16,-3.16,-6.61,-6.61,1254.39,4.88,4.88,7.08,7.08,2.34,2.34,-,0.51,-1.15,-1.15,-,-1.56,-1.49,-1.49,-,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.69,-,-,Upgrade
16,Debt / FCF Ratio,-,-4.79,-4.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Asset Turnover,5.39,6.06,7.47,6.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
18,Inventory Turnover,84.77,51.21,44.82,42.17,70.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
19,Quick Ratio,0.85,0.85,0.85,0.80,0.80,1.06,-,0.94,-,1.08,-,1.08,-,1.41,-,0.36,-,0.46,-,0.30,-,Upgrade
20,Current Ratio,0.96,0.96,0.96,1.23,1.23,1.10,-,1.28,-,1.13,-,1.37,-,1.52,-,0.49,-,0.50,-,0.60,-,Upgrade
21,Return on Equity (ROE),-,-,-,-,-362.23%,-257.22%,-635.11%,-305.23%,-120.61%,-110.90%,-,-,-,-,-,-,-,-,-,-,Upgrade,
22,Return on Assets (ROA),-8.33%,-9.37%,-20.56%,-19.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
23,Return on Capital (ROIC),-21.45%,-19.63%,-34.80%,-35.60%,-18.07%,-23.69%,-53.42%,-16.84%,-10.48%,-11.89%,-,-,-12.68%,-107.98%,-,-,-7.38%,16.13%,-,-,Upgrade,
24,Earnings Yield,-10.04%,-8.25%,-7.77%,-6.38%,-11.10%,-10.93%,-10.75%,-7.13%,-8.26%,-7.37%,-4.33%,40.93%,10.76%,9.36%,6.42%,-64.08%,-31.64%,-42.67%,-36.48%,-53.85%,-369.45%,Upgrade
25,FCF Yield,-9.22%,-7.58%,-7.57%,-5.68%,-3.17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
26,Buyback Yield / Dilution,-2.63%,-,-,-4.46%,-6.35%,-6.35%,-6.35%,-2.18%,-,-17.65%,-385.33%,-564.27%,-566.67%,-466.67%,-37.36%,-0.00%,-,-,-,-6.20%,-6.41%,Upgrade
27,Total Shareholder Return,-2.63%,-,-,-4.46%,-6.35%,-6.35%,-6.35%,-2.18%,-,-17.65%,-385.33%,-564.27%,-566.67%,-466.67%,-37.36%,-0.00%,-,-,-,-6.20%,-6.41%,Upgrade
