,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,388,299,244,214,240,215,243,256,316,471,396,Upgrade
1,Market Cap Growth,40.00%,40.00%,1.63%,-0.73%,-1.03%,-15.69%,-23.02%,-45.74%,-20.25%,-6.93%,-54.20%,Upgrade
2,Enterprise Value,457,349,297,288,274,215,121,51,39,141,20,Upgrade
3,Last Close Price,0.13,0.10,0.08,0.07,0.10,0.09,0.10,0.10,0.13,0.19,0.16,Upgrade
4,PS Ratio,10.72,8.28,5.57,4.49,2.47,2.66,16.17,3.91,1.23,2.09,1.57,Upgrade
5,PB Ratio,0.56,0.43,0.32,0.27,0.30,0.26,0.28,0.25,0.30,0.44,0.37,Upgrade
6,EV/Sales Ratio,12.63,9.64,6.77,6.04,2.81,2.66,8.07,0.78,0.15,0.63,0.08,Upgrade
7,EV/EBITDA Ratio,-,-,-59.23,-,-,-28.18,-,-,23.22,-,-,Upgrade
8,EV/EBIT Ratio,-,-,-40.01,-,-,-21.47,-,-,66.18,-,-,Upgrade
9,Debt / Equity Ratio,0.26,0.26,0.26,0.26,0.26,0.29,0.28,0.28,0.28,0.25,0.25,Upgrade
10,Earnings Yield,-22.80%,-29.55%,-20.71%,-23.98%,-18.07%,-69.01%,-67.03%,-29.93%,-19.08%,-36.94%,-64.46%,Upgrade
11,FCF Yield,-,-2.85%,-16.27%,-16.03%,-24.70%,-23.23%,-34.33%,-29.13%,-14.47%,-6.72%,Upgrade,
12,Buyback Yield / Dilution,-17.50%,-13.43%,-21.88%,-7.52%,-,-,-,-,-,-,-,Upgrade
13,Total Shareholder Return,-17.50%,-13.43%,-21.88%,-7.52%,-,-,-,-,-,-,-,Upgrade
