,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6538,4219,3644,3709,4291,4291,4237,4397,4191,4160,4725,5340,-,-,-,-,-,-,-,-
1,Market Cap Growth,-1.66%,-1.66%,-14.00%,-15.64%,2.38%,3.15%,-10.33%,-17.67%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5904,3220,2664,2482,3064,2612,2662,2786,2580,2510,3014,5185,-,-,-,-,-,-,-,-
3,Last Close Price,52.57,33.86,29.03,28.37,32.82,32.82,32.41,32.95,31.41,31.17,35.41,39.38,-,-,-,-,-,-,-,-
4,PE Ratio,27.68,17.87,16.33,21.39,25.53,27.39,28.71,29.10,25.64,28.02,28.70,27.27,-,-,-,-,-,-,-,-
5,PS Ratio,3.71,2.40,2.24,2.59,3.20,3.66,4.15,4.65,4.37,4.37,4.61,4.66,-,-,-,-,-,-,-,-
6,PB Ratio,2.13,1.35,1.17,1.18,1.37,1.40,1.41,1.45,1.41,1.42,1.64,1.82,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.42,1.42,1.23,1.24,1.44,1.48,1.49,1.51,1.46,1.46,1.69,1.88,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-48.63,-,-,-,-,-,302.26,-85.47,-,164.77,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,21.30,21.30,41.39,33.66,27.34,22.75,21.77,19.93,19.78,17.25,16.59,21.93,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.35,1.83,1.63,1.74,2.28,2.23,2.61,2.94,2.69,2.64,2.94,4.52,-,-,-,-,-,-,-,-
