,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,361.47,455.89,349.75,304,362.39,238.29,325.38,472.41,347.47,878.57,562.1,82.17,-,75.62,-,45.5,45.5,40.59,40.59
1,Short-Term Investments,-,243.74,-,203.78,-,382.6,-,204.04,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,381.24,401.68,730.23,838.98,961.63,1154,1319,1209,1324,821.08,1182,149.91,-,106.64,-,200.86,200.86,175.93,175.93
3,Cash & Short-Term Investments,742.71,1101,1080,1347,1324,1775,1644,1885,1671,1700,1744,232.08,-,182.26,246.36,246.36,246.36,216.53,216.53
4,Cash Growth,-43.90%,-37.95%,-34.32%,-28.57%,-20.77%,4.42%,-5.71%,712.41%,-,832.56%,607.89%,-5.79%,-,-15.83%,13.78%,-,-,-,-
5,Accounts Receivable,533.71,561.83,398.03,406.81,353.05,263.37,210.96,227.69,197.95,174.32,182.87,209.61,-,265.27,-,227.24,227.24,163.09,163.09
6,Other Receivables,9.95,16.88,10.21,28.69,13.35,10.51,5.23,8.67,12.44,9.09,6.6,16.47,-,13.31,-,10.54,10.54,4.21,4.21
7,Receivables,543.65,578.71,408.24,435.5,366.4,273.88,216.19,236.36,210.38,183.41,189.47,226.08,-,278.59,-,237.78,237.78,167.31,167.31
8,Inventory,391.86,399.82,331.92,295.27,304.17,269.07,232.29,235.04,235.83,244.6,245.86,250.34,-,233.36,-,197.75,197.75,163.41,163.41
9,Prepaid Expenses,-,-,-,3.81,-,-,-,0.67,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,390.06,34.69,256.87,6.36,424.97,16.73,276.67,9.25,214.87,207.6,226.05,14.31,-,11.31,-,7.6,7.6,4.81,4.81
11,Total Current Assets,2068,2115,2077,2088,2420,2334,2369,2367,2332,2335,2405,722.82,-,705.5,-,689.48,689.48,552.05,552.05
12,"Property, Plant & Equipment",1011,987.69,942.55,958.77,857.33,876.77,827.07,818.53,723.28,681.58,626.12,575.14,-,506.77,-,399.24,399.24,355.2,355.2
13,Long-Term Investments,404.57,413.49,405.39,429.06,83.88,82.9,42.74,40.58,34.01,32.85,31.59,31.39,-,25.02,-,21.92,21.92,22.67,22.67
14,Goodwill,15.68,15.68,15.68,15.68,15.68,15.68,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Other Intangible Assets,95.98,92.36,90.77,92.14,92.61,94.07,89.16,89.56,70.84,71.06,71.65,72.22,-,70.38,-,71.81,71.81,72.7,72.7
16,Long-Term Deferred Tax Assets,19.65,18.98,17.96,18.51,13.95,12.06,10.98,10.13,9.1,8.1,5.7,7.51,-,3.94,-,3.5,3.5,2.21,2.21
17,Long-Term Deferred Charges,24.09,23.27,15.85,17.93,11.23,11.44,9.52,10.79,7.79,8.68,10.21,11.49,-,9.3,-,10.55,10.55,11.78,11.78
18,Other Long-Term Assets,110.68,90.31,93.31,76.12,93.69,53.17,42.36,46.29,81.95,70.35,68.12,46.46,-,39.74,-,36,36,28.01,28.01
19,Total Assets,3750,3756,3659,3696,3588,3481,3391,3383,3259,3208,3219,1467,-,1361,-,1232,1232,1045,1045
20,Accounts Payable,273.45,293.77,205.74,228.28,253.85,202.35,144.09,163.12,111.14,109.97,128.91,160.83,-,178.57,-,170.34,167.23,106.46,106.46
21,Accrued Expenses,63.15,81.87,47.08,76.96,52.67,63.01,36.58,62.13,40.1,47.24,31.92,52.88,-,36.17,-,46.19,46.19,34.85,34.85
22,Short-Term Debt,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Current Portion of Long-Term Debt,14.39,5.24,9.02,5.18,8.78,5.92,6.91,3.92,-,2.04,-,-,-,-,-,-,-,-,-
24,Current Portion of Leases,-,8.43,-,3.75,-,3.55,-,3.02,3.68,1.9,1.86,1.84,-,1.88,-,-,-,-,-
25,Current Income Taxes Payable,25.1,6.91,21.57,20.05,20.2,5.55,8.13,0.65,9.53,5.18,7.23,7.16,-,7.93,-,7.43,7.43,6.99,6.99
26,Current Unearned Revenue,79.22,78.01,65.65,65.57,58.07,61.95,44.98,47.37,49.29,55.1,43.54,50.94,-,43.47,-,39.31,39.31,35.7,35.7
27,Other Current Liabilities,31.34,22.34,45.2,33.61,17.3,15.18,12.35,4.93,12.51,9.64,12.22,5.36,-,15.28,-,2.64,5.76,7.81,7.81
28,Total Current Liabilities,486.65,496.57,394.26,435.4,412.87,359.52,253.04,285.13,226.24,231.06,225.68,279.02,-,283.31,-,265.9,265.9,191.82,191.82
29,Long-Term Debt,39.77,37.99,38.55,41.32,40.83,43.01,40.17,41.64,35.52,24.75,8.07,2.22,-,2.42,-,1.93,1.93,-,-
30,Long-Term Leases,8.48,8.45,5.29,5.87,2.83,2.87,3.04,3.32,3.59,3.84,4.34,4.81,-,5.74,-,-,-,-,-
31,Long-Term Unearned Revenue,28.35,29.23,30.08,30.93,28.4,29.2,29.9,30.34,30.75,31.14,16.47,16.86,-,2.4,-,2.2,2.2,-,-
32,Long-Term Deferred Tax Liabilities,65.05,63.12,55.24,53.77,43.27,47.55,42.99,40.43,31.23,27.68,27.88,27.33,-,19.06,-,15.95,15.95,9.61,9.61
33,Total Liabilities,628.3,635.36,523.42,567.28,528.19,482.15,369.14,400.85,327.33,318.47,282.45,330.24,-,312.93,-,285.98,285.98,201.42,201.42
34,Common Stock,124.8,124.8,124.8,124.8,124.8,124.8,124.8,124.8,124.8,124.8,124.8,93.6,-,93.6,-,93.6,93.6,93.6,93.6
35,Additional Paid-In Capital,2321,2317,2322,2316,2309,2298,2287,2280,2280,2280,2280,555.42,-,555.42,-,555.42,555.42,553.29,553.29
36,Retained Earnings,646.18,645.04,680.78,643.05,584.36,533.62,594.77,562.35,515.09,473.39,518.53,473.77,-,383.64,-,281.98,281.98,184.45,184.45
37,Treasury Stock,-11.4,-4.8,-36.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,-3.86,-2.81,-2.96,-0.68,-1.16,2.81,-3.45,-3.95,-5.72,-5.88,-6.01,-5.02,-,-2.3,-,0.79,0.79,2.03,2.03
39,Total Common Equity,3076,3079,3088,3083,3017,2959,3003,2963,2914,2872,2917,1118,-,1030,931.78,931.78,931.78,833.37,833.37
40,Minority Interest,45.77,42.18,47.11,45.66,42.9,38.96,18.93,18.56,17.58,17.05,18.86,19.02,-,17.39,-,14.74,14.74,9.84,9.84
41,Shareholders' Equity,3122,3121,3135,3129,3060,2998,3022,2982,2932,2889,2936,1137,-,1048,946.52,946.52,946.52,843.21,843.21
42,Total Liabilities & Equity,3750,3756,3659,3696,3588,3481,3391,3383,3259,3208,3219,1467,-,1361,-,1232,1232,1045,1045
43,Total Debt,62.64,60.11,52.86,58.12,54.43,57.35,50.12,51.89,42.78,32.52,14.27,8.87,-,10.04,1.93,1.93,1.93,-,-
44,Net Cash (Debt),680.07,1041,1027,1289,1270,1717,1594,1834,1628,1667,1730,223.21,-,172.21,244.43,244.43,244.43,216.53,216.53
45,Net Cash Growth,-46.43%,-39.37%,-35.57%,-29.72%,-22.03%,3.02%,-7.83%,721.44%,-,868.06%,607.62%,-8.68%,-,-20.47%,12.89%,-,-,-,-
46,Net Cash Per Share,5.53,8.34,8.23,10.33,10.17,13.76,12.77,14.69,13.05,13.36,13.86,2.38,-,1.84,2.61,2.61,2.61,2.31,2.31
