,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,525,476,539,511,665,2415,2534,-,-,-
1,Market Cap Growth,-6.85%,-6.85%,-18.95%,-78.84%,-73.76%,-,-,-,-,-
2,Enterprise Value,168,95,151,-97,57,1774,2398,-,-,-
3,Last Close Price,0.75,0.68,0.71,0.62,0.80,2.89,3.03,-,-,-
4,PE Ratio,16.05,14.55,-,8.52,10.87,25.13,24.61,-,-,-
5,PS Ratio,0.50,0.45,0.52,0.55,0.74,2.72,2.63,-,-,-
6,PB Ratio,0.68,0.58,0.64,0.58,0.78,2.77,2.94,-,-,-
7,P/TBV Ratio,0.67,0.67,0.75,0.66,0.89,3.18,3.37,-,-,-
8,P/FCF Ratio,-,-42.93,-,-3.21,-,-127.24,-,-,-,-
9,P/OCF Ratio,-,-178.48,-,-3.33,-,-200.22,-,-,-,-
10,EV/Sales Ratio,0.16,0.09,0.15,-,0.06,2.00,2.49,-,-,-
11,EV/EBITDA Ratio,2.20,1.31,-,-,0.54,12.14,15.13,-,-,-
12,EV/EBIT Ratio,2.60,1.51,-,-,0.59,12.81,15.74,-,-,-
13,EV/FCF Ratio,-15.11,-8.55,-,-,-,-93.47,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.07,2.16,-
15,Debt / FCF Ratio,-,-1.18,-,-0.06,-,-0.66,-,0.08,6.77,-
16,Return on Capital Employed (ROCE),7.44%,7.44%,-,10.81%,11.08%,15.47%,17.06%,95.28%,31.59%,-
17,Earnings Yield,6.23%,6.87%,7.87%,11.74%,9.20%,3.98%,4.06%,-,-,-
18,FCF Yield,-2.11%,-2.33%,-2.15%,-31.11%,-24.74%,-0.79%,2.93%,-,-,-
19,Buyback Yield / Dilution,-,-,-,-1.88%,-33.33%,-30.87%,-,-,-,
20,Total Shareholder Return,7.73%,-,-,-,-1.88%,-33.33%,-30.87%,-,-,-
