,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,487.27,489.08,444.94,420.9,372.02,386.21,397.36,357.93,217.66
1,Revenue Growth (YoY),9.51%,16.20%,19.60%,8.98%,-6.38%,7.90%,82.56%,-,-
2,Cost of Revenue,381.73,380.35,332.97,335.56,266.29,294.78,284.94,262.52,136.52
3,Gross Profit,105.55,108.73,111.97,85.34,105.72,91.44,112.42,95.41,81.14
4,"Selling, General & Admin",28.21,37.19,34.38,36.72,28.93,42.41,34.63,36.48,14.05
5,Other Operating Expenses,11.9,78.47,1.87,34.76,4.61,2.98,-0.3,-1.56,2.11
6,Operating Expenses,40.11,115.65,36.25,71.48,33.55,45.39,34.33,34.93,16.15
7,Operating Income,65.44,-6.93,75.72,13.86,72.18,46.05,78.09,60.48,64.99
8,Interest Expense,-1.08,-2.3,-0.4,-0.39,-0.69,-0.42,-7.98,-16.46,-4.66
9,Interest & Investment Income,1.97,2.18,2.17,2.94,2.73,1.53,4.57,15.56,4.05
10,Earnings From Equity Investments,0.67,0.81,0.59,0.57,0.45,0.09,0.16,-0.06,-
11,Currency Exchange Gain (Loss),-0.01,2.91,-3.22,-4.48,-5.12,-2.31,-,-,-
12,EBT Excluding Unusual Items,67,-3.33,74.85,12.5,69.55,44.93,74.84,59.53,64.37
13,Gain (Loss) on Sale of Investments,-,0.65,-,1,-,0.38,-,-,-
14,Gain (Loss) on Sale of Assets,2.22,-0.02,-,-0.04,-,0.01,-,0,-
15,Pretax Income,69.21,-2.7,74.85,13.46,69.55,45.32,74.84,59.53,64.37
16,Income Tax Expense,15.92,4.19,15.39,4.45,12.85,11.55,20.05,16.13,15.99
17,Earnings From Continuing Operations,53.29,-6.89,59.46,9.01,56.69,33.77,54.79,43.4,48.38
18,Minority Interest in Earnings,-10.48,-5.48,-8.6,-4.35,-7.24,-1.17,-3.5,-1.45,-1.95
19,Net Income,42.81,-12.37,50.86,4.67,49.46,32.6,51.29,41.95,46.43
20,Net Income to Common,42.81,-12.37,50.86,4.67,49.46,32.6,51.29,41.95,46.43
21,Net Income Growth,-15.82%,-,2.83%,-85.69%,-3.58%,-22.30%,10.46%,-,-
22,Shares Outstanding (Basic),700,700,700,700,700,687,525,525,525
23,Shares Outstanding (Diluted),700,700,700,700,700,687,525,525,525
24,Shares Change (YoY),-,-,-,1.88%,33.33%,30.87%,-,-,-
25,EPS (Basic),0.06,-0.02,0.07,0.01,0.07,0.05,0.10,0.08,0.09
26,EPS (Diluted),0.06,-0.02,0.07,0.01,0.07,0.05,0.10,0.08,0.09
27,EPS Growth,-15.82%,-,2.84%,-85.95%,-27.68%,-40.63%,10.46%,-,-
28,Free Cash Flow,2.48,-12.8,2.28,-149.42,3.9,-20.11,80.6,31.3,21.91
29,Free Cash Flow Per Share,0.00,-0.02,0.00,-0.21,0.01,-0.03,0.15,0.06,0.04
30,Operating Margin,13.43%,-1.42%,17.02%,3.29%,19.40%,11.92%,19.65%,16.90%,29.86%
31,Profit Margin,8.79%,-2.53%,11.43%,1.11%,13.29%,8.44%,12.91%,11.72%,21.33%
32,Free Cash Flow Margin,0.51%,-2.62%,0.51%,-35.50%,1.05%,-5.21%,20.28%,8.75%,10.07%
33,EBITDA,70.38,-2.79,80.04,17.89,76.26,48.5,80.65,62.39,67.01
34,D&A For EBITDA,4.94,4.14,4.32,4.03,4.09,2.45,2.56,1.91,2.03
35,EBIT,65.44,-6.93,75.72,13.86,72.18,46.05,78.09,60.48,64.99
