,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,337.06,355.68,372.73,345.91,513.43,540.83,129.84,134.76,-
1,Short-Term Investments,50.51,52.06,30.97,34.03,8.02,3.57,3.87,1.44,-
2,Trading Asset Securities,8,-,11.18,43.09,49.3,21.02,11.03,-,-
3,Cash & Short-Term Investments,395.57,407.74,414.88,423.03,570.75,565.42,144.75,136.2,-
4,Cash Growth,-4.66%,-3.61%,-27.31%,-25.18%,294.31%,315.14%,-,-,-
5,Accounts Receivable,623.14,544.21,538.64,441.24,381.54,306.99,249.95,346.76,-
6,Other Receivables,104.48,94.02,128.84,123.37,69.21,88.02,33.45,59.99,-
7,Receivables,727.62,638.23,667.49,564.61,450.75,395.01,283.4,715.57,-
8,Inventory,19.85,13.91,1.34,1.01,1.08,1.08,0.15,-,-
9,Restricted Cash,3.6,3.79,14.31,10.85,0.92,-,-,-,-
10,Other Current Assets,8.12,5.51,1.76,3.54,1.2,22.2,7.22,2.46,-
11,Total Current Assets,1155,1069,1100,1003,1025,983.7,435.52,854.23,-
12,"Property, Plant & Equipment",36.75,13.91,17.45,16.84,19.19,17.23,17.14,18.15,-
13,Long-Term Investments,4.65,3.2,2.54,1.95,1.39,0.93,0.35,0.2,-
14,Goodwill,-,28.32,-,28.32,-,28.32,-,13.82,-
15,Other Intangible Assets,52.87,26.47,51.24,24.6,54.42,27.8,20.48,7.04,-
16,Long-Term Deferred Tax Assets,44.56,39.35,22.92,21.65,14.04,9.99,7.3,6.54,-
17,Other Long-Term Assets,66.93,71.95,71.24,73.06,65.93,66.95,1.32,1.32,-
18,Total Assets,1361,1252,1265,1169,1180,1135,482.11,901.31,-
19,Accounts Payable,93.03,84.39,70.25,74.49,58.15,66.74,52.12,51.49,-
20,Accrued Expenses,53.27,-,-,-,-,-,49.84,77.16,-
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,125.87,-
22,Current Portion of Leases,8.4,7.18,7.7,7.13,6.85,5,5.85,5.88,-
23,Current Income Taxes Payable,14.04,7.96,5.9,7.46,14.3,21.17,20.28,38.55,-
24,Current Unearned Revenue,191.05,146.19,160.96,104.71,149.26,138.02,117.6,108.32,-
25,Other Current Liabilities,214.6,229.58,191.7,199.52,186.99,176.55,90.99,96.86,-
26,Total Current Liabilities,574.39,475.29,436.51,393.32,415.54,407.49,336.68,504.11,-
27,Long-Term Debt,-,-,-,-,-,-,-,221.12,-
28,Long-Term Leases,3.8,2.25,1.64,2.39,3.79,4.78,3.54,7.31,-
29,Long-Term Unearned Revenue,8.97,4.15,4.33,5.34,5.86,8.78,-,-,-
30,Long-Term Deferred Tax Liabilities,6.81,6.7,5.96,6.31,6.67,7.03,1.68,1.76,-
31,Other Long-Term Liabilities,-,0.17,4.79,5.75,4.83,5.45,-,-,-
32,Total Liabilities,593.96,488.55,453.23,413.11,436.7,433.53,341.89,734.29,-
33,Common Stock,5.83,5.83,5.83,5.83,5.83,5.83,-,-,-
34,Additional Paid-In Capital,428.27,453.32,493.22,493.22,493.22,514.22,-,-,-
35,Retained Earnings,246.06,217.45,229.83,178.97,174.31,124.85,97.25,140.96,-
36,Comprehensive Income & Other,35.66,34.9,36.77,33.35,28.58,22.99,20.63,5,-
37,Total Common Equity,715.83,711.5,765.64,711.36,701.93,667.89,117.88,145.96,-
38,Minority Interest,50.73,52.33,46.29,45,41.04,33.51,22.33,21.05,-
39,Shareholders' Equity,766.55,763.83,811.93,756.37,742.97,701.4,140.22,167.02,-
40,Total Liabilities & Equity,1361,1252,1265,1169,1180,1135,482.11,901.31,-
41,Total Debt,12.2,9.43,9.34,9.52,10.64,9.79,9.38,360.17,-
42,Net Cash (Debt),383.37,398.32,405.55,413.51,560.12,555.63,135.37,-223.97,-
43,Net Cash Growth,-5.47%,-3.68%,-27.60%,-25.58%,313.78%,-,-,-,-
44,Net Cash Per Share,0.55,0.57,0.58,0.59,0.80,0.81,0.26,-0.43,-
45,Filing Date Shares Outstanding,700,700,700,700,700,700,-,-,525
46,Total Common Shares Outstanding,700,700,700,700,700,700,-,-,525
47,Working Capital,580.37,593.9,663.26,609.73,609.17,576.22,98.84,350.12,-
48,Book Value Per Share,1.02,1.02,1.09,1.02,1.00,0.95,-,-,-
49,Tangible Book Value,662.96,656.71,714.4,658.45,647.51,611.77,97.41,125.1,-
50,Tangible Book Value Per Share,0.95,0.94,1.02,0.94,0.93,0.87,-,-,-
51,Machinery,-,19.32,-,16.64,-,13.35,-,10.27,-
52,Leasehold Improvements,-,6.85,-,5.29,-,1.45,-,1.15,-
