,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,34807,24712,21673,19232,17734,16423,17870,32618,-,-,-
1,Market Cap Growth,28.49%,28.49%,22.21%,17.11%,-0.76%,-49.65%,-,-,-,-,-
2,Enterprise Value,23940,15276,11209,9656,7447,7377,9754,44716,-,-,-
3,Last Close Price,160.50,114.20,100.50,89.75,83.00,77.50,85.40,157.00,-,-,-
4,PE Ratio,20.38,14.87,16.13,23.78,47.84,-65.59,-,-12.92,-,-,-
5,Forward PE,17.76,15.25,16.32,18.49,46.15,-,-,-,-,-,-
6,PS Ratio,3.96,2.92,2.51,2.22,1.90,1.62,1.89,3.80,-,-,-
7,PB Ratio,3.10,2.28,2.17,2.07,2.00,1.86,2.04,3.60,-,-,-
8,P/TBV Ratio,2.28,2.28,2.17,2.07,2.00,1.86,2.04,3.60,-,-,-
9,P/FCF Ratio,-,-,17.72,95.13,-,8.00,26.44,-,-,-,-
10,P/OCF Ratio,-,-,17.64,92.34,-,7.88,24.52,-,-,-,-
11,EV/Sales Ratio,2.83,1.81,1.30,1.11,0.80,0.73,1.03,5.21,-,-,-
12,EV/EBITDA Ratio,19.59,12.43,12.36,25.14,141.03,-,-,-,-,-,-
13,EV/EBIT Ratio,19.88,12.61,12.61,26.38,255.83,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,9.16,47.76,-,3.59,14.43,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.59,-2.10,-
16,Debt / FCF Ratio,-,-,0.01,0.03,-,0.00,0.02,-,-,-,-
17,Return on Capital Employed (ROCE),11.08%,11.08%,8.81%,3.90%,0.33%,-,-,-,-,-,-
18,Earnings Yield,4.77%,6.72%,6.20%,4.21%,2.09%,-1.52%,9.72%,-7.74%,-,-,-
19,FCF Yield,-,5.64%,1.05%,4.10%,12.51%,3.78%,-3.57%,-,-,-,
20,Buyback Yield / Dilution,0.36%,-0.25%,0.97%,-0.42%,-2.30%,-54.16%,-70.31%,-11.52%,-0.42%,-,-
21,Total Shareholder Return,0.36%,-0.25%,0.97%,-0.42%,-2.30%,-54.16%,-70.31%,-11.52%,-0.42%,-,-
