,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,479,416,1148,2245,2210,2234,-,-
1,Market Cap Growth,-81.47%,-81.47%,-48.03%,0.47%,-,-,-,-
2,Enterprise Value,131,41,807,1820,1731,2027,-,-
3,Last Close Price,2.76,2.39,6.60,12.90,12.70,12.84,-,-
4,PE Ratio,61.16,52.96,-,-,-,-,-,-
5,Forward PE,-,80.14,30.71,70.47,63.58,-,-,-
6,PS Ratio,0.95,0.82,2.33,5.15,5.10,4.94,-,-
7,PB Ratio,0.92,0.80,2.22,4.38,4.15,4.10,-,-
8,P/TBV Ratio,1.03,1.03,2.91,5.71,4.17,4.12,-,-
9,P/FCF Ratio,44.94,-,82.17,-,-145.46,-,-,-
10,P/OCF Ratio,36.93,-,77.12,-,-149.60,-,-,-
11,EV/Sales Ratio,0.26,0.08,1.64,4.17,4.00,4.49,-,-
12,EV/EBITDA Ratio,29.05,-17.51,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-5.99,-,-,-,-,-,-
14,EV/FCF Ratio,12.31,-,57.75,-,-113.98,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.02,0.08,-
16,Debt / FCF Ratio,0.91,-,0.91,-,-0.75,-,0.54,-
17,Return on Capital Employed (ROCE),-,-1.29%,-,-,-,-,-,-
18,Earnings Yield,1.64%,1.89%,-0.83%,-0.28%,-0.38%,-0.11%,-,-
19,FCF Yield,2.23%,2.56%,1.22%,0.17%,-0.69%,0.31%,-,-
20,Buyback Yield / Dilution,0.06%,-,0.11%,-15.90%,-16.13%,-0.09%,-,-
21,Total Shareholder Return,0.06%,-,0.11%,-15.90%,-16.13%,-0.09%,-,-
