,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,110.19,298.08,239.75,341.67,362.91,152.55,-
1,Short-Term Investments,137.29,4.11,-,17.84,-,3.12,-
2,Trading Asset Securities,85.45,50.09,85.32,25.73,55.64,31.23,-
3,Cash & Short-Term Investments,332.94,352.27,325.07,385.25,418.55,186.89,-
4,Cash Growth,2.42%,-8.56%,-22.34%,106.13%,-,-,-
5,Accounts Receivable,117.65,94.33,101.57,91.62,112.58,66.6,-
6,Other Receivables,-,11.74,-,2.3,-,0.54,-
7,Receivables,117.65,106.07,101.57,93.92,112.58,67.14,-
8,Prepaid Expenses,0.03,0.21,0.03,0.36,0.04,2.67,-
9,Restricted Cash,0.2,0.67,-,-,-,-,-
10,Other Current Assets,29.47,17.47,34.98,19.24,7.73,29.94,-
11,Total Current Assets,480.28,476.68,461.63,498.77,538.89,286.65,-
12,"Property, Plant & Equipment",11.29,14.01,12.65,13.36,13.65,11.39,-
13,Long-Term Investments,3.56,-,-,-,-,-,-
14,Goodwill,99.54,99.54,96.22,-,-,-,-
15,Other Intangible Assets,12.47,12.81,14.35,2.46,2.68,2.97,-
16,Long-Term Deferred Tax Assets,1.41,1.4,1.31,1.09,0.92,0.71,-
17,Other Long-Term Assets,2.11,2.17,1.17,53.38,0.4,-,-
18,Total Assets,610.67,606.61,587.33,569.06,556.55,301.72,-
19,Accounts Payable,33.01,26.96,27.99,28.64,30.35,15.74,-
20,Accrued Expenses,-,29.89,-,21.91,-,15.75,-
21,Short-Term Debt,-,-,-,-,-,10.52,-
22,Current Portion of Leases,6.5,7.1,5.83,6.67,6.52,5.28,-
23,Current Income Taxes Payable,1.24,1.2,1.16,0.62,0.62,0.42,-
24,Current Unearned Revenue,47.37,45.84,36.37,29.6,22.74,22.72,-
25,Other Current Liabilities,32.94,19.68,37.11,6.63,27.42,7.11,-
26,Total Current Liabilities,121.04,130.67,108.46,94.07,87.65,77.54,-
27,Long-Term Leases,2.5,4.48,3.32,3.43,3.69,2.71,-
28,Long-Term Deferred Tax Liabilities,0.98,1.09,1.22,-,-,-,-
29,Total Liabilities,124.52,136.24,113,97.49,91.34,80.25,-
30,Common Stock,0.11,0.11,0.11,0.11,0.11,0.1,-
31,Additional Paid-In Capital,247.98,247.98,247.98,247.98,-,-,-
32,Retained Earnings,123.2,109.29,115.89,117.92,121.63,125.37,-
33,Comprehensive Income & Other,114.85,112.98,110.35,105.55,343.46,96,-
34,Shareholders' Equity,486.15,470.37,474.33,471.56,465.21,221.47,-
35,Total Liabilities & Equity,610.67,606.61,587.33,569.06,556.55,301.72,-
36,Total Debt,8.99,11.58,9.14,10.09,10.21,18.51,-
37,Net Cash (Debt),323.94,340.69,315.92,375.15,408.34,168.38,-
38,Net Cash Growth,2.54%,-9.19%,-22.63%,122.80%,-,-,-
39,Net Cash Per Share,1.86,1.96,1.82,2.15,2.72,1.12,-
40,Filing Date Shares Outstanding,174,174,174,174,174,150,150
41,Total Common Shares Outstanding,174,174,174,174,174,150,150
42,Working Capital,359.23,346,353.18,404.7,451.24,209.11,-
43,Book Value Per Share,2.79,2.70,2.73,2.71,2.67,1.48,-
44,Tangible Book Value,374.14,358.01,363.77,469.1,462.53,218.5,-
45,Tangible Book Value Per Share,2.15,2.06,2.09,2.70,2.66,1.46,-
46,Machinery,-,19.97,-,20.29,-,21.7,-
47,Leasehold Improvements,-,1.14,-,1.14,-,1.14,-
