,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,236.15,233.93,212.92,190.64,192.6,193.17,208.73
1,Revenue Growth (YoY),10.91%,22.71%,10.55%,-1.31%,-7.72%,-,-
2,Cost of Revenue,114.23,121.22,110.85,97.59,100.71,106.17,113.02
3,Gross Profit,121.92,112.71,102.07,93.05,91.89,87,95.71
4,"Selling, General & Admin",70.15,75.72,65.12,64.48,60.66,59.62,54.69
5,Research & Development,39.88,48.91,42.88,42.44,36.2,31.62,22.22
6,Operating Expenses,113.17,127.76,110.14,109.48,99,91.68,79.82
7,Operating Income,8.75,-15.05,-8.07,-16.43,-7.11,-4.68,15.89
8,Interest Expense,-0.25,-0.24,-0.26,-0.29,-0.33,-0.34,-0.3
9,Interest & Investment Income,-,9.13,-,5.71,-,3.03,-
10,Currency Exchange Gain (Loss),-,0.59,-,-1.21,-0.09,-0.02,-0.03
11,Other Non Operating Income (Expenses),5.7,-1.48,6.32,7.94,3.59,1.58,2.88
12,EBT Excluding Unusual Items,14.21,-7.06,-2.01,-4.29,-3.94,-0.44,18.44
13,Gain (Loss) on Sale of Investments,-,0.09,-,0.51,-,0.56,-
14,Gain (Loss) on Sale of Assets,-,-0.03,-,-0.06,-,0,-
15,Asset Writedown,-,-,-,-,-,-0.08,-
16,Other Unusual Items,-0.31,0.29,-0.31,0,-,-,-
17,Pretax Income,13.9,-6.71,-2.32,-3.84,-3.94,0.04,18.44
18,Income Tax Expense,-0.01,-0.11,-0.29,-0.13,-0.13,-1.59,2.26
19,Net Income,13.91,-6.6,-2.03,-3.7,-3.81,1.63,16.18
20,Net Income to Common,13.91,-6.6,-2.03,-3.7,-3.81,1.63,16.18
21,Shares Outstanding (Basic),174,174,174,174,150,150,150
22,Shares Outstanding (Diluted),174,174,174,174,150,150,150
23,Shares Change (YoY),-,-0.11%,15.90%,16.13%,0.09%,-,-
24,EPS (Basic),0.08,-0.04,-0.01,-0.02,-0.03,0.01,0.11
25,EPS (Diluted),0.08,-0.04,-0.01,-0.02,-0.03,0.01,0.11
26,Free Cash Flow,-11.93,21.85,-9.17,12.69,-26.13,32.07,2.32
27,Free Cash Flow Per Share,-0.07,0.13,-0.05,0.07,-0.17,0.21,0.02
28,Operating Margin,3.71%,-6.43%,-3.79%,-8.62%,-3.69%,-2.42%,7.61%
29,Profit Margin,5.89%,-2.82%,-0.95%,-1.94%,-1.98%,0.85%,7.75%
30,Free Cash Flow Margin,-5.05%,9.34%,-4.31%,6.66%,-13.57%,16.60%,1.11%
31,EBITDA,10.89,-13.04,-5.93,-15.75,-6.34,-3.78,16.8
32,D&A For EBITDA,2.14,2.01,2.14,0.68,0.77,0.9,0.91
33,EBIT,8.75,-15.05,-8.07,-16.43,-7.11,-4.68,15.89
