,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,70.86,90.43,52.42,54.59,57.94,49.06,45.01,42.16,53.03,71.61,91.34,51.23,106.76,37.43,50.68,50.68
1,Other Revenue,-,-1.27,1.27,-,3.79,-2.74,2.74,-,1.7,-0.93,0.93,-,1.88,-,0.56,0.56
2,Revenue,70.86,89.16,53.7,54.59,61.73,46.32,47.75,42.16,54.74,70.67,92.27,51.23,108.63,37.43,51.25,51.25
3,Revenue Growth (YoY),14.80%,92.50%,12.44%,29.49%,12.77%,-34.46%,-48.24%,-17.71%,-49.61%,88.82%,80.04%,-0.04%,-,-,-,-
4,Cost of Revenue,86.51,51.48,32.05,28.52,35.75,28.5,27.14,24.87,33.97,43.9,59.32,35.8,70.01,24.62,32.56,32.56
5,Gross Profit,-15.64,37.69,21.65,26.07,25.98,17.82,20.61,17.28,20.76,26.78,32.95,15.42,38.62,12.81,18.69,18.69
6,"Selling, General & Admin",-20.98,8.16,6.27,6.56,6.71,5.63,7.14,5.87,7.42,5.61,4.83,5.03,7.15,3.7,4.88,4.88
7,Research & Development,-14.14,5.54,5.1,3.51,4.56,6.4,3.97,1.55,2.53,3.93,6.42,3.47,5.17,4.93,2.56,2.56
8,Other Operating Expenses,1.31,-1.12,-0.25,0.06,0.48,-0.24,-1.23,-1.27,4,-1.89,-1.43,-0.79,-0.09,-0.06,0.47,0.47
9,Operating Expenses,-38.51,14.38,12.72,11.42,13.45,11.59,11.82,5.91,15.26,8.61,11.66,7.65,12.09,9.26,8.69,8.69
10,Operating Income,22.87,23.3,8.93,14.66,12.53,6.23,8.79,11.38,5.5,18.17,21.29,7.78,26.54,3.56,10,10
11,Interest Expense,-15.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Interest & Investment Income,-,5.7,5.64,4.3,10.06,3.35,0.76,1.31,2.58,0.29,0.25,0.23,0.02,0.02,0.02,0.02
13,Currency Exchange Gain (Loss),-,-0.67,0.67,-,1.05,-1.21,1.21,-,0.98,-0.14,0.14,-,-0.43,-,-0.19,-0.19
14,Other Non Operating Income (Expenses),-0.18,3.27,-2.4,2.25,-4.02,1.11,-0,2.68,-1.58,1.16,-0.08,0.3,-0.12,0.27,-0.04,-0.04
15,EBT Excluding Unusual Items,7.05,31.59,12.85,21.21,19.63,9.49,10.75,15.36,7.48,19.49,21.6,8.31,26.01,3.85,9.78,9.78
16,Gain (Loss) on Sale of Investments,-,-,-,-,-0.08,0.03,0.05,-,0.08,0.15,0.15,0.18,0.39,-,0.2,0.2
17,Gain (Loss) on Sale of Assets,-0.01,-,0.01,-,0,-,-,-,-,-,-,-0,0,-,-,-
18,Asset Writedown,0.12,-0.11,-0.01,-,0.02,-0.11,-,-,0.86,-0.9,0,-0,0.13,0.01,-,-
19,Other Unusual Items,-,-3.41,3.41,-,3.59,-0.04,0.04,-,5.81,-,-,-,8.73,-,0.37,0.37
20,Pretax Income,7.16,28.07,16.26,21.21,23.15,9.37,10.85,15.36,14.23,18.74,21.75,8.48,35.26,3.87,10.35,10.35
21,Income Tax Expense,0.15,3.44,1.75,2.6,2.69,0.44,1.13,2.05,0.74,2.2,2.3,0.75,4.54,-0.14,1.16,1.16
22,Net Income,7.01,24.63,14.51,18.61,20.46,8.94,9.72,13.32,13.48,16.54,19.45,7.74,30.73,4.01,9.2,9.2
23,Net Income to Common,7.01,24.63,14.51,18.61,20.46,8.94,9.72,13.32,13.48,16.54,19.45,7.74,30.73,4.01,9.2,9.2
24,Net Income Growth,-65.72%,175.70%,49.32%,39.75%,51.76%,-45.98%,-50.05%,72.10%,-56.12%,312.32%,111.51%,-15.85%,-,-,-,-
25,Shares Outstanding (Basic),80,82,85,81,82,81,81,83,67,61,64,60,60,62,61,61
26,Shares Outstanding (Diluted),80,82,85,81,82,81,81,83,67,61,64,60,60,62,61,61
27,Shares Change (YoY),-1.67%,0.66%,4.17%,-2.78%,22.59%,33.01%,26.90%,39.83%,10.39%,-1.67%,4.49%,-2.91%,-,-,-,-
28,EPS (Basic),0.09,0.30,0.17,0.23,0.25,0.11,0.12,0.16,0.20,0.27,0.30,0.13,0.51,0.06,0.15,0.15
29,EPS (Diluted),0.09,0.30,0.17,0.23,0.25,0.11,0.12,0.16,0.20,0.27,0.30,0.13,0.51,0.06,0.15,0.15
30,EPS Growth,-65.14%,173.90%,43.35%,43.75%,23.79%,-59.39%,-60.63%,23.08%,-60.25%,319.33%,102.42%,-13.33%,-,-,-,-
31,Free Cash Flow,-,26.6,-1.61,2.54,23.14,10.57,5.87,-8.64,-4.23,-1.8,11.54,-27.15,60.58,3.81,-7.84,-7.84
32,Free Cash Flow Per Share,-,0.32,-0.02,0.03,0.28,0.13,0.07,-0.10,-0.06,-0.03,0.18,-0.46,1.00,0.06,-0.13,-0.13
33,Dividend Per Share,-,-,-,-,0.300,-,-,-,0.300,-,-,-,-,-,-,-
34,Gross Margin,-22.08%,42.27%,40.31%,47.76%,42.09%,38.47%,43.16%,41.00%,37.93%,37.89%,35.71%,30.11%,35.55%,34.23%,36.47%,36.47%
35,Operating Margin,32.27%,26.14%,16.63%,26.85%,20.30%,13.46%,18.41%,26.99%,10.06%,25.71%,23.08%,15.18%,24.43%,9.50%,19.50%,19.50%
36,Profit Margin,9.90%,27.63%,27.02%,34.09%,33.15%,19.29%,20.34%,31.59%,24.63%,23.40%,21.08%,15.10%,28.29%,10.72%,17.94%,17.94%
37,Free Cash Flow Margin,-,29.84%,-3.01%,4.65%,37.48%,22.82%,12.30%,-20.48%,-7.73%,-2.55%,12.50%,-53.00%,55.76%,10.19%,-15.30%,-15.30%
38,EBITDA,24.73,25.17,11.04,16.52,14.39,8,10.64,13.14,7.27,19.83,23.03,9.43,28.19,5.19,11.63,11.63
39,EBITDA Margin,34.90%,28.23%,20.57%,30.26%,23.32%,17.27%,22.29%,31.18%,13.28%,28.06%,24.96%,18.42%,25.95%,13.86%,22.69%,22.69%
40,D&A For EBITDA,1.86,1.86,2.11,1.86,1.86,1.76,1.85,1.76,1.76,1.66,1.74,1.66,1.66,1.63,1.63,1.63
41,EBIT,22.87,23.3,8.93,14.66,12.53,6.23,8.79,11.38,5.5,18.17,21.29,7.78,26.54,3.56,10,10
42,EBIT Margin,32.27%,26.14%,16.63%,26.85%,20.30%,13.46%,18.41%,26.99%,10.06%,25.71%,23.08%,15.18%,24.43%,9.50%,19.50%,19.50%
43,Effective Tax Rate,2.08%,12.25%,10.77%,12.24%,11.61%,4.66%,10.45%,13.33%,5.24%,11.75%,10.59%,8.79%,12.87%,-,11.18%,11.18%
