,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,432.64,131.2,609.81,604.88,161.98,239.52,189.17,566.3,68.92,70.34,-,81.96,-,32.17,32.17
1,Trading Asset Securities,-,395,665,210,210,621.08,528.05,592,226.06,23.97,23.82,-,25.49,-,10.1,10.1
2,Cash & Short-Term Investments,827.64,827.64,796.2,819.81,814.88,783.06,767.57,781.17,792.36,92.89,94.16,107.45,107.45,42.27,42.27,42.27
3,Cash Growth,1.57%,5.69%,3.73%,4.95%,2.84%,742.99%,715.18%,627.01%,637.43%,119.75%,122.75%,154.19%,-,-,-,-
4,Accounts Receivable,-,87.83,84.8,87.75,90.77,103.06,102.29,115.16,129.53,122.02,117.77,-,82.15,-,75.16,75.16
5,Other Receivables,-,0.82,1.15,0.79,1.14,1.79,1.33,1.81,1.1,1.92,0.57,-,0.53,-,0.55,0.55
6,Receivables,-,88.65,85.95,88.53,91.91,104.84,103.63,116.97,130.62,123.94,118.33,-,82.68,-,75.7,75.7
7,Inventory,-,149.39,155.08,141.4,135.39,139.62,135.24,131.85,118.6,115.92,113.62,-,112.6,-,95.65,95.65
8,Prepaid Expenses,-,-,0.05,-,0.14,-,0.12,-,0.12,-,0.07,-,-,-,0.06,0.06
9,Other Current Assets,-,4.23,2.58,3.11,4.39,8.59,3.16,2.41,2.3,8.47,6.92,-,4.87,-,3.32,3.32
10,Total Current Assets,-,1070,1040,1053,1047,1036,1010,1032,1044,341.22,333.11,-,307.6,-,216.99,216.99
11,"Property, Plant & Equipment",-,92.32,89.4,81.14,75.81,65.26,64.01,61.53,62.14,58.6,57.28,-,54.16,-,51.28,51.28
12,Other Intangible Assets,-,15.33,15.48,15.63,15.79,15.75,15.9,16.05,16.2,15.58,15.71,-,15.35,-,15.22,15.22
13,Long-Term Deferred Tax Assets,-,3.98,2.63,2.51,2.26,4,4.11,3.72,3.76,3.68,3.46,-,2.96,-,2.84,2.84
14,Other Long-Term Assets,-,5.21,3.84,2.04,4.07,2.22,2.3,2.39,2.48,3.53,3.79,-,2.82,-,3.21,3.21
15,Total Assets,-,1187,1151,1154,1145,1123,1096,1116,1129,422.61,413.35,-,382.88,-,289.55,289.55
16,Accounts Payable,-,88.49,71.09,77.77,61.5,78.28,72.42,93.95,99.88,115.46,104.54,-,85.22,-,61.68,61.68
17,Accrued Expenses,-,4.05,14.06,3.82,16.79,3.81,11.08,3.04,20.94,3.27,10.14,-,24.84,-,14.71,14.71
18,Short-Term Debt,-,-,-,-,0.93,-,-,-,-,-,-,-,-,-,-,-
19,Current Income Taxes Payable,-,7.31,2.83,3.35,3.02,1.7,1.54,5.23,5.13,11.98,5,-,4.83,-,2.8,2.8
20,Current Unearned Revenue,-,61.51,67.15,65.93,72.74,67.42,47.79,35.04,29.65,32.73,41.45,-,46.69,-,35.45,35.45
21,Other Current Liabilities,-,3.85,6.52,3.27,8.48,7.21,6.59,8.04,15.22,15.17,25.53,-,23.06,-,11.49,11.49
22,Total Current Liabilities,-,165.21,161.65,154.14,163.46,158.41,139.41,145.3,170.82,178.61,186.64,-,184.64,-,126.13,126.13
23,Long-Term Unearned Revenue,-,9.98,3.94,4.32,4.64,4.31,4.61,4.92,5.22,4.75,5.04,-,5.11,-,5.64,5.64
24,Long-Term Deferred Tax Liabilities,-,-,-,-,-,1.39,1.35,1.31,1.58,1.53,1.47,-,1.35,-,1.22,1.22
25,Other Long-Term Liabilities,-,7.63,6.32,6.32,5.75,8.89,9.27,8.28,7.99,9.57,8.59,-,7.36,-,6.87,6.87
26,Total Liabilities,-,182.82,171.91,164.78,173.84,173.01,154.65,159.8,185.61,194.46,201.75,-,198.47,-,139.87,139.87
27,Common Stock,-,82,82,82,82,82,82,82,82,61.5,61.5,-,61.5,-,61.5,61.5
28,Additional Paid-In Capital,-,690.31,690.31,690.31,690.31,690.31,690.31,690.31,690.31,9.48,9.48,-,9.48,-,9.48,9.48
29,Retained Earnings,-,231.62,206.99,217.08,198.47,178.01,169.08,183.96,170.65,157.16,140.62,-,113.44,-,78.7,78.7
30,Shareholders' Equity,1004,1004,979.3,989.4,970.79,950.33,941.39,956.28,942.96,228.15,211.6,184.42,184.42,149.68,149.68,149.68
31,Total Liabilities & Equity,-,1187,1151,1154,1145,1123,1096,1116,1129,422.61,413.35,-,382.88,-,289.55,289.55
32,Total Debt,-,-,-,-,0.93,-,-,-,-,-,-,-,-,-,-,-
33,Net Cash (Debt),827.64,827.64,796.2,819.81,813.95,783.06,767.57,781.17,792.36,92.89,94.16,107.45,107.45,42.27,42.27,42.27
34,Net Cash Growth,1.68%,5.69%,3.73%,4.95%,2.73%,742.99%,715.18%,627.01%,637.43%,119.75%,122.75%,154.19%,-,-,-,-
35,Net Cash Per Share,10.29,10.10,9.40,10.13,9.95,9.62,9.44,9.39,11.88,1.52,1.47,1.81,1.78,0.68,0.69,0.69
36,Filing Date Shares Outstanding,82,82,82,82,82,82,82,82,82,82,61.5,59.52,61.5,62.23,61.5,61.5
37,Total Common Shares Outstanding,82,82,82,82,82,82,82,82,82,61.5,61.5,59.52,61.5,62.23,61.5,61.5
38,Working Capital,-,904.7,878.21,898.72,883.25,877.7,870.31,887.09,873.18,162.61,146.46,-,122.95,-,90.87,90.87
39,Book Value Per Share,12.24,12.24,11.94,12.07,11.84,11.59,11.48,11.66,11.50,3.71,3.44,3.00,3.00,2.43,2.43,2.43
40,Tangible Book Value,988.61,988.61,963.82,973.76,955,934.58,925.49,940.23,926.76,212.57,195.89,169.07,169.07,134.46,134.46,134.46
41,Tangible Book Value Per Share,12.06,12.06,11.75,11.88,11.65,11.40,11.29,11.47,11.30,3.46,3.19,2.75,2.75,2.19,2.19,2.19
42,Buildings,-,-,42.09,-,42.09,-,42.09,-,42.09,-,42.09,-,42.09,-,42.09,42.09
43,Machinery,-,-,90.44,-,88.26,-,76.71,-,70.95,-,69.96,-,66.44,-,64.39,64.39
44,Construction In Progress,-,-,29.85,-,15,-,11.44,-,12.39,-,5.7,-,3.15,-,-,-
