,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2918,2549,2336,2453,2153,2915,2972,3492,3262,2594,-,-,-,-,-,-,-
1,Market Cap Growth,-12.57%,-12.57%,-21.39%,-29.73%,-34.01%,12.39%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2091,1721,1540,1634,1369,2132,2204,2710,2470,2501,-,-,-,-,-,-,-
3,Last Close Price,35.59,31.08,28.49,29.92,26.01,35.22,35.90,42.18,39.12,31.10,-,-,-,-,-,-,-
4,PE Ratio,45.05,39.35,29.87,39.25,37.29,55.60,65.38,65.81,51.95,45.34,-,-,-,-,-,-,-
5,PS Ratio,10.87,9.50,9.01,11.34,10.23,14.73,15.56,16.22,12.55,9.65,-,-,-,-,-,-,-
6,PB Ratio,2.91,2.54,2.33,2.51,2.18,3.00,3.13,3.71,3.41,2.75,-,-,-,-,-,-,-
7,P/TBV Ratio,2.58,2.58,2.36,2.55,2.21,3.05,3.18,3.77,3.47,2.80,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,46.11,-,51.11,94.21,830.77,-397.15,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,24.70,32.05,27.78,45.80,130.15,294.45,-,-823.82,-,-,-,-,-,-,-
10,EV/Sales Ratio,7.79,6.41,5.94,7.55,6.51,10.77,11.54,12.59,9.50,9.30,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,27.08,22.22,22.94,32.70,27.64,46.17,56.44,53.27,39.03,41.99,-,-,-,-,-,-,-
12,EV/EBIT Ratio,29.97,24.67,25.91,38.57,32.44,54.76,69.08,61.82,43.83,47.41,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,30.40,-,32.52,68.90,616.19,-308.29,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,-,-,0.00,-,-,-,-,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,-,-,-,-,-,0.02,-,-,-,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-,0.03,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,-,0.31,0.19,0.19,0.22,0.17,0.17,0.15,0.28,0.68,-,-,-,-,0.71,-,
18,Inventory Turnover,-,-,1.35,0.86,0.82,1.04,0.83,0.81,0.79,1.16,1.53,-,-,-,-,1.36,-
19,Quick Ratio,-,-,5.55,5.46,5.89,5.55,5.60,6.25,6.18,5.40,1.21,1.14,-,1.03,-,0.94,0.94
20,Current Ratio,-,-,6.48,6.43,6.83,6.40,6.54,7.24,7.11,6.11,1.91,1.78,-,1.67,-,1.72,1.72
21,Return on Equity (ROE),2.79%,9.94%,5.89%,7.59%,8.52%,3.78%,4.10%,5.61%,9.21%,30.09%,39.29%,16.78%,73.58%,10.72%,24.57%,-,
22,Return on Assets (ROA),-,4.98%,1.94%,3.19%,2.76%,1.40%,1.99%,2.53%,1.77%,10.87%,-,-,-,-,8.63%,-,
23,Return on Capital (ROIC),5.69%,5.88%,2.27%,3.74%,3.26%,1.65%,2.32%,3.00%,2.35%,20.66%,26.88%,10.54%,39.71%,5.94%,16.69%,-,
24,Return on Capital Employed (ROCE),-,-,5.82%,4.28%,4.22%,3.97%,3.31%,4.58%,5.80%,5.51%,30.24%,26.10%,-,25.26%,-,12.23%,6.12%
25,Earnings Yield,2.22%,2.54%,3.35%,2.55%,2.68%,1.80%,1.53%,1.52%,1.92%,2.21%,-,-,-,-,-,-,-
26,FCF Yield,-,2.17%,1.41%,1.96%,1.06%,0.12%,-0.25%,-0.10%,-0.83%,-,-,-,-,-,-,-,
27,Dividend Yield,0.84%,-,-,-,-,0.85%,-,-,-,0.96%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,169.57%,-,-,-,253.21%,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-0.07%,1.67%,-0.66%,-4.17%,2.78%,-22.59%,-33.01%,-26.90%,-39.83%,-10.39%,1.67%,-4.49%,2.91%,-,-,-,-
30,Total Shareholder Return,0.77%,1.67%,-0.66%,-4.17%,2.78%,-21.74%,-33.01%,-26.90%,-39.83%,-9.43%,1.67%,-4.49%,2.91%,-,-,-,-
