,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Revenue,1961,1990,2054,1996,2616,3251,2914,2272,1718,1382,Upgrade
1,Revenue Growth (YoY),-4.54%,-0.32%,-21.47%,-38.59%,-10.23%,43.11%,69.64%,64.40%,-2.27%,-19.60%,Upgrade
2,Cost of Revenue,1372,1414,1433,1555,1934,1809,1594,1253,1030,938.31,Upgrade
3,Gross Profit,588.83,575.21,621.19,440.98,682.14,1441,1321,1018,688.13,443.4,Upgrade
4,"Selling, General & Admin",235.04,242.7,230.99,237.15,254.52,276.78,281.97,250.51,234.86,189.67,Upgrade
5,Research & Development,81.27,54.53,48.9,71.85,83.97,120.04,136.75,94.14,94.38,59.41,Upgrade
6,Operating Expenses,316.3,297.23,279.89,309,338.49,396.82,418.72,344.65,329.24,249.08,Upgrade
7,Operating Income,272.53,277.98,341.3,131.99,343.65,1045,902.12,673.43,358.89,194.32,Upgrade
8,Interest Expense,-8.75,-13.15,-17.27,-22.01,-17.81,-20.85,-24.62,-23,-23.99,-31.86,Upgrade
9,Interest & Investment Income,1.36,3.23,1.43,3.1,3.21,2.69,2.31,2.48,2.64,3.34,Upgrade
10,Earnings From Equity Investments,1.79,1.9,0.99,-0.44,0.54,-0.23,-0.95,-0.29,-8.81,0.11,Upgrade
11,Currency Exchange Gain (Loss),2.83,-0.48,-8.04,1.06,-0.16,-20.85,7.28,15.97,55.27,-13.05,Upgrade
12,Other Non Operating Income (Expenses),28.83,29.48,56.18,19.23,16.92,44.04,25.77,35.38,52.47,38.54,Upgrade
13,EBT Excluding Unusual Items,298.59,298.95,374.58,132.94,346.35,1049,911.9,703.97,436.47,191.4,Upgrade
14,Gain (Loss) on Sale of Investments,1.09,-,-2.11,-,5.17,-,-3.09,-,1.03,-,Upgrade
15,Gain (Loss) on Sale of Assets,-1.26,-1.18,-0.24,-2.43,-0.7,-2.09,-1.52,-0.18,-0.84,0.05,Upgrade
16,Asset Writedown,-,-,-8.84,-,-,-,-,-,-,-,Upgrade
17,Pretax Income,298.42,297.78,363.39,130.51,350.82,1047,907.29,703.79,436.66,191.45,Upgrade
18,Income Tax Expense,56.22,57.69,67.33,25.9,85.38,155.97,206.31,116.77,90.24,35.23,Upgrade
19,Earnings From Continuing Operations,242.2,240.09,296.05,104.61,265.45,891.33,700.98,587.03,346.42,156.21,Upgrade
20,Net Income,242.2,240.09,296.05,104.61,265.45,891.33,700.98,587.03,346.42,156.21,Upgrade
21,Net Income to Common,242.2,240.09,296.05,104.61,265.45,891.33,700.98,587.03,346.42,156.21,Upgrade
22,Net Income Growth,-18.19%,129.50%,11.53%,-88.26%,-62.13%,51.84%,102.35%,275.79%,15.63%,-61.06%,Upgrade
23,Shares Outstanding (Basic),825,825,825,825,825,825,825,825,825,825,Upgrade
24,Shares Outstanding (Diluted),825,825,825,852,858,863,881,826,825,825,Upgrade
25,Shares Change (YoY),-,-3.16%,-3.90%,-1.31%,-2.60%,4.52%,6.83%,0.10%,-,-0.17%,Upgrade
26,EPS (Basic),0.29,0.29,0.36,0.13,0.32,1.08,0.85,0.71,0.42,0.19,Upgrade
27,EPS (Diluted),0.29,0.29,0.36,0.12,0.31,1.03,0.80,0.71,0.42,0.19,Upgrade
28,EPS Growth,-18.15%,136.59%,16.08%,-88.09%,-61.14%,45.29%,89.39%,276.19%,15.80%,-61.11%,Upgrade
29,Free Cash Flow,-,183.33,171.5,36.89,326.99,661.85,498.96,307.95,381.23,19.78,Upgrade
30,Free Cash Flow Per Share,-,0.22,0.21,0.04,0.38,0.77,0.57,0.37,0.46,0.02,Upgrade
31,Dividend Per Share,0.150,0.140,0.140,0.050,0.170,0.380,0.320,0.260,0.165,0.075,Upgrade
32,Dividend Growth,7.14%,180.00%,-17.65%,-86.84%,-46.88%,46.15%,93.94%,246.67%,10.00%,-58.33%,Upgrade
33,Operating Margin,13.90%,13.97%,16.61%,6.61%,13.14%,32.13%,30.95%,29.65%,20.89%,14.06%,Upgrade
34,Profit Margin,12.35%,12.07%,14.41%,5.24%,10.15%,27.42%,24.05%,25.84%,20.16%,11.31%,Upgrade
35,Free Cash Flow Margin,-,9.21%,8.35%,1.85%,12.50%,20.36%,17.12%,13.56%,22.19%,1.43%,Upgrade
36,EBITDA,135.15,474.01,201.66,330.28,211.71,1249,766.75,860.83,236.88,363.13,Upgrade
37,D&A For EBITDA,-137.38,196.03,-139.64,198.29,-131.95,203.93,-135.37,187.4,-122.01,168.81,Upgrade
38,EBIT,272.53,277.98,341.3,131.99,343.65,1045,902.12,673.43,358.89,194.32,Upgrade
39,Revenue as Reported,1961,1990,2054,1996,2616,3251,5186,-,-,-,Upgrade
