,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6813,6785,6400,6773,7034,6881,6397,6503,6135,6377,7008,7102,9540,7054,6528,6957,-,-,-,-
1,Market Cap Growth,-1.40%,-1.40%,0.04%,4.16%,14.65%,7.90%,-8.71%,-8.44%,-35.69%,-9.59%,7.34%,2.07%,-,-,-,-,-,-,-,-
2,Enterprise Value,6639,6657,6262,6697,6957,6865,6305,6355,6067,6260,6849,6892,9330,6849,6244,6931,-,-,-,-
3,Last Close Price,16.99,16.92,15.96,16.68,17.32,16.95,15.64,15.74,14.85,15.44,16.96,17.18,23.07,17.06,15.79,16.68,-,-,-,-
4,PE Ratio,26.18,25.82,24.37,27.90,31.21,30.11,30.56,33.35,32.22,39.30,43.48,39.94,48.92,31.20,27.92,31.71,-,-,-,-
5,Forward PE,22.96,22.86,21.57,22.82,24.88,24.69,23.89,27.74,27.48,24.28,28.43,24.01,-,-,-,-,-,-,-,-
6,PS Ratio,4.01,3.95,3.63,3.84,4.22,4.29,4.14,4.56,4.20,4.45,5.02,4.90,6.71,4.91,4.63,5.27,-,-,-,-
7,PB Ratio,3.62,3.60,3.53,3.72,3.98,4.07,3.93,3.96,3.83,-,4.71,4.72,6.65,5.06,4.84,5.15,-,-,-,-
8,P/TBV Ratio,3.87,3.87,3.80,4.01,4.30,4.41,4.28,4.31,4.05,-,4.88,4.88,6.90,5.26,5.04,5.36,-,-,-,-
