,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,278.97,234.19,205.26,218.78,163.59,134.19,160.99,162.36,-,75.16,161.86,151.63,188.3,78.99,215.72,164.46,-,106.95,-
1,Trading Asset Securities,6,12.02,39.1,-,-,-,-,-,-,67.8,30,50,30,130,100,-,-,-,-
2,Cash & Short-Term Investments,284.97,246.22,244.36,218.78,163.59,134.19,160.99,162.36,-,142.96,191.86,201.63,218.3,208.99,315.72,164.46,-,106.95,89.08
3,Cash Growth,74.20%,83.48%,51.79%,34.75%,-,-6.13%,-16.09%,-19.48%,-,-31.59%,-39.23%,22.60%,-,95.41%,254.43%,-,-,-,-
4,Accounts Receivable,505.35,514.41,528.92,575.37,506.83,453.7,377.28,449.48,-,388.91,433.7,431.54,367.69,385.81,370.72,408.72,-,275.66,-
5,Other Receivables,5.68,15.53,5.17,8.57,3.37,2.16,2.38,3.48,-,9.24,3.92,7.84,6.77,5.28,6.66,2.92,-,3.35,-
6,Receivables,511.04,529.94,534.09,583.95,510.19,455.86,379.65,452.97,-,398.15,437.62,439.39,374.46,391.09,377.38,411.64,-,279.01,-
7,Inventory,463.16,488.45,443.63,458.5,489.12,485.23,550.36,535.74,-,544.22,492.26,467.87,453.86,413.57,371.15,292.4,-,262.78,-
8,Other Current Assets,20.54,4.69,13.71,5.06,12.14,15.05,13.26,10.57,-,19.77,25.03,17.25,13.61,14.19,14.5,11.57,-,10.77,-
9,Total Current Assets,1280,1269,1236,1266,1175,1090,1104,1162,-,1105,1147,1126,1060,1028,1079,880.07,-,659.51,-
10,"Property, Plant & Equipment",834.44,796.83,813.96,806.59,761.15,733.51,714.05,689.75,-,628.46,586.92,580.45,560.68,522.15,496.15,483.51,-,488.03,-
11,Long-Term Investments,27.71,27.82,27.71,27.83,20.11,20.12,20.12,0.11,-,0.12,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,129.38,130.32,130.64,132.21,131.7,134.14,132.48,87.42,-,52.18,51.49,52.1,52.58,52.73,53.29,53.9,-,54.06,-
13,Long-Term Deferred Tax Assets,30.43,30.38,26.85,24.42,26.51,27.64,22.13,25.34,-,16.7,16.11,15.13,11.37,11.89,10.98,11.64,-,15.17,-
14,Long-Term Deferred Charges,42.65,44.98,42.25,42.46,37.12,32.95,22.46,22.8,-,23.08,23.23,22.77,20.89,22.82,23.69,24.93,-,28.61,-
15,Other Long-Term Assets,0.12,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
