,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,476.57,331.17,407.06,326.63,515.23,340.37,308.98,308.28,427.5,250.65,343.82,245.83,400.56,294.53,316.35,327.14,360.15,218.44,199.51
1,Other Revenue,-87.17,87.17,-,175.07,-78.61,78.61,-,130.51,-49.65,49.65,-,165.1,-60.3,60.3,-,96.92,-45.36,45.36,-
2,Revenue,389.41,418.33,407.06,501.7,436.63,418.98,308.98,438.79,377.84,300.3,343.82,410.93,340.26,354.83,316.35,424.06,314.78,263.8,199.51
3,Revenue Growth (YoY),-10.81%,-0.15%,31.74%,14.34%,15.56%,39.52%,-10.13%,6.78%,11.04%,-15.37%,8.68%,-3.10%,8.09%,34.50%,58.56%,-,-,-,-
4,Cost of Revenue,238.31,294.36,269.11,372.43,274,294.25,207.01,310.14,262.1,213.86,244.23,324.48,219.96,244.62,210.38,298.59,186.95,186.5,132.54
5,Gross Profit,151.1,123.98,137.96,129.27,162.63,124.72,101.97,128.64,115.75,86.44,99.59,86.45,120.31,110.21,105.98,125.47,127.84,77.31,66.97
6,"Selling, General & Admin",43.94,36.67,36.21,25.68,38.62,47.17,35.5,33.35,42.69,30.85,41.3,26.41,44.01,29.9,35.64,24.42,36.67,28.71,32.13
7,Research & Development,23.84,24.29,24.52,30.43,23.11,22.75,19.92,23.67,19.32,20.98,18.01,21.07,17.32,18.56,14.55,23.22,15.17,11.87,9.6
8,Other Operating Expenses,3.58,2.81,2.46,4.03,0.07,1.72,-3.02,14.18,-2.05,-2.19,-0.35,14.66,-8.94,-0.94,-2.8,17.64,-2.05,-4.94,-0.82
9,Operating Expenses,70.18,63.24,60.26,62.77,64.16,75.95,47.76,73.28,62.61,47.93,58.36,65.18,52.32,49.06,44.6,67.92,52.29,35.13,38.48
10,Operating Income,80.93,60.74,77.69,66.5,98.47,48.77,54.21,55.36,53.14,38.52,41.23,21.28,67.98,61.15,61.37,57.55,75.54,42.18,28.49
11,Interest Expense,-0.8,-0.55,-0.93,-0.82,-0.88,-0.89,-0.37,-0.36,-0.18,-0.2,-0.05,-0.25,-0.04,-0.19,-0.36,-0.5,-0.56,-1.12,-0.99
12,Interest & Investment Income,1.28,1.02,0.46,0.43,0.27,0.4,0.46,0.19,0.51,0.85,0.62,0.67,1.25,1.4,0.5,0.37,0.29,0.21,0.19
13,Currency Exchange Gain (Loss),0.99,-0.99,-,2.45,-2.73,2.73,-,4.47,-2.63,2.63,-,-3.06,1.2,-1.2,-,-3.28,-0.84,0.84,-
14,Other Non Operating Income (Expenses),-0.27,1.05,-1.17,-1.94,0.84,0.79,-1.18,-3.92,4.54,-0.51,-0.33,1.39,-1.2,0.01,-0.44,0.87,-1.88,0.65,0.06
15,EBT Excluding Unusual Items,82.13,61.27,76.04,66.63,95.96,51.81,53.12,55.74,55.38,41.29,41.47,20.02,69.19,61.17,61.07,55.01,72.55,42.76,27.75
16,Gain (Loss) on Sale of Investments,-0.01,0.03,-0.02,0,-0.01,-0,0.01,0.01,-0.02,0.02,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,2.53,-0.77,-0.2,0.25,0.26,-0.15,0,0.41,0.02,0.21,0,-0.11,0.09,0.08,0.1,-0.79,0.07,-0.04,0.02
18,Asset Writedown,-14.67,14.35,-15.87,8.1,-20.34,7.17,-8.09,3.38,-5.03,2.1,-2.1,7.51,-5.87,1.51,-3.24,6.45,-6.45,2.52,-2.52
19,Other Unusual Items,6.21,3.62,5.55,-1.05,-,-,-,12.35,-,-,-,14.26,-7.23,-,-,20.14,-,-,-
20,Pretax Income,76.18,78.51,65.51,73.93,75.88,58.83,45.04,71.88,50.36,43.62,39.37,41.69,56.19,62.76,57.94,80.81,66.17,45.24,25.25
21,Income Tax Expense,8.29,5.01,10.36,7.74,8.09,5.23,7.28,2.51,1.75,4.38,6.21,0.43,8.69,6.88,7.56,8.47,10.95,3.79,4.49
22,Net Income,67.9,73.49,55.15,66.19,67.78,53.6,37.76,69.38,48.61,39.24,33.17,41.25,47.5,55.88,50.37,72.34,55.23,41.45,20.76
23,Net Income to Common,67.9,73.49,55.15,66.19,67.78,53.6,37.76,69.38,48.61,39.24,33.17,41.25,47.5,55.88,50.37,72.34,55.23,41.45,20.76
24,Net Income Growth,0.17%,37.11%,46.07%,-4.59%,39.45%,36.60%,13.84%,68.17%,2.34%,-29.78%,-34.16%,-42.97%,-14.00%,34.82%,142.61%,-,-,-,-
25,Shares Outstanding (Basic),399,410,394,416,399,375,420,410,406,390,415,409,396,400,387,365,336,386,346
26,Shares Outstanding (Diluted),399,410,394,416,399,375,420,410,406,390,415,409,396,400,387,365,336,386,346
27,Shares Change (YoY),0.04%,9.39%,-6.10%,1.40%,-1.60%,-3.85%,1.19%,0.25%,2.52%,-2.42%,7.00%,12.21%,17.85%,3.56%,11.97%,-,-,-,-
28,EPS (Basic),0.17,0.18,0.14,0.16,0.17,0.14,0.09,0.17,0.12,0.10,0.08,0.10,0.12,0.14,0.13,0.20,0.16,0.11,0.06
29,EPS (Diluted),0.17,0.18,0.14,0.16,0.17,0.14,0.09,0.17,0.12,0.10,0.08,0.10,0.12,0.14,0.13,0.20,0.16,0.11,0.06
30,EPS Growth,0.13%,25.34%,55.56%,-5.91%,41.72%,42.08%,12.50%,67.75%,-0.18%,-28.04%,-38.46%,-49.18%,-27.02%,30.18%,116.67%,-,-,-,-
31,Free Cash Flow,38.81,76.15,27.62,32.84,62.09,15.72,-37.39,72.81,-52.67,14.33,-59.7,-18.36,4.61,-23.2,-43.71,81.41,12.87,36.41,6.31
32,Free Cash Flow Per Share,0.10,0.19,0.07,0.08,0.16,0.04,-0.09,0.18,-0.13,0.04,-0.14,-0.04,0.01,-0.06,-0.11,0.22,0.04,0.09,0.02
33,Dividend Per Share,-,-,-,0.200,-,-,-,0.150,-,-,-,0.150,-,-,-,0.150,-,-,-
34,Dividend Growth,-,-,-,33.33%,-,-,-,0%,-,-,-,0%,-,-,-,-,-,-,-
35,Gross Margin,38.80%,29.64%,33.89%,25.77%,37.25%,29.77%,33.00%,29.32%,30.63%,28.79%,28.97%,21.04%,35.36%,31.06%,33.50%,29.59%,40.61%,29.30%,33.57%
36,Operating Margin,20.78%,14.52%,19.09%,13.26%,22.55%,11.64%,17.54%,12.62%,14.06%,12.83%,11.99%,5.18%,19.98%,17.23%,19.40%,13.57%,24.00%,15.99%,14.28%
37,Profit Margin,17.44%,17.57%,13.55%,13.19%,15.52%,12.79%,12.22%,15.81%,12.86%,13.07%,9.65%,10.04%,13.96%,15.75%,15.92%,17.06%,17.54%,15.71%,10.41%
38,Free Cash Flow Margin,9.97%,18.20%,6.78%,6.55%,14.22%,3.75%,-12.10%,16.59%,-13.94%,4.77%,-17.36%,-4.47%,1.35%,-6.54%,-13.82%,19.20%,4.09%,13.80%,3.16%
39,EBITDA,106.4,88.75,103.17,91.98,123.18,76.28,78.92,80.07,74.66,64.91,62.75,42.8,89.85,77.93,83.9,80.07,97.13,65.37,50.07
40,EBITDA Margin,27.32%,21.21%,25.34%,18.33%,28.21%,18.21%,25.54%,18.25%,19.76%,21.61%,18.25%,10.41%,26.41%,21.96%,26.52%,18.88%,30.86%,24.78%,25.10%
41,D&A For EBITDA,25.48,28.01,25.48,25.48,24.71,27.51,24.71,24.71,21.52,26.39,21.52,21.52,21.86,16.78,22.52,22.52,21.58,23.19,21.58
42,EBIT,80.93,60.74,77.69,66.5,98.47,48.77,54.21,55.36,53.14,38.52,41.23,21.28,67.98,61.15,61.37,57.55,75.54,42.18,28.49
43,EBIT Margin,20.78%,14.52%,19.09%,13.26%,22.55%,11.64%,17.54%,12.62%,14.06%,12.83%,11.99%,5.18%,19.98%,17.23%,19.40%,13.57%,24.00%,15.99%,14.28%
44,Effective Tax Rate,10.88%,6.39%,15.81%,10.47%,10.67%,8.89%,16.17%,3.49%,3.48%,10.04%,15.76%,1.04%,15.47%,10.96%,13.06%,10.48%,16.54%,8.39%,17.77%
45,Revenue as Reported,389.41,418.33,407.06,501.7,436.63,418.98,308.98,438.79,377.84,300.3,343.82,410.93,340.26,354.83,316.35,424.06,314.78,263.8,199.51
