,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,302,129,158,146,213,322,436,391,402,178,279,Upgrade
1,Market Cap Growth,-12.16%,-12.16%,-25.68%,-54.46%,-51.32%,-17.65%,8.57%,119.35%,44.33%,-53.03%,-37.82%,Upgrade
2,Enterprise Value,467,289,303,284,379,497,610,269,382,28,163,Upgrade
3,Last Close Price,0.35,0.22,0.27,0.25,0.36,0.55,0.74,0.67,0.69,0.30,0.48,Upgrade
4,PE Ratio,-,-,-,23.63,-,-31.14,-,68.57,-,-,-,Upgrade
5,PS Ratio,0.07,0.05,0.06,0.06,0.09,0.13,0.17,0.15,0.17,0.08,0.10,Upgrade
6,PB Ratio,0.26,0.16,0.18,0.16,0.25,0.37,0.49,0.41,0.43,0.20,0.29,Upgrade
7,P/TBV Ratio,0.17,0.17,0.19,0.16,0.25,0.37,0.49,0.41,0.43,0.20,0.29,Upgrade
8,P/FCF Ratio,47.23,-,7.20,-,3.61,-7.62,-,-,7.64,-,-,Upgrade
9,P/OCF Ratio,1.01,1.01,2.23,1.59,1.86,46.42,-,-,2.56,-,15.55,Upgrade
10,EV/Sales Ratio,0.17,0.11,0.11,0.11,0.15,0.19,0.23,0.10,0.17,0.01,0.06,Upgrade
11,EV/EBITDA Ratio,-,-,-,27.18,7.09,8.79,9.29,4.26,-20.74,-,1.94,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-28.20,-,-29.59,-,-,-,Upgrade
13,EV/FCF Ratio,73.10,-,13.84,-,6.43,-11.77,-,-,7.26,-,-,Upgrade
14,Debt / Equity Ratio,0.36,0.36,0.35,0.34,0.36,0.41,0.45,0.54,0.37,0.35,0.27,Upgrade
15,Debt / FCF Ratio,43.92,-,13.69,-,5.20,-8.50,-,-,6.54,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-1.34%,-,-0.55%,-,-,-,Upgrade
17,Earnings Yield,-42.99%,-100.76%,-35.03%,4.23%,-2.30%,-3.21%,-2.13%,1.46%,-12.82%,-35.53%,1.76%,Upgrade
18,FCF Yield,2.12%,4.96%,13.89%,31.10%,27.72%,-13.12%,-27.62%,9.68%,13.09%,-30.22%,-20.31%,Upgrade
