,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,164,219,166,256,308,306,400,462,491,-,-
1,Market Cap Growth,-14.38%,-14.38%,-45.97%,-16.23%,-23.00%,-33.80%,-18.57%,-,-,-,-
2,Enterprise Value,117,137,125,174,227,227,450,456,563,-,-
3,Last Close Price,2.05,2.74,1.88,2.89,3.24,3.22,3.84,4.43,4.72,-,-
4,PE Ratio,10.30,13.77,5.55,3.95,4.74,7.20,6.89,9.24,14.73,-,-
5,PS Ratio,2.23,2.98,1.57,0.90,1.18,4.58,5.70,6.87,8.85,-,-
6,PB Ratio,0.19,0.26,0.19,0.30,0.34,0.35,0.43,0.52,0.58,-,-
7,P/FCF Ratio,5.28,-,3.62,14.49,3.82,1.41,2.88,-,13.37,-,-
8,P/OCF Ratio,7.18,-,3.62,14.49,3.82,1.41,2.88,-,13.37,-,-
9,EV/Sales Ratio,1.59,1.87,1.18,0.61,0.87,3.40,6.41,6.78,10.14,-,-
10,EV/EBITDA Ratio,2.25,2.64,2.05,1.77,2.61,5.68,8.11,8.44,15.34,-,-
11,EV/EBIT Ratio,2.27,2.67,2.06,1.77,2.62,5.75,8.26,8.65,15.92,-,-
12,EV/FCF Ratio,3.75,-,2.73,9.83,2.81,1.05,3.23,-,15.32,-,-
13,Debt / Equity Ratio,-,-,-,-,-,-,0.02,0.11,0.11,0.12,0.09
14,Debt / FCF Ratio,-,-,-,-,-,-,0.13,-,2.60,-,1.94
15,Earnings Yield,9.71%,7.26%,18.01%,25.34%,21.11%,13.89%,14.52%,10.82%,6.79%,-,-
16,FCF Yield,18.96%,13.93%,27.64%,6.90%,26.19%,70.89%,34.77%,6.91%,7.48%,-,-
17,Buyback Yield / Dilution,-,-,-,-,-,-32.85%,-33.33%,-0.37%,-,-,
18,Total Shareholder Return,12.35%,-,-,-,-,-,-32.85%,-33.33%,-0.37%,-,-
