,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,976,514,643,777,1020,1327,1833,6072,-,-,-
1,Market Cap Growth,-33.80%,-33.80%,-37.00%,-41.44%,-44.33%,-78.15%,-,-,-,-,-
2,Enterprise Value,439,-218,-301,-647,-501,-485,-167,5880,-,-,-
3,Last Close Price,3.57,1.88,2.35,2.84,3.73,4.85,6.70,22.20,-,-,-
4,PS Ratio,3.68,1.94,2.81,8.40,-,9.01,13.91,100.65,-,-,-
5,PB Ratio,0.71,0.38,0.42,0.47,0.57,0.66,0.87,2.79,-,-,-
6,P/TBV Ratio,0.47,0.47,0.52,0.57,0.57,0.67,0.87,2.79,-,-,-
7,EV/Sales Ratio,1.65,-,-,-,-,-,-,97.47,-,-,-
8,Debt / Equity Ratio,0.27,0.27,0.20,0.15,0.05,0.03,0.03,0.01,0.11,-0.02,-0.03
9,Earnings Yield,-27.53%,-52.29%,-32.85%,-8.54%,-,-10.85%,-9.62%,-0.83%,-,-,-
10,FCF Yield,-41.27%,-78.36%,-63.66%,-24.21%,-,-26.90%,-15.19%,-1.52%,-,-,-
11,Buyback Yield / Dilution,-,-,-,-,-6.46%,-,-70.18%,-,-,-,
12,Total Shareholder Return,-,-,-,-,-6.46%,-,-70.18%,-,-,-,
